aba	阿巴	Aba	abaA
shiyi	拾遗	Lost relics	shiyiL
shiyi	时宜	Appropriate	shiyiAp
shiyi	饰以	Decorated with	shiyiDe
shiyi	试衣	Try On Clothes	shiyiTry
shiyi	适意	Agreeable	shiyiAg
shiyi	实意	True Meaning	shiyiTru
shiyi	使役	To serve	shiyiTo s
shiyin	石印	Stone Rubbing	shiyinS
shiying	适应	Adapt	shiyingA
shiying	石英	Quartz	shiyingQ
shiyong	使用	Use	shiyongU
shiyong	适用	Apply	shiyongA
shiyong	实用	Practical	shiyongP
shiyong	食用	Edible	shiyongE
shiyong	试用	Trial use	shiyongT
shiyong	施用	Apply	shiyongA
shiyou	石油	Oil	shiyouO
shiyou	时有	From time to time	shiyouF
shiyou	事由	The cause of events	shiyouTh
shiyou	室友	Roommate	shiyouR
shiyou	实有	Indeed	shiyouI
shiyou	师友	Teacher and student	shiyouTe
shiyu	食欲	Appetite	shiyuA
shiyu	始于	To begin	shiyuTo b
shiyu	适于	Suitable for	shiyuS
shiyu	失语	Loss of speech	shiyuL
shiyu	施与	To implement	shiyuTo i
shiyu	鲥鱼	Chinese Sturgeon	shiyuC
shiyu	视域	Field of vision	shiyuF
shiyuan	十元	Ten Yuan	shiyuanT
shiyuan	誓愿	Vow	shiyuanV
shiyue	十月	October	shiyueO
shiyue	失约	Breach of promise	shiyueB
shiyun	诗云	As the poem says	shiyunA
shiyun	时运	Fortune	shiyunF
shiyun	诗韵	The rhythm and charm of poetry	shiyunT
shiyun	世运	Worldly destiny	shiyunW
shizai	实在	Really	shizaiRea
shizai	十载	Ten years	shizaiT
shizai	史载	Recorded in history	shizaiRec
shize	实则	Actually	shizeA
shize	失责	Hold accountable	shizeH
shizhan	实战	Actual combat	shizhanA
shizhan	施展	To display	shizhanT
shizhang	市长	Mayor	shizhangM
shizhang	师长	Teacher	shizhangT
shizhang	诗章	Poem chapter	shizhangP
shizhang	视障	Visually impaired	shizhangV
shizhao	实招	Genuine advice	shizhaoG
shizhe	使者	Envoy	shizheEn
shizhe	试着	Try	shizheT
shizhe	侍者	Waiter	shizheW
shizhe	逝者	Deceased	shizheD
shizhe	食者	Eater	shizheEa
shizhen	失真	Distortion	shizhenD
shizhen	市镇	Township	shizhenT
shizhen	时针	Hour hand	shizhenH
shizheng	市政	Municipal	shizhengM
shizheng	实证	Empirical evidence	shizhengE
shizheng	时政	Political Affairs	shizhengP
shizheng	施政	Governance	shizhengG
shizhi	实质	Essence	shizhiE
shizhi	食指	Index Finger	shizhiIn
shizhi	失职	Negligence	shizhiN
shizhi	试制	Prototype	shizhiP
shizhi	时值	It was	shizhiIt
shizhi	试纸	Test strip	shizhiTes
shizhi	十指	Ten fingers	shizhiTen
shizhi	矢志	To be determined	shizhiTo b
shizhi	施治	To treat	shizhiTo t
shizhi	时至	The time has come	shizhiTh
shizhi	适值	To happen to coincide with	shizhiTo h
shizhi	实值	Actual value	shizhiA
shizhi	市制	Commercial System	shizhiC
shizhi	失之	To lose	shizhiTo l
shizhong	始终	Always	shizhongAl
shizhong	时钟	Clock	shizhongC
shizhong	适中	Moderate	shizhongM
shizhong	失重	Weightlessness	shizhongW
shizhong	示众	Public demonstration	shizhongP
shizhong	诗中	In poetry	shizhongI
shizhong	试种	Trial Planting	shizhongT
shizhong	侍中	Attendant of the Imperial Palace	shizhongAt
shizhou	十周	Ten Weeks	shizhouT
shizhou	实轴	Real shaft	shizhouR
shizhu	石柱	Stone pillar	shizhuStone p
shizhu	失主	Person who lost something	shizhuP
shizhu	石竹	Stone bamboo	shizhuStone b
shizhuang	时装	Fashion	shizhuangF
shizhuang	试装	Test Outfit	shizhuangT
shizhui	视锥	Visual Acuity	shizhuiV
shizhun	失准	Off target	shizhunO
shizi	狮子	Lion	shiziL
shizi	师资	Teaching staff	shiziT
shizi	十字	Cross	shiziC
shizi	识字	Read	shiziRead
shizi	柿子	Persimmon	shiziPer
shizi	石子	Pebble	shiziPeb
shizi	式子	Formula	shiziF
shizi	实字	Real word	shiziReal
shizong	失踪	Disappear	shizongD
shizong	世宗	King Sejong	shizongK
shizu	十足	Full	shizuF
shizu	始祖	Primogenitor	shizuP
shizu	氏族	Clan	shizuC
shizu	士卒	Soldier and officer	shizuS
shizu	失足	To lose one's footing	shizuT
shizu	士族	Noble families	shizuN
shizuo	视作	To regard as	shizuoT
shizuo	诗作	Poems	shizuoPo
shizuo	试作	Practice Writing	shizuoPr
shouba	手把	Hand in hand	shoubaH
shouban	手板	Hand board	shoubanH
shoubei	手背	Back of the hand	shoubeiB
shoubei	守备	Garrison	shoubeiG
shoubi	手臂	Arm	shoubiA
shoubi	收笔	To finish writing	shoubiT
shoubian	手边	Nearby	shoubianN
shoubian	守边	Guarding the border	shoubianG
shoubiao	手表	Watch	shoubiaoW
shoubing	手柄	Handle	shoubingH
shoubing	收兵	To withdraw troops	shoubingT
shoubu	首部	First part	shoubuF
shoubu	手部	Hand	shoubuH
shoucang	收藏	Collect	shoucangC
shouce	手册	Manual	shouceM
shouchang	收场	End	shouchangE
shouchang	首场	First performance	shouchangF
shouchang	首倡	Pioneered	shouchangP
shouchao	受潮	Dampen	shouchaoD
shouche	收车	To return a vehicle	shoucheT
shouchen	寿辰	Birthday	shouchenB
shoucheng	收成	Harvest	shouchengH
shoucheng	守城	Defend the city	shouchengD
shoucheng	守成	Achieving success	shouchengA
shouchi	手持	Hold	shouchiH
shouchu	售出	Sell out	shouchuSel
shouchu	收储	Seize and store	shouchuSei
shouchuang	首创	Initiate	shouchuangI
shouchuo	手戳	To poke	shouchuoT
shouci	首次	First time	shouciF
shouci	受此	To accept this	shouciT
shoucuo	受挫	Setback	shoucuoS
shouda	手大	Big hand	shoudaB
shoudai	绶带	Ribbon	shoudaiR
shoudan	寿诞	Birthday celebration	shoudanB
shoudao	收到	Receive	shoudaoR
shoudao	受到	Be subjected to	shoudaoB
shoudao	守到	Guard Until	shoudaoG
shoudao	首道	First step	shoudaoF
shoudi	守敌	Defending against enemies	shoudiD
shoudian	手电	Flashlight	shoudianF
shoudong	手动	Manual	shoudongM
shoudong	受冻	Endure the cold	shoudongE
shoudou	手抖	Trembling Hand	shoudouT
shoudu	首都	Capital	shouduC
shoudu	首度	First Time	shouduF
shouduan	手段	Means	shouduanM
shouer	首尔	Seoul	shouerS
shoufa	守法	Law-abiding	shoufaL
shoufa	手法	Technique	shoufaTe
shoufa	首发	First release	shoufaF
shoufa	收发	Sending and receiving	shoufaS
shoufa	受罚	To be penalized	shoufaTo
shoufang	收放	To control	shoufangT
shoufei	收费	Charge	shoufeiC
shoufei	首飞	Maiden Flight	shoufeiM
shoufen	授粉	Pollination	shoufenPollinati
shoufen	受粉	Pollinated	shoufenPollinate
shoufeng	受封	To be granted a fiefdom	shoufengT
shoufu	收服	Subdue	shoufuS
shoufu	收复	Recapture	shoufuR
shoufu	首富	Billionaire	shoufuB
shoufu	首府	Capital	shoufuC
shoufu	收腹	Abdominal Compression	shoufuA
shoufu	手扶	Hand support	shoufuH
shougan	手感	Touch	shouganT
shougang	首钢	Shougang	shougangS
shougao	手稿	Manuscript	shougaoM
shougao	瘦高	Slender tall	shougaoS
shouge	首个	First	shougeF
shouge	首歌	A song	shougeA
shouge	收割	To reap	shougeT
shougong	手工	Handmade	shougongH
shougou	收购	Acquire	shougouA
shougou	手钩	Hand Hook	shougouH
shougu	受雇	Employed	shouguE
shougu	手鼓	Hand drum	shouguH
shougu	兽骨	Animal Bones	shouguA
shougua	守寡	To Observe the Rituals	shouguaT
shouguan	收官	Ending	shouguanE
shouguan	收管	Management	shouguanM
shougui	收归	Reincorporate	shouguiR
shouguo	受过	Have experienced	shouguoH
shouhai	受害	Suffer harm	shouhaiS
shouhang	首行	First line	shouhangFirst l
shouhang	首航	First voyage	shouhangFirst v
shouhao	收好	Put away	shouhaoP
shouhao	守好	Guard	shouhaoG
shouheng	守恒	Conservation	shouhengC
shouhou	售后	After-sales	shouhouA
shouhou	守候	Wait for	shouhouW
shouhu	守护	Guard	shouhuG
shouhuan	手环	Fitness Band	shouhuanF
shouhui	收回	Take back	shouhuiT
shouhui	受贿	Accept bribes	shouhuiA
shouhui	手绘	Hand-drawn	shouhuiH
shouhui	受惠	Benefit from	shouhuiB
shouhuo	收获	Harvest	shouhuoH
shouhuo	收货	Receipt of goods	shouhuoR
shouhuo	售货	To sell goods	shouhuoT
shouji	手机	Mobile phone	shoujiMo
shouji	收集	Collect	shoujiC
shouji	手记	Notebook	shoujiN
shouji	熟记	Memorize thoroughly	shoujiMe
shouji	首级	Head (as in	shoujiHe
shouji	手迹	Handwriting	shoujiHa
shoujia	售价	Selling price	shoujiaSe
shoujia	首家	First company	shoujiaF
shoujia	首架	Starting point	shoujiaSt
shoujian	收件	Receiving Party	shoujianR
shoujiao	手脚	Hands and feet	shoujiaoH
shoujiao	收缴	Collect	shoujiaoC
shoujie	首届	First session	shoujieF
shoujie	受戒	Ordination	shoujieO
shoujie	守节	To uphold principles	shoujieT
shoujin	收紧	Tighten	shoujinTi
shoujin	受尽	To suffer	shoujinTo
shoujin	手巾	Handkerchief	shoujinH
shoujing	受精	Fertilize	shoujingF
shoujing	受惊	Be frightened	shoujingB
shoujiu	守旧	Maintain the old ways	shoujiuM
shouju	收据	Receipt	shoujuR
shouju	手举	Hand raised	shoujuHand 
shouju	首句	First sentence	shoujuF
shouju	手锯	Handsaw	shoujuHands
shoujuan	手绢	Handkerchief	shoujuanHandk
shoujuan	手卷	Handscroll	shoujuanHands
shoujun	守军	Garrison Commander	shoujunG
shoukan	收看	Watch	shoukanW
shouke	授课	Lecture	shoukeL
shouke	首颗	The first	shoukeT
shouken	首肯	Approval	shoukenA
shoukong	受控	Controlled	shoukongC
shouku	受苦	Suffer hardship	shoukuS
shoukuan	收款	Receiving payment	shoukuanR
shoukuan	首款	Shou quan	shoukuanS
shoukun	受困	be trapped	shoukunb
shoulan	收揽	Collect	shoulanC
shoulei	兽类	Animals	shouleiA
shouleng	受冷	Cold Exposure	shoulengC
shouli	受理	Accept and handle	shouliA
shouli	手里	In hand	shouliI
shouli	受力	Subject to Force	shouliS
shouli	首例	First case	shouliF
shouli	寿礼	Birthday gift	shouliB
shoulian	收敛	Restrain	shoulianR
shoulian	寿联	Longevity couplet	shoulianL
shoulian	收殓	Embalm	shoulianE
shouliang	受凉	To catch a cold	shouliangT
shouliao	熟料	Prepared Pigment	shouliaoP
shoulie	狩猎	Hunting	shoulieH
shoulie	首列	Leading train	shoulieL
shouling	首领	Leader	shoulingL
shouliu	收留	Take in	shouliuT
shoulong	收拢	To gather	shoulongT
shoulu	收录	To include	shouluT
shoulun	首轮	First round	shoulunF
shoulun	手轮	Handwheel	shoulunH
shouluo	手锣	Hand gong	shouluoH
shoulv	收率	Yield	shoulvY
shouma	瘦马	Lean horses	shoumaL
shoumai	收买	Buy over	shoumaiB
shoumai	售卖	Selling	shoumaiS
shoumen	守门	Gatekeeper	shoumenG
shoumian	兽面	Beast Face	shoumianB
shoumian	手面	Hand face	shoumianH
shouming	寿命	Lifespan	shoumingL
shouming	受命	Receive an order	shoumingR
shoumo	手摸	Touch	shoumoT
shoumo	首末	First and Last	shoumoF
shouna	收纳	Organizing	shounaO
shounan	受难	To suffer greatly	shounanT
shounao	首脑	Head	shounaoH
shoupa	手帕	Handkerchief	shoupaH
shoupi	首批	First batch	shoupiF
shoupi	兽皮	Animal skin	shoupiA
shoupian	受骗	Be deceived	shoupianB
shoupiao	售票	Sell tickets	shoupiaoS
shoupin	受聘	To be offered a job	shoupinT
shouqi	收起	To put away	shouqiT
shouqi	受其	Receive it	shouqiR
shouqi	受气	Air Exposure	shouqiA
shouqian	收钱	Receive money	shouqianR
shouqiang	手枪	Pistol	shouqiangP
shouqing	手轻	Light Hand	shouqingL
shouqiong	受穷	To be impoverished	shouqiongT
shouqiu	手球	Team handball	shouqiuT
shouqu	收取	Collect	shouquC
shouqu	受屈	To be oppressed	shouquT
shouquan	授权	Authorize	shouquanA
shouquan	受权	To be granted authority	shouquanT
shouqun	兽群	Herd of Animals	shouqunH
shoure	受热	Heated	shoureH
shouren	熟人	Acquaintance	shourenA
shouren	受人	To be influenced by	shourenT
shouren	首任	First person to be appointed to a post	shourenF
shouren	手刃	Kill with one's own hands	shourenK
shourong	收容	Shelter	shourongS
shourou	瘦肉	lean meat	shouroul
shourou	熟肉	Cooked meat	shourouC
shouru	收入	Income	shouruI
shouruan	手软	Shǒu ruǎn	shouruanS
shouruo	瘦弱	Thin and Weak	shouruoT
shousha	手刹	Parking brake	shoushaP
shoushan	守山	To guard the mountain	shoushanT
shoushang	受伤	Injured	shoushangI
shoushang	手上	Hands	shoushangH
shoushen	受审	To be tried	shoushenTo be t
shoushen	守身	To be self-disciplined	shoushenTo be s
shoushi	收拾	Tidy up	shoushiTid
shoushi	首饰	Jewelry	shoushiJ
shoushi	手势	Gesture	shoushiG
shoushi	收尸	To carry the corpse	shoushiTo
shoushi	守时	Be punctual	shoushiB
shoushi	守势	Maintaining posture	shoushiM
shoushi	授时	Time service	shoushiTim
shoushou	收手	Stop	shoushouS
shoushou	收受	Receive	shoushouR
shoushou	收收	To finish	shoushouT
shoushou	手熟	Hands Familiar	shoushouH
shoushu	手术	Operation	shoushuO
shoushu	手书	Handwritten script	shoushuH
shoushu	收束	To conclude	shoushuT
shoushui	收税	Collect taxes	shoushuiC
shousi	寿司	Sushi	shousiS
shousou	首艘	First ship	shousouF
shousui	守岁	Watch Night	shousuiW
shousun	受损	Damaged	shousunD
shousuo	收缩	Shrink	shousuoS
shoutai	首台	First	shoutaiF
shoutang	首趟	First Trip	shoutangF
shoutang	寿堂	Hall of Longevity	shoutangH
shoutao	手套	Glove	shoutaoG
shoutao	首套	First set	shoutaoF
shoutao	寿桃	Birthday peaches	shoutaoB
shouti	受体	Receptor	shoutiR
shouti	手提	Shoulder bag	shoutiS
shoutiao	首条	First item	shoutiaoF
shoutiao	收条	Memo	shoutiaoM
shoutie	熟铁	Cast Iron	shoutieC
shouting	收听	Listen	shoutingL
shoutou	手头	At hand	shoutouA
shoutou	熟透	Completely ripe	shoutouC
shoutu	授徒	Teaching	shoutuTe
shoutu	守土	To defend one's land	shoutuTo
shoutui	首推	Highly Recommended	shoutuiHi
shoutui	手推	Hand push	shoutuiHa
shoutui	收腿	Draw up legs	shoutuiD
shoutuo	受托	To be entrusted with	shoutuoT
shoutuo	手托	Hand rest	shoutuoH
shouwan	手腕	Wrist	shouwanW
shouwang	守望	To watch over	shouwangTo w
shouwang	收网	To close the net	shouwangTo c
shouwei	首位	First place	shouweiFir
shouwei	守卫	Guard	shouweiG
shouwei	收尾	Finishing	shouweiFin
shouwei	首尾	Beginning and end	shouweiB
shouwo	手握	Hand-held	shouwoH
shouxi	熟悉	Familiar	shouxiF
shouxi	首席	Chief	shouxiC
shouxia	手下	Under	shouxiaU
shouxia	收下	Accept	shouxiaA
shouxian	首先	First	shouxianF
shouxian	受限	Limited	shouxianL
shouxiang	首相	Prime Minister	shouxiangPr
shouxiang	手相	Palmistry	shouxiangPa
shouxiang	受降	Surrender	shouxiangS
shouxiang	收降	Surrender	shouxiangS
shouxiao	瘦小	Thin	shouxiaoT
shouxiao	收效	Effect	shouxiaoE
shouxie	手写	Handwritten	shouxieH
shouxin	手心	Palm of the hand	shouxinP
shouxin	守信	To keep one’s promises	shouxinT
shouxin	收信	Receive letters	shouxinR
shouxing	受刑	To be punished	shouxingT
shouxing	手型	Hand Pose	shouxingH
shouxu	手续	Procedure	shouxuP
shouxuan	首选	Preferred	shouxuanP
shouxuan	手癣	Athlete's foot	shouxuanA
shouxue	瘦削	Thin and lean	shouxueT
shouya	受压	Under pressure	shouyaU
shouyan	首演	Premiere	shouyanP
shouyan	手眼	Hand-eye coordination	shouyanH
shouyang	收养	Adopt	shouyangA
shouyao	首要	Primary	shouyaoP
shouyao	受邀	Invited	shouyaoI
shouyao	手摇	Hand-cranked	shouyaoH
shouyao	兽药	Animal medicine	shouyaoA
shouye	首页	Title page	shouyeT
shouyi	收益	Income	shouyiI
shouyi	受益	Benefit	shouyiB
shouyi	兽医	Veterinarian	shouyiV
shouyi	手艺	Craft	shouyiC
shouyi	授意	To encourage	shouyiT
shouyi	授以	Granting	shouyiG
shouyi	首义	First Principles	shouyiF
shouyin	收银	Cash out	shouyinC
shouyin	手印	Handprint	shouyinH
shouyin	收音	Recording	shouyinR
shouyong	受用	To benefit	shouyongT
shouyu	授予	Confer	shouyuC
shouyu	手语	Sign language	shouyuS
shouyue	受阅	To be reviewed	shouyueT
shouzai	受灾	Affected by disaster	shouzaiA
shouze	守则	Rules	shouzeR
shouzeng	受赠	To be gifted	shouzengT
shouzhang	手掌	Palm	shouzhangP
shouzhang	首长	Senior official	shouzhangS
shouzhang	手杖	Cane	shouzhangC
shouzhe	收着	Dressed	shouzheD
shouzheng	守正	Uphold Correctness	shouzhengU
shouzhi	手指	Finger	shouzhiF
shouzhi	收支	Income and expenditure	shouzhiI
shouzhi	熟知	Acquaintance	shouzhiA
shouzhi	手执	Holding with the hand	shouzhiHo
shouzhi	收治	Treat	shouzhiTr
shouzhi	授职	To assign a position	shouzhiTo
shouzhi	手植	Hand Planting	shouzhiHa
shouzhong	手中	In hand	shouzhongI
shouzhong	受众	Audience	shouzhongA
shouzhou	手肘	Elbow	shouzhouE
shouzhu	守住	Guard	shouzhuG
shouzhu	受助	To receive assistance	shouzhuT
shouzhu	收住	Stop	shouzhuS
shouzhuo	手镯	Bracelet	shouzhuoB
shouzhuo	守拙	Maintaining simplicity	shouzhuoM
shouzi	首字	First character	shouziF
shouzi	寿字	Longevity character	shouziL
shouzu	受阻	Blocked	shouzuB
shouzu	手足	Hands and feet	shouzuH
shouzu	收租	Collecting rent	shouzuC
shouzui	受罪	To be punished for one's sins	shouzuiT
shouzuo	首座	First seat	shouzuoF
shuachu	耍处	A place to rest	shuachuA
shuaibai	衰败	Decline	shuaibaiD
shuaibian	衰变	Radioactive decay	shuaibianR
shuaibing	率兵	Leading troops	shuaibingL
shuaibu	率部	Lead an army	shuaibuL
shuaican	衰残	Decline and infirmity	shuaicanD
shuaicao	衰草	Withered grass	shuaicaoW
shuaicheng	摔成	To fall into	shuaichengT
shuaichu	甩出	Throw out	shuaichuT
shuaida	摔打	Striking	shuaidaS
shuaidao	摔倒	Fall down	shuaidaoF
shuaidiao	甩掉	Throw away	shuaidiaoT
shuaidiao	摔掉	Drop	shuaidiaoD
shuaidong	甩动	Shake	shuaidongS
shuaiduan	摔断	Break	shuaiduanB
shuaier	率尔	Follow you	shuaierF
shuaifu	帅府	General's Mansion	shuaifuG
shuaigan	甩干	Spin Dry	shuaiganS
shuaige	帅哥	Handsome guy	shuaigeH
shuaige	摔个	Fall	shuaigeF
shuaiguo	甩锅	Shifting the blame	shuaiguoS
shuaihuai	摔坏	Broken	shuaihuaiB
shuaijian	衰减	Attenuate	shuaijianA
shuaijiao	摔跤	Wrestle	shuaijiaoW
shuaijie	衰竭	Failure	shuaijieF
shuaijun	率军	Lead an army	shuaijunL
shuaikai	甩开	To shake off	shuaikaiT
shuaikai	摔开	Scatter	shuaikaiS
shuailao	衰老	Age	shuailaoA
shuailing	率领	Lead	shuailingL
shuailuo	衰落	Decline	shuailuoD
shuaimai	甩卖	Clearance sale	shuaimaiC
shuaiqi	帅气	Handsome	shuaiqiH
shuairuo	衰弱	Weak	shuairuoW
shuaishang	摔伤	Injured	shuaishangI
shuaishi	率师	To lead an army	shuaishiT
shuaishou	甩手	To wave one's hand dismissively	shuaishouT
shuaisi	摔死	Die from falling	shuaisiD
shuaisui	摔碎	Shattered	shuaisuiS
shuaisun	衰损	Worn out	shuaisunW
shuaitou	甩头	Shake head	shuaitouS
shuaitui	衰退	Decline	shuaituiDecline
shuaitui	衰颓	Decline and ruin	shuaituiDecline 
shuaiwang	衰亡	Decline	shuaiwangD
shuaiwei	衰微	Decline	shuaiweiD
shuaixian	率先	Take the lead	shuaixianT
shuaixing	率性	Be natural	shuaixingB
shuaixiu	衰朽	Decline and rot	shuaixiuD
shuaizhen	率真	Sincere	shuaizhenS
shuaizhong	率众	Lead a group	shuaizhongL
shuaka	刷卡	Swipe card	shuakaS
shualai	耍赖	Act shamelessly	shualaiA
shuan	书案	Desk	shuanD
shuangbai	双百	Double hundred	shuangbaiD
shuangbei	双倍	Double	shuangbeiD
shuangbi	双臂	Arms	shuangbiA
shuangbian	双边	Bilateral	shuangbianB
shuangce	双侧	Two-sided	shuangceT
shuangceng	双层	Double-layered	shuangcengD
shuangchen	霜晨	Frosty morning	shuangchenF
shuangchi	双翅	Double wings	shuangchiD
shuangchong	双重	Double	shuangchongD
shuangchuang	双创	Double Innovation	shuangchuangD
shuangchun	双唇	Double lips	shuangchunD
shuangda	双打	Doubles	shuangdaD
shuangdang	双档	Double Tier	shuangdangD
shuangdao	双刀	Pairs Skating	shuangdaoP
shuangdong	霜冻	Frost	shuangdongF
shuangduan	双端	Double End	shuangduanD
shuangdui	双堆	Shuangdui	shuangduiS
shuanger	双耳	Binaural	shuangerB
shuangfa	双发	Double shot	shuangfaD
shuangfang	双方	Both sides	shuangfangB
shuangfei	双飞	Double-barreled	shuangfeiD
shuangfeng	霜风	Frost and wind	shuangfengF
shuanggang	双杠	Parallel bars	shuanggangP
shuanggou	双钩	Double hook	shuanggouD
shuangguan	双管	Double-barreled	shuangguanDouble-
shuangguan	双关	Double meaning	shuangguanDouble 
shuanggui	双轨	Double-track	shuangguiD
shuanghuan	双环	Double ring	shuanghuanD
shuanghuang	双簧	Double reed	shuanghuangD
shuangji	双击	Double click	shuangjiDouble c
shuangji	双季	Double season	shuangjiDouble s
shuangjia	双颊	Cheeks	shuangjiaC
shuangjian	双肩	Double shoulder	shuangjianDouble s
shuangjian	双键	Double bond	shuangjianDouble b
shuangjiang	霜降	Shuangjiang	shuangjiangS
shuangjiang	双桨	Double oars	shuangjiangD
shuangjiao	双脚	Both feet	shuangjiaoB
shuangkou	爽口	Refreshing	shuangkouR
shuangkou	双口	Shuangkou	shuangkouS
shuangkuai	爽快	Frank	shuangkuaiF
shuanglang	爽朗	Cheerful and hearty	shuanglangC
shuanglian	双链	Double Chain	shuanglianDouble C
shuanglian	双联	Double linkage	shuanglianDouble l
shuanglin	双林	Double Forest	shuanglinD
shuanglu	霜露	Dew	shuangluD
shuanglun	双轮	Double Wheel	shuanglunD
shuangmei	双眉	Eyebrows	shuangmeiE
shuangmian	双面	Double-sided	shuangmianD
shuangming	双名	Binomial nomenclature	shuangmingB
shuangmu	双目	Double Eyes	shuangmuD
shuangqi	双栖	Double-resident	shuangqiD
shuangqi	霜期	Frost period	shuangqiF
shuangqiao	双桥	Shuangqiao	shuangqiaoS
shuangqin	双亲	Both parents	shuangqinB
shuangqing	双清	Shuangqing	shuangqingS
shuangren	双人	Two People	shuangrenT
shuangsheng	双生	Twins	shuangshengT
shuangshi	双十	October 10th	shuangshiO
shuangshou	双手	Both hands	shuangshouB
shuangshu	双数	Double number	shuangshuD
shuangshuang	双双	Double burials	shuangshuangD
shuangshuang	爽爽	Cool	shuangshuangC
shuangta	双塔	Twin Towers	shuangtaT
shuangtai	双胎	Twins	shuangtaiT
shuangtian	霜天	Frosty sky	shuangtianF
shuangtong	双筒	Binoculars	shuangtongB
shuangtui	双腿	Both legs	shuangtuiB
shuangxi	双膝	Kneeling	shuangxiK
shuangxi	双喜	Double happiness	shuangxiD
shuangxian	双线	Double line	shuangxianD
shuangxiang	双向	Two-way	shuangxiangT
shuangxiang	双相	Bipolar	shuangxiangB
shuangxie	双写	Double letter	shuangxieD
shuangxing	双星	Double star	shuangxingD
shuangxue	霜雪	Frost and snow	shuangxueF
shuangxue	双学	Double-enrollment	shuangxueD
shuangyan	双眼	Both eyes	shuangyanB
shuangyang	双氧	Double Oxygen	shuangyangD
shuangye	霜叶	Frost leaves	shuangyeF
shuangyi	双翼	Double wings	shuangyiD
shuangyin	双音	Double tone	shuangyinD
shuangying	双赢	Win-win	shuangyingW
shuangzi	双子	Gemini	shuangziG
shuangzu	双足	Double Foot	shuangzuD
shuanma	拴马	horse stall	shuanmah
shuanshang	拴上	Tie up	shuanshangT
shuansheng	拴绳	Tie up the rope	shuanshengT
shuanzhu	拴住	Hitch	shuanzhuH
shuaping	刷屏	Flood the screen	shuapingF
shuaqi	刷漆	Painting	shuaqiP
shuashua	刷刷	Brush	shuashuaB
shuaxi	刷洗	Wash	shuaxiW
shuaxin	刷新	Refresh	shuaxinR
shuaya	刷牙	Brush teeth	shuayaB
shuazi	刷子	Brush	shuaziB
shuazi	耍子	Playing	shuaziP
shubai	数百	Hundreds	shubaiH
shubao	书包	Schoolbag	shubaoS
shubao	书报	Newspapers and magazines	shubaoN
shubei	数倍	Several times	shubeiSe
shubei	书背	Spine	shubeiSp
shubei	数杯	Count cups	shubeiC
shuben	书本	Book	shubenB
shubi	数笔	A few strokes	shubiA
shubian	戍边	Defending the borders	shubianD
shubiao	鼠标	Mouse	shubiaoMo
shubiao	数表	Meter scale	shubiaoMe
shubu	数步	Steps	shubuS
shucai	蔬菜	Vegetable	shucaiV
shuce	书册	Music Book	shuceM
shucha	树杈	Tree branches	shuchaT
shuchang	舒畅	Comfortable	shuchangC
shucheng	书城	Bookshop	shuchengB
shuchi	数尺	Several feet	shuchiS
shuchi	梳齿	Comb teeth	shuchiC
shuchu	输出	Output	shuchuO
shuchu	数出	Count	shuchuC
shuchu	书橱	Bookcase	shuchuB
shuchu	赎出	Redemption	shuchuR
shuci	数次	Several times	shuciS
shuci	数词	Numerals	shuciN
shucong	树丛	Cluster of trees	shucongC
shucuo	输错	Incorrect input	shucuoI
shudai	束带	Shudei	shudaiS
shudan	书单	List of books	shudanL
shudao	疏导	Dredge	shudaoD
shudao	数到	Count to	shudaoC
shudao	蜀道	The treacherous roads of Sichuan	shudaoThe t
shudao	书道	The Way of Calligraphy	shudaoThe W
shudao	树倒	Fallen trees	shudaoF
shudi	属地	Dependency	shudiD
shudi	竖笛	Flute	shudiF
shudi	蜀地	Shu	shudiSh
shudi	熟地	Skillfully	shudiSk
shudian	书店	Bookstore	shudianB
shudian	输电	Transmit electricity	shudianTr
shudian	数点	To count	shudianTo
shuding	树顶	Tree top	shudingT
shudong	树洞	Tree hole	shudongT
shudu	熟读	Thoroughly Read	shuduT
shudu	数度	Several Times	shuduS
shudui	书堆	Pile of books	shuduiP
shue	数额	Amount	shueA
shufa	书法	Calligraphy	shufaC
shufa	抒发	Express	shufaE
shufa	束发	Tie Up Hair	shufaT
shufang	书房	Study	shufangS
shufang	书坊	Printing house	shufangP
shufang	竖放	Vertical Placement	shufangV
shufen	数份	Number of Copies	shufenN
shufen	书愤	Anger about books	shufenA
shufu	舒服	Comfortable	shufuC
shufu	束缚	Restrain	shufuR
shufu	叔父	Paternal Uncle	shufuPa
shufu	鼠妇	Pill bug	shufuPi
shugan	树干	Tree trunk	shuganT
shugao	书稿	Manuscript	shugaoM
shugao	树高	Tree height	shugaoT
shuge	数个	Count	shugeC
shugen	树根	Roots	shugenR
shugen	数根	Several roots	shugenS
shugua	树挂	Tree trunk	shuguaT
shuguan	树冠	Crown	shuguanC
shuguan	书馆	Library	shuguanL
shuguang	曙光	Dawn	shuguangD
shugui	书柜	Bookcase	shuguiB
shuguo	属国	Client State	shuguoC
shuguo	蔬果	Fruits and Vegetables	shuguoFr
shuguo	蜀国	Shu Kingdom	shuguoSh
shuguo	数过	Finished	shuguoFi
shuguo	数国	Several Countries	shuguoSe
shuhai	鼠害	Rat infestation	shuhaiR
shuhai	书海	Ocean of books	shuhaiO
shuhan	蜀汉	Shu Han	shuhanS
shuhan	书函	Bookcase	shuhanB
shuhou	术后	Post-operative	shuhouP
shuhou	树后	After Root	shuhouAf
