阿维菌素	aweijunsu
以产定工	yichandinggong
宜昌橙	yichangcheng
异常型种子	yichangxingzhongzi
遗传工程	yichuangongcheng
一串红	yichuanhong
遗传率	yichuanlv
遗传漂变	yichuanpiaobian
遗传侵蚀	yichuanqinshi
移动辐照器	yidongfuzhaoqi
彝家	yijia
异交	yijiao
乙磷铝	yilinlv
溢流孔	yiliukong
一年生	yiniansheng
彝山	yishan
易位	yiwei
易位系	yiweixi
彝文	yiwen
异形词	yixingci
异源	yiyuan
异源多倍体	yiyuanduobeiti
异源四倍体	yiyuansibeiti
移栽	yizai
彝寨	yizhai
抑制发芽	yizhifaya
彝州	yizhou
荫蔽	yinbi
印度鳄	yindue
引发酶	yinfamei
银环蛇	yinhuanshe
银胶菊	yinjiaoju
引进品种	yinjinpinzhong
阴离子	yinlizi
银莲花	yinlianhua
印制电路	yinzhidianlu
荧光	yingguang
硬粒玉米	yingliyumi
瘿瘤	yingliu
罂粟	yingsu
营养袋	yingyangdai
营养枝	yingyangzhi
影印机	yingyinji
硬质小麦	yingzhixiaomai
鹰嘴豆	yingzuidou
诱变剂	youbianji
诱变育种	youbianyuzhong
油菜籽	youcaizi
油橄榄	youganlan
有害副作用	youhaifuzuoyong
有害生物	youhaishengwu
油葫芦	youhulu
有机肥	youjifei
有机肥料	youjifeiliao
有机硅	youjigui
有机硫	youjiliu
有机农业	youjinongye
油梨	youli
油料	youliao
油料脱皮	youliaotuopi
油料预处理	youliaoyuchuli
油料作物	youliaozuowu
莜麦	youmai
莜麦粉	youmaifen
幼嫩	younen
诱杀	yousha
油杉	youshan
油松	yousong
油桐	youtong
有效降水量	youxiaojiangshuiliang
有效温度	youxiaowendu
诱蝇酮	youyingtong
油脂精炼	youzhijinglian
预测	yuce
预测预报	yuceyubao
誉称	yucheng
淤溉	yugai
余甘子	yuganzi
雨季	yuji
郁金香	yujinxiang
雨久花	yujiuhua
雨量	yuliang
虞美人	yumeiren
玉米棒子	yumibangzi
玉米大斑病	yumidabanbing
玉米粉	yumifen
玉米糁	yumishen
玉米收割机	yumishougeji
玉米渣	yumizha
育苗	yumiao
榆木树	yumushu
芋艿	yunai
雨水	yushui
雨凇	yusong
鱼藤酮	yutengtong
榆叶梅	yuyemei
羽衣甘蓝	yuyiganlan
玉簪	yuzan
宇宙志	yuzhouzhi
原地保存	yuandibaocun
原基	yuanji
远交	yuanjiao
园林设计	yuanlinsheji
圆盘耙	yuanpanba
圆盘犁	yuanpanli
原球茎	yuanqiujing
远摄镜头	yuanshejingtou
原生质体培养	yuanshengzhitipeiyang
原始农业	yuanshinongye
鸢尾	yuanwei
原位分子杂交	yuanweifenzizajiao
园艺	yuanyi
园艺师	yuanyishi
园艺学	yuanyixue
园艺作物	yuanyizuowu
远缘	yuanyuan
远缘嫁接	yuanyuanjiajie
远缘杂种	yuanyuanzazhong
原种	yuanzhong
越冬防治	yuedongfangzhi
越冬作物	yuedongzuowu
越瓜	yuegua
越桔	yueju
月台票	yuetaipiao
云量	yunliang
云南农业大学	yunnannongyedaxue
云南松	yunnansong
云杉	yunshan
运输费用	yunshufeiyong
孕穗	yunsui
芸苔	yuntai
芸薹	yuntai
允许浓度	yunxunongdu
杂草	zacao
杂交高粱	zajiaogaoliang
杂交可育	zajiaokeyu
杂交亲和性	zajiaoqinhexing
杂交育种	zajiaoyuzhong
杂交种	zajiaozhong
杂交组合	zajiaozuhe
杂项费用	zaxiangfeiyong
杂种	zazhong
杂种优势	zazhongyoushi
栽培品种	zaipeipinzhong
再侵染源	zaiqinranyuan
载体	zaiti
栽植	zaizhi
早春	zaochun
早代测验	zaodaiceyan
早稻	zaodao
早发	zaofa
早霜	zaoshuang
糟渍	zaozi
增产灵	zengchanling
增生	zengsheng
炸土豆片	zhatudoupian
樟树	zhangshu
沼气	zhaoqi
沼气池	zhaoqichi
着水	zhaoshui
蛰伏	zhefu
遮阴	zheyin
真菌	zhenjun
砧木	zhenmu
砧穗相互作用	zhensuixianghuzuoyong
镇压	zhenya
珍珠鸡	zhenzhuji
整倍体	zhengbeiti
政策引导	zhengceyindao
蒸炒	zhengchao
整地	zhengdi
正反交	zhengfanjiao
正交试验	zhengjiaoshiyan
蒸汽蒸馏	zhengqizhengliu
蒸青	zhengqing
蒸散	zhengsan
正态分布	zhengtaifenbu
正态曲线	zhengtaiquxian
蒸腾	zhengteng
蒸腾速率	zhengtengsulv
蒸腾系数	zhengtengxishu
整枝	zhengzhi
值班服务员	zhibanfuwuyuan
植被	zhibei
植被指数	zhibeizhishu
制表机	zhibiaoji
致病性	zhibingxing
脂肪酸	zhifangsuan
制剂	zhiji
枝接	zhijie
智利草莓	zhilicaomei
直立型花生	zhilixinghuasheng
直立压条	zhiliyatiao
质量标准	zhiliangbiaozhun
芝麻酱	zhimajiang
芝麻油	zhimayou
致密	zhimi
支农惠农政策	zhinonghuinongzhengce
支票帐户	zhipiaozhanghu
支渠	zhiqu
指示生物	zhishishengwu
致死剂量	zhisijiliang
植物保护	zhiwubaohu
植物病害	zhiwubinghai
植物病理学	zhiwubinglixue
植物检疫	zhiwujianyi
植物群落	zhiwuqunluo
植物学家	zhiwuxuejia
植物引种	zhiwuyinzhong
植物种类识别	zhiwuzhongleishibie
直线回归	zhixianhuigui
直线相关	zhixianxiangguan
滞育	zhiyu
栀子	zhizi
中稻	zhongdao
种肥	zhongfei
中耕	zhonggeng
中耕培土机	zhonggengpeituji
中国科学院	zhongguokexueyuan
中华人民共和国农业部	zhonghuarenmingongheguonongyebu
种鸡场	zhongjichang
中间型	zhongjianxing
中间型大麦	zhongjianxingdamai
重力分级	zhonglifenji
中期贷款	zhongqidaikuan
种球	zhongqiu
中熟	zhongshu
众数	zhongshu
终霜	zhongshuang
中文报纸	zhongwenbaozhi
种质	zhongzhi
种植机	zhongzhiji
种植业	zhongzhiye
种猪	zhongzhu
种子饱满度	zhongzibaomandu
种子仓库	zhongzicangku
种子管理站	zhongziguanlizhan
种子混杂物	zhongzihunzawu
种子活力	zhongzihuoli
种子鉴定	zhongzijianding
种子检验	zhongzijianyan
种子容重	zhongzirongzhong
种子消毒	zhongzixiaodu
种子休眠	zhongzixiumian
周工资	zhougongzi
周期性症状	zhouqixingzhengzhuang
皱叶冬寒菜	zhouyedonghancai
皱叶甘蓝	zhouyeganlan
昼夜节律	zhouyejielv
周转基金	zhouzhuanjijin
逐步回归	zhubuhuigui
贮藏期	zhucangqi
猪产房	zhuchanfang
主导产业	zhudaochanye
竹杆	zhugan
主根	zhugen
株行距	zhuhangju
株行试验	zhuhangshiyan
竹节虫	zhujiechong
株距	zhuju
柱列	zhulie
猪毛菜	zhumaocai
蛀食	zhushi
贮水量	zhushuiliang
竹荪	zhusun
主效应	zhuxiaoying
注油枪	zhuyouqiang
竹蔗	zhuzhe
砖茶	zhuancha
转导	zhuandao
转化	zhuanhua
转换系数	zhuanhuanxishu
撞击杀虫	zhuangjishachong
壮秧	zhuangyang
追施	zhuishi
灼伤	zhuoshang
资本货物	zibenhuowu
资本外逃	zibenwaitao
资本主义经济	zibenzhuyijingji
自变量	zibianliang
紫菜薹	zicaitai
紫菜头	zicaitou
子代	zidai
自发气调贮藏	zifaqitiaozhucang
子房	zifang
渍害	zihai
自花授粉	zihuashoufen
自花受精	zihuashoujing
紫花豌豆	zihuawandou
自交	zijiao
自交不亲和性	zijiaobuqinhexing
自交可育性	zijiaokeyuxing
自交亲和系	zijiaoqinhexi
自交亲和性	zijiaoqinhexing
自净作用	zijingzuoyong
紫罗兰	ziluolan
籽棉	zimian
紫茉莉	zimoli
紫皮	zipi
自然保护区	ziranbaohuqu
自然肥力	ziranfeili
自然通风干燥	zirantongfengganzao
自然选择	ziranxuanze
紫色土	zisetu
紫杉	zishan
子实	zishi
子实体	zishiti
紫苏	zisu
自锁螺母	zisuoluomu
紫藤	ziteng
紫外线辐照	ziwaixianfuzhao
紫菀	ziwan
咨询服务系统	zixunfuwuxitong
自由度	ziyoudu
自由授粉	ziyoushoufen
紫玉兰	ziyulan
资源保护	ziyuanbaohu
紫云英	ziyunying
紫竹	zizhu
综合利用	zongheliyong
综合种	zonghezhong
棕榈油	zonglvyou
棕壤	zongrang
总收入	zongshouru
总体	zongti
总务委员会	zongwuweiyuanhui
总需氧量	zongxuyangliang
总有机碳	zongyoujitan
棕竹	zongzhu
组织培养	zuzhipeiyang
最大吸湿水	zuidaxishishui
醉蝶花	zuidiehua
最高速度	zuigaosudu
最高允许浓度	zuigaoyunxunongdu
座果	zuoguo
作物	zuowu
作物气象	zuowuqixiang
作物起源	zuowuqiyuan
作物栽培	zuowuzaipei
