生产储备	shengchanchubei
现金购买	xianjingoumai
现金红利	xianjinhongli
现金回收	xianjinhuishou
现金价格	xianjinjiage
现金交割	xianjinjiaoge
现金交取	xianjinjiaoqu
现金交易	xianjinjiaoyi
现金流	xianjinliu
现金流入	xianjinliuru
现金牛	xianjinniu
现金商品	xianjinshangpin
现金市场	xianjinshichang
现金收益	xianjinshouyi
现金头寸	xianjintoucun
现金项	xianjinxiang
现金余额	xianjinyue
现金预算	xianjinyusuan
现金账簿	xianjinzhangbu
现金帐户	xianjinzhanghu
现金支出	xianjinzhichu
现金准备	xianjinzhunbei
现款购买	xiankuangoumai
限量发行	xianliangfaxing
限量购买	xianlianggoumai
先买权	xianmaiquan
限期背书	xianqibeishu
闲钱	xianqian
限时办结	xianshibanjie
限时期权	xianshiqiquan
现手	xianshou
限售股	xianshougu
限售期	xianshouqi
线下项目	xianxiaxiangmu
现行利率	xianxinglilv
先行赔付	xianxingpeifu
现有股东	xianyougudong
先由客户	xianyoukehu
现有客户	xianyoukehu
现值	xianzhi
限制盈余	xianzhiyingyu
闲置资产	xianzhizichan
闲置资金	xianzhizijin
相伴而来	xiangbanerlai
湘财证券	xiangcaizhengquan
相差不大	xiangchabuda
相当专业	xiangdangzhuanye
相等条款	xiangdengtiaokuan
相对安全	xiangduianquan
相对更长	xiangduigengchang
相对合理	xiangduiheli
相对会	xiangduihui
相对价值	xiangduijiazhi
相对较低	xiangduijiaodi
相对困难	xiangduikunnan
相对麻烦	xiangduimafan
相对平稳	xiangduipingwen
相对容易	xiangduirongyi
相对有利	xiangduiyouli
香港股市	xiangganggushi
香港行情	xiangganghangqing
香港厚元	xiangganghouyuan
香港权证	xianggangquanzheng
香港上市	xianggangshangshi
相关板块	xiangguanbankuai
相关部门	xiangguanbumen
相关材料	xiangguancailiao
相关措施	xiangguancuoshi
相关贷款	xiangguandaikuan
相关服务	xiangguanfuwu
相关个股	xiangguangegu
相关公司	xiangguangongsi
相关股东	xiangguangudong
相关行业	xiangguanhangye
相关机构	xiangguanjigou
相关情况	xiangguanqingkuang
相关人士	xiangguanrenshi
相关人员	xiangguanrenyuan
相关手续	xiangguanshouxu
相关条款	xiangguantiaokuan
相关系数	xiangguanxishu
相关因素	xiangguanyinsu
相关政策	xiangguanzhengce
相关资产	xiangguanzichan
相互协助	xianghuxiezhu
相互遗嘱	xianghuyizhu
相互银行	xianghuyinhang
相继获得	xiangjihuode
相继投入	xiangjitouru
相结合	xiangjiehe
向客户	xiangkehu
向买方	xiangmaifang
向卖方	xiangmaifang
项目筹资	xiangmuchouzi
项目合作	xiangmuhezuo
项目经费	xiangmujingfei
项目内容	xiangmuneirong
项目评估	xiangmupinggu
项目评价	xiangmupingjia
项目融资	xiangmurongzi
项目收益	xiangmushouyi
项目说明	xiangmushuoming
项目投资	xiangmutouzi
项目预计	xiangmuyuji
项目债券	xiangmuzhaiquan
项目中心	xiangmuzhongxin
项目资金	xiangmuzijin
向前滚进	xiangqiangunjin
向前推展	xiangqiantuizhan
向上级行	xiangshangjixing
向上交易	xiangshangjiaoyi
向上趋势	xiangshangqushi
向上突破	xiangshangtupo
详细数据	xiangxishuju
向下交易	xiangxiajiaoyi
向下趋势	xiangxiaqushi
向下调整	xiangxiatiaozheng
向央行	xiangyanghang
向银行	xiangyinhang
相应减少	xiangyingjianshao
相应上调	xiangyingshangtiao
相应信息	xiangyingxinxi
相应业务	xiangyingyewu
相应职级	xiangyingzhiji
小额贷款	xiaoedaikuan
小额股票	xiaoegupiao
小额现款	xiaoexiankuan
小额遗产	xiaoeyichan
小额债券	xiaoezhaiquan
消费贷款	xiaofeidaikuan
消费观念	xiaofeiguannian
消费开支	xiaofeikaizhi
消费类	xiaofeilei
消费疲软	xiaofeipiruan
消费疲弱	xiaofeipiruo
消费偏好	xiaofeipianhao
消费税	xiaofeishui
消费统计	xiaofeitongji
消费旺季	xiaofeiwangji
消费需求	xiaofeixuqiu
小幅放大	xiaofufangda
小幅回落	xiaofuhuiluo
小幅上涨	xiaofushangzhang
小幅调整	xiaofutiaozheng
小幅下调	xiaofuxiatiao
小公司	xiaogongsi
小股本	xiaoguben
小股东	xiaogudong
小股民	xiaogumin
销户费	xiaohufei
销货清单	xiaohuoqingdan
销货条件	xiaohuotiaojian
销货账	xiaohuozhang
消极收入	xiaojishouru
销卡	xiaoka
销量差异	xiaoliangchayi
销量大增	xiaoliangdazeng
小麦价格	xiaomaijiage
小麦期货	xiaomaiqihuo
小牌	xiaopai
小盘	xiaopan
小盘股	xiaopangu
小器具	xiaoqiju
销蚀	xiaoshi
销售窗口	xiaoshouchuangkou
销售代理	xiaoshoudaili
销售范围	xiaoshoufanwei
销售费用	xiaoshoufeiyong
销售股票	xiaoshougupiao
销售管理	xiaoshouguanli
销售广告	xiaoshouguanggao
销售合同	xiaoshouhetong
销售机构	xiaoshoujigou
销售基金	xiaoshoujijin
销售价格	xiaoshoujiage
销售金额	xiaoshoujine
销售经理	xiaoshoujingli
销售控制	xiaoshoukongzhi
销售毛利	xiaoshoumaoli
销售品种	xiaoshoupinzhong
销售收入	xiaoshoushouru
销售数据	xiaoshoushuju
销售条件	xiaoshoutiaojian
销售退回	xiaoshoutuihui
销售网点	xiaoshouwangdian
销售网络	xiaoshouwangluo
销售一空	xiaoshouyikong
销售预算	xiaoshouyusuan
销售战略	xiaoshouzhanlue
销售账户	xiaoshouzhanghu
销售折扣	xiaoshouzhekou
销售总额	xiaoshouzonge
销售组合	xiaoshouzuhe
小投机者	xiaotoujizhe
消息面上	xiaoximianshang
小阳线	xiaoyangxian
小阴线	xiaoyinxian
小子弹	xiaozidan
携程网	xiechengwang
携带本人	xiedaibenren
协定存款	xiedingcunkuan
协定记账	xiedingjizhang
协定转让	xiedingzhuanrang
协方差	xiefangcha
协和银行	xieheyinhang
协会章程	xiehuizhangcheng
协调部	xietiaobu
协调机制	xietiaojizhi
协调一致	xietiaoyizhi
协同发展	xietongfazhan
协同效力	xietongxiaoli
协同效应	xietongxiaoying
协议存款	xieyicunkuan
协议定价	xieyidingjia
协议回购	xieyihuigou
协议书	xieyishu
协议销售	xieyixiaoshou
协议债券	xieyizhaiquan
协议招标	xieyizhaobiao
协助客户	xiezhukehu
协助买方	xiezhumaifang
协助卖方	xiezhumaifang
协助银行	xiezhuyinhang
新保网	xinbaowang
新表现	xinbiaoxian
新财富	xincaifu
新财经	xincaijing
信诚基金	xinchengjijin
信诚人寿	xinchengrenshou
心存疑虑	xincunyilv
信达澳银	xindaaoyin
信达证券	xindazhengquan
信贷安排	xindaianpai
信贷保险	xindaibaoxian
信贷部门	xindaibumen
信贷补贴	xindaibutie
信贷差	xindaicha
信贷产品	xindaichanpin
信贷额度	xindaiedu
信贷方式	xindaifangshi
信贷风险	xindaifengxian
信贷服务	xindaifuwu
信贷管制	xindaiguanzhi
信贷换算	xindaihuansuan
信贷基础	xindaijichu
信贷机构	xindaijigou
信贷基金	xindaijijin
信贷紧缩	xindaijinsuo
信贷能力	xindainengli
信贷评级	xindaipingji
信贷融通	xindairongtong
信贷市场	xindaishichang
信贷投放	xindaitoufang
信贷危机	xindaiweiji
信贷问题	xindaiwenti
信贷限额	xindaixiane
信贷协会	xindaixiehui
信贷协议	xindaixieyi
信贷形势	xindaixingshi
信贷业务	xindaiyewu
信贷银行	xindaiyinhang
信贷员	xindaiyuan
信贷政策	xindaizhengce
信贷支持	xindaizhichi
信贷质量	xindaizhiliang
信贷资产	xindaizichan
新低点	xindidian
辛迪加	xindijia
新东方	xindongfang
信孚银行	xinfuyinhang
新高点	xingaodian
新高价	xingaojia
新高数	xingaoshu
新股	xingu
新股定位	xingudingwei
新股发行	xingufaxing
新股配售	xingupeishou
新股申购	xingushengou
新股速递	xingusudi
新规定	xinguiding
信函股票	xinhangupiao
新韩银行	xinhanyinhang
新行长	xinhangzhang|xinhangchang
新行情	xinhangqing
信合网	xinhewang
新华保险	xinhuabaoxian
新华财经	xinhuacaijing
新华银行	xinhuayinhang
信汇	xinhui
信汇汇率	xinhuihuilv
新货币	xinhuobi
新基金	xinjijin
新机制	xinjizhi
新建网点	xinjianwangdian
新疆证券	xinjiangzhengquan
新京报	xinjingbao
新经济	xinjingji
新卡	xinka
新浪财经	xinlangcaijing
新老划断	xinlaohuaduan
心理测试	xinliceshi
新利率	xinlilv
心理预期	xinliyuqi
新龙头	xinlongtou
新能源	xinnengyuan
新桥投资	xinqiaotouzi
新设	xinshe
新设合并	xinshehebing
新市值	xinshizhi
新台阶	xintaijie
信托	xintuo
信托财产	xintuocaichan
信托公司	xintuogongsi
信托合同	xintuohetong
信托机构	xintuojigou
信托期	xintuoqi
信托声明	xintuoshengming
信托条款	xintuotiaokuan
信托通知	xintuotongzhi
信托投资	xintuotouzi
信托文书	xintuowenshu
信托协议	xintuoxieyi
信托业	xintuoye
信托遗产	xintuoyichan
信托遗嘱	xintuoyizhu
信托银行	xintuoyinhang
信托账户	xintuozhanghu
信托资本	xintuoziben
信托资产	xintuozichan
信息补录	xinxibulu
信息服务	xinxifuwu
信息含量	xinxihanliang
信息披露	xinxipilu
信息渠道	xinxiqudao
信息效率	xinxixiaolv
信息早报	xinxizaobao
信心丧失	xinxinsangshi
新兴市场	xinxingshichang
新一轮	xinyilun
新营销	xinyingxiao
信用不好	xinyongbuhao
信用创造	xinyongchuangzao
信用贷款	xinyongdaikuan
信用担保	xinyongdanbao
信用等级	xinyongdengji
信用调查	xinyongdiaocha
信用度	xinyongdu
信用额度	xinyongedu
信用风险	xinyongfengxian
信用工具	xinyonggongju
信用级别	xinyongjibie
信用积分	xinyongjifen
信用极高	xinyongjigao
信用记录	xinyongjilu
信用紧缩	xinyongjinsuo
信用控制	xinyongkongzhi
信用良好	xinyonglianghao
信用膨胀	xinyongpengzhang
信用评级	xinyongpingji
信用评价	xinyongpingjia
信用条件	xinyongtiaojian
信用危机	xinyongweiji
信用形式	xinyongxingshi
信用债券	xinyongzhaiquan
信用证	xinyongzheng
信用中介	xinyongzhongjie
信用状况	xinyongzhuangkuang
信誉良好	xinyulianghao
信誉如何	xinyuruhe
新元财经	xinyuancaijing
鑫源股票	xinyuangupiao
新增产能	xinzengchanneng
新增存款	xinzengcunkuan
新增贷款	xinzengdaikuan
新增房贷	xinzengfangdai
新政出台	xinzhengchutai
新资金	xinzijin
形成过程	xingchengguocheng
幸福市场	xingfushichang
行权比例	xingquanbili
行权公告	xingquangonggao
行权价	xingquanjia
行权价格	xingquanjiage
行权清算	xingquanqingsuan
行使价	xingshijia
行使价格	xingshijiage
行使期	xingshiqi
形势严峻	xingshiyanjun
兴旺企业	xingwangqiye
行为理论	xingweililun
兴业基金	xingyejijin
兴业卡	xingyeka
兴业银行	xingyeyinhang
兴业证券	xingyezhengquan
行政裁定	xingzhengcaiding
行政罚金	xingzhengfajin
行政罚款	xingzhengfakuan
行政管理	xingzhengguanli
熊侃	xiongkan
熊猫债券	xiongmaozhaiquan
熊市	xiongshi
熊市挤压	xiongshijiya
熊市夹击	xiongshijiaji
熊市恐慌	xiongshikonghuang
熊式收购	xiongshishougou
熊式袭劫	xiongshixijie
修订预算	xiudingyusuan
休眠账户	xiumianzhanghu
袖珍操纵	xiuzhencaozong
虚股交易	xugujiaoyi
虚假分红	xujiafenhong
虚假购买	xujiagoumai
虚拟货币	xunihuobi
虚拟卡	xunika
虚拟资本	xuniziben
需求不足	xuqiubuzu
需求大增	xuqiudazeng
需求价格	xuqiujiage
需求上升	xuqiushangsheng
旭日银行	xuriyinhang
蓄势再涨	xushizaizhang
需要沟通	xuyaogoutong
需要进行	xuyaojinxing
需要聚集	xuyaojuji
需要考量	xuyaokaoliang
需要考虑	xuyaokaolv
需要提供	xuyaotigong
需要退回	xuyaotuihui
需要协调	xuyaoxietiao
需要有	xuyaoyou
需要支付	xuyaozhifu
需要资金	xuyaozijin
虚涨	xuzhang
虚租	xuzu
宣布批准	xuanbupizhun
宣布上调	xuanbushangtiao
宣传费用	xuanchuanfeiyong
宣告日	xuangaori
选股	xuangu
选股标准	xuangubiaozhun
选股方法	xuangufangfa
选股技巧	xuangujiqiao
选股软件	xuanguruanjian
选股思路	xuangusilu
选股信息	xuanguxinxi
宣誓书	xuanshishu
选择币种	xuanzebizhong
选择日	xuanzeri
选择退出	xuanzetuichu
选准时机	xuanzhunshiji
削价	xuejia
削价计算	xuejiajisuan
削价融资	xuejiarongzi
学生创业	xueshengchuangye
学习贯彻	xuexiguanche
血浴	xueyu
循环交易	xunhuanjiaoyi
寻求其他	xunqiuqita
迅速扩张	xunsukuozhang
寻找合理	xunzhaoheli
寻找机会	xunzhaojihui
压到更低	yadaogengdi
压低	yadi
雅虎财经	yahucaijing
押汇	yahui
压价	yajia
压力较小	yalijiaoxiao
亚太股市	yataigushi
亚信	yaxin
压制价格	yazhijiage
亚洲货币	yazhouhuobi
亚洲美元	yazhoumeiyuan
亚洲银行	yazhouyinhang
亚洲证券	yazhouzhengquan
演变过程	yanbianguocheng
验钞机	yanchaoji
延迟报价	yanchibaojia
延迟付款	yanchifukuan
延迟还款	yanchihuankuan
延迟履行	yanchilvxing
研发部门	yanfabumen
研发人员	yanfarenyuan
严格按照	yangeanzhao
严格控制	yangekongzhi
严格评估	yangepinggu
燕京啤酒	yanjingpijiu
验旧	yanjiu
研究报告	yanjiubaogao
研究成本	yanjiuchengben
研究费用	yanjiufeiyong
研究行业	yanjiuhangye
研究简报	yanjiujianbao
研究能力	yanjiunengli
研究支持	yanjiuzhichi
研究重点	yanjiuzhongdian
严厉查处	yanlichachu
延期滚动	yanqigundong
延期交割	yanqijiaoge
延期纳税	yanqinashui
延期申报	yanqishenbao
眼前商品	yanqianshangpin
验审	yanshen
验审员	yanshenyuan
衍生产品	yanshengchanpin
衍生品	yanshengpin
衍生权证	yanshengquanzheng
烟台万华	yantaiwanhua
严重被套	yanzhongbeitao
严重炒高	yanzhongchaogao
严重超买	yanzhongchaomai
严重超卖	yanzhongchaomai
严重低估	yanzhongdigu
严重低迷	yanzhongdimi
严重高估	yanzhonggaogu
严重亏损	yanzhongkuisun
严重偏离	yanzhongpianli
严重失实	yanzhongshishi
杨百万	yangbaiwan
羊城通	yangchengtong
央行贷款	yanghangdaikuan
央行发布	yanghangfabu
央行票据	yanghangpiaoju
央行宣布	yanghangxuanbu
杨红革	yanghongge
扬基债券	yangjizhaiquan
养老保险	yanglaobaoxian
养老计划	yanglaojihua
养老基金	yanglaojijin
养老信托	yanglaoxintuo
阳线	yangxian
遥遥领先	yaoyaolingxian
遥远期权	yaoyuanqiquan
要约收购	yaoyueshougou
要约证券	yaoyuezhengquan
要逐步	yaozhubu
业绩不佳	yejibujia
业绩平平	yejipingping
业绩水平	yejishuiping
业绩预测	yejiyuce
业绩预亏	yejiyukui
业绩预期	yejiyuqi
业绩预增	yejiyuzeng
业绩增长	yejizengzhang
业界认可	yejierenke
叶滔网	yetaowang
业务板块	yewubankuai
业务办理	yewubanli
业务创新	yewuchuangxin
业务发展	yewufazhan
业务范围	yewufanwei
业务风险	yewufengxian
业务负担	yewufudan
业务岗位	yewugangwei
业务关系	yewuguanxi
业务规模	yewuguimo
业务合作	yewuhezuo
业务环节	yewuhuanjie
业务机构	yewujigou
业务监管	yewujianguan
业务交流	yewujiaoliu
业务经理	yewujingli
业务类型	yewuleixing
业务联系	yewulianxi
业务流程	yewuliucheng
业务审计	yewushenji
业务失败	yewushibai
业务试点	yewushidian
业务收入	yewushouru
业务条件	yewutiaojian
业务线	yewuxian
业务优势	yewuyoushi
业务整合	yewuzhenghe
业务指标	yewuzhibiao
业务种类	yewuzhonglei
业务资费	yewuzifei
业务资格	yewuzige
业务咨询	yewuzixun
业务综述	yewuzongshu
一般不能	yibanbuneng
一般会	yibanhui
一般较差	yibanjiaocha
一般散户	yibansanhu
一般推算	yibantuisuan
一般选择	yibanxuanze
一般预算	yibanyusuan
益邦投资	yibangtouzi
一本通	yibentong
遗产税	yichanshui
异常成本	yichangchengben
异常破损	yichangposun
异常损耗	yichangsunhao
亿城股份	yichenggufen
益处	yichu
一触即发	yichujifa
一次出售	yicichushou
一次出手	yicichushou
一次还款	yicihuankuan
一次考验	yicikaoyan
亿大关	yidaguan
一大瓶颈	yidapingjing
易贷中国	yidaizhongguo
一德期货	yideqihuo
一德证券	yidezhengquan
以抵销	yidixiao
已跌回	yidiehui
已跌至	yidiezhi
一定幅度	yidingfudu
一定会有	yidinghuiyou
一定盈利	yidingyingli
异动股	yidonggu
异动现象	yidongxianxiang
一度重挫	yiduzhongcuo
依法设立	yifasheli
依法注销	yifazhuxiao
易方达	yifangda
亿份	yifen
议付	yifu
议付银行	yifuyinhang
一改前期	yigaiqianqi
一个考验	yigekaoyan
一个限度	yigexiandu
以股抵债	yigudizhai
易货贸易	yihuomaoyi
以获取	yihuoqu
已获盈余	yihuoyingyu
易基	yiji
一季度	yijidu
一季度末	yijidumo
易基深	yijishen
一级市场	yijishichang
一级铁路	yijitielu
一级支行	yijizhihang
溢价	yijia
溢价发行	yijiafaxing
溢价摊销	yijiatanxiao
已缴部分	yijiaobufen
已缴股本	yijiaoguben
已交货	yijiaohuo
溢缴款	yijiaokuan
已缴清	yijiaoqing
已缴入	yijiaoru
已缴税	yijiaoshui
已经不大	yijingbuda
已经不多	yijingbuduo
已经超过	yijingchaoguo
已经成立	yijingchengli
已经贷款	yijingdaikuan
已经发行	yijingfaxing
已经涣散	yijinghuansan
已经结束	yijingjieshu
已经开始	yijingkaishi
一经披露	yijingpilu
已经披露	yijingpilu
已经完成	yijingwancheng
已经形成	yijingxingcheng
已经宣告	yijingxuangao
已经支付	yijingzhifu
已经转为	yijingzhuanwei
以旧换新	yijiuhuanxin
已就绪	yijiuxu
一举扭转	yijuniuzhuan
一举突破	yijutupo
已连续	yilianxu
医疗保健	yiliaobaojian
医疗保险	yiliaobaoxian
遗留信托	yiliuxintuo
一路抬升	yilutaisheng
一路下跌	yiluxiadie
一路下行	yiluxiaxing
亿美元	yimeiyuan
益民基金	yiminjijin
一年期	yinianqi
一年以上	yinianyishang
亿欧元	yiouyuan
一片萧条	yipianxiaotiao
以票控税	yipiaokongshui
以期获得	yiqihuode
一汽夏利	yiqixiali
一千万元	yiqianwanyuan
已确定	yiqueding
依然活跃	yiranhuoyue
依然坚挺	yiranjianting
依然乐观	yiranleguan
依然偏高	yiranpiangao
依然严峻	yiranyanjun
一上市	yishangshi
已上市	yishangshi
已受理	yishouli
一手资料	yishouziliao
以书面	yishumian
艺术品	yishupin
以税控票	yishuikongpiao
一条长阳	yitiaochangyang
以拓展	yituozhan
意外保险	yiwaibaoxian
意外分红	yiwaifenhong
意外利润	yiwailirun
一系列	yixilie
以下材料	yixiacailiao
以下简称	yixiajiancheng
以下事项	yixiashixiang
以下途径	yixiatujing
以下问题	yixiawenti
意向书	yixiangshu
一些支持	yixiezhichi
医药板块	yiyaobankuai
意义重大	yiyizhongda
已引起	yiyinqi
亿余元	yiyuyuan
亿元贷款	yiyuandaikuan
已涨回	yizhanghui
已涨至	yizhangzhi
一直处于	yizhichuyu
已知负债	yizhifuzhai
一只股票	yizhigupiao
一直活跃	yizhihuoyue
一直停牌	yizhitingpai
抑制投机	yizhitouji
一种潮流	yizhongchaoliu
一种选择	yizhongxuanze
一周行情	yizhouhangqing
遗嘱信托	yizhuxintuo
已赚收入	yizhuanshouru
银本位制	yinbenweizhi
银币	yinbi
隐藏信托	yincangxintuo
银承	yincheng
因此承受	yincichengshou
因此与	yinciyu
银贷双方	yindaishuangfang
阴跌	yindie
隐含赎回	yinhanshuhui
银行案件	yinhanganjian
银行按揭	yinhanganjie
银行安全	yinhanganquan
银行保函	yinhangbaohan
银行本票	yinhangbenpiao
银行部	yinhangbu
银行承兑	yinhangchengdui
银行承诺	yinhangchengnuo
银行存款	yinhangcunkuan
银行代扣	yinhangdaikou
银行贷款	yinhangdaikuan
银行放贷	yinhangfangdai
银行方面	yinhangfangmian
银行费用	yinhangfeiyong
银行服务	yinhangfuwu
银行负债	yinhangfuzhai
银行高管	yinhanggaoguan
银行工作	yinhanggongzuo
银行管理	yinhangguanli
银行行长	yinhanghangzhang
银行挤兑	yinhangjidui
银行机构	yinhangjigou
银行基金	yinhangjijin
银行记录	yinhangjilu
银行挤提	yinhangjiti
银行集团	yinhangjituan
银行家	yinhangjia
银行间	yinhangjian
银行监管	yinhangjianguan
银行界	yinhangjie
银行借贷	yinhangjiedai
银行卡	yinhangka
银行卡号	yinhangkahao
银行开证	yinhangkaizheng
银行客户	yinhangkehu
银行扣款	yinhangkoukuan
银行利率	yinhanglilv
银行利息	yinhanglixi
银行领域	yinhanglingyu
银行名称	yinhangmingcheng
银行名单	yinhangmingdan
银行内部	yinhangneibu
银行渠道	yinhangqudao
银行券	yinhangquan
银行体系	yinhangtixi
银行网点	yinhangwangdian
银行系统	yinhangxitong
银行学	yinhangxue
银行业务	yinhangyewu
银行证券	yinhangzhengquan
银行质量	yinhangzhiliang
银行专用	yinhangzhuanyong
银行转账	yinhangzhuanzhang
银行资产	yinhangzichan
银河基金	yinhejijin
银河期货	yinheqihuo
银河证券	yinhezhengquan
银华基金	yinhuajijin
印花税	yinhuashui
银华投资	yinhuatouzi
银监会	yinjianhui
银监局	yinjianju
银联	yinlian
银率网	yinlvwang
隐瞒消息	yinmanxiaoxi
隐瞒业绩	yinmanyeji
引伸波幅	yinshenbofu
引申波幅	yinshenbofu
引生诉讼	yinshengsusong
因私购汇	yinsigouhui
因私售汇	yinsishouhui
因素较多	yinsujiaoduo
银团贷款	yintuandaikuan
银团银行	yintuanyinhang
银网合作	yinwanghezuo
阴线	yinxian
因消息	yinxiaoxi
印章印模	yinzhangyinmo
银证通	yinzhengtong
银证转账	yinzhengzhuanzhang
银质	yinzhi
引致需求	yinzhixuqiu
英镑区	yingbangqu
英镑危机	yingbangweiji
英镑证券	yingbangzhengquan
应承诺	yingchengnuo
英大证券	yingdazhengquan
硬贷款	yingdaikuan
应当清楚	yingdangqingchu
应当确保	yingdangquebao
应当通过	yingdangtongguo
应当由	yingdangyou
应当真实	yingdangzhenshi
硬费用	yingfeiyong
应该包括	yinggaibaokuo
应该承担	yinggaichengdan
樱花银行	yinghuayinhang
硬货币	yinghuobi
萤火虫	yinghuochong
应急贷款	yingjidaikuan
应计负债	yingjifuzhai
应积极	yingjiji
应计利息	yingjilixi
应计收入	yingjishouru
应尽快	yingjinkuai
盈亏平衡	yingkuipingheng
盈亏自负	yingkuizifu
盈利能力	yinglinengli
盈利渠道	yingliqudao
盈利预警	yingliyujing
盈利组织	yinglizuzhi
应履行	yinglvxing
英式竞价	yingshijingjia
应时投资	yingshitouzi
应收账款	yingshouzhangkuan
应税遗产	yingshuiyichan
应退还	yingtuihai
英文单词	yingwendanci
英文缩写	yingwensuoxie
影响不大	yingxiangbuda
影响经济	yingxiangjingji
影响市场	yingxiangshichang
影响收益	yingxiangshouyi
营销部	yingxiaobu
营销方式	yingxiaofangshi
营销计划	yingxiaojihua
营销经理	yingxiaojingli
营销人员	yingxiaorenyuan
营销手段	yingxiaoshouduan
营销战略	yingxiaozhanlue
硬性指标	yingxingzhibiao
营业大厅	yingyedating
营业机构	yingyejigou
营业面积	yingyemianji
营业日	yingyeri
营业网点	yingyewangdian
营业执照	yingyezhizhao
应用前景	yingyongqianjing
盈余所得	yingyusuode
营运资本	yingyunziben
硬指标	yingzhibiao
影子市场	yingzishichang
永安期货	yonganqihuo
永亨银行	yonghengyinhang
用脚投票	yongjiaotoupiao
佣金收入	yongjinshouru
佣金水平	yongjinshuiping
永久债券	yongjiuzhaiquan
用来购买	yonglaigoumai
用以衡量	yongyihengliang
拥有国内	yongyouguonei
拥有一支	yongyouyizhi
用于表明	yongyubiaoming
用于还款	yongyuhuankuan
用于描述	yongyumiaoshu
用于投资	yongyutouzi
踊跃入场	yongyueruchang
友邦红利	youbanghongli
友邦华泰	youbanghuatai
邮币卡	youbika
有偿转让	youchangzhuanrang
又称为	youchengwei
又创新高	youchuangxingao
由此而言	youcieryan
优等股票	youdenggupiao
优等票据	youdengpiaoju
诱多	youduo
有股民	yougumin
有关规定	youguanguiding
有何区别	youhequbie
有合作	youhezuo
有华投资	youhuatouzi
优惠利率	youhuililv
有或没有	youhuomeiyou
游击队	youjidui
邮寄申报	youjishenbao
油价飞涨	youjiafeizhang
油价上涨	youjiashangzhang
油价为	youjiawei
有价证券	youjiazhengquan
有价值	youjiazhi
邮件费用	youjianfeiyong
又将迎来	youjiangyinglai
诱空	youkong
优良股票	youlianggupiao
优良凭证	youliangpingzheng
由牛转熊	youniuzhuanxiong
有泡沫	youpaomo
邮票价格	youpiaojiage
有三种	yousanzhong
有色板块	yousebankuai
优势地位	youshidiwei
优势行业	youshihangye
有所改观	yousuogaiguan
有所加大	yousuojiada
有所提升	yousuotisheng
有所萎缩	yousuoweisuo
有所转化	yousuozhuanhua
有所走软	yousuozouruan
有他用	youtayong
诱探出价	youtanchujia
有特色	youtese
有望成为	youwangchengwei
有望持续	youwangchixu
有望出台	youwangchutai
有望加快	youwangjiakuai
有望突破	youwangtupo
有望再次	youwangzaici
有望再度	youwangzaidu
优先报价	youxianbaojia
有限公司	youxiangongsi
优先股	youxiangu
有限检查	youxianjiancha
优先配售	youxianpeishou
优先清偿	youxianqingchang
优先权	youxianquan
有限审计	youxianshenji
优先销售	youxianxiaoshou
有限责任	youxianzeren
优先债券	youxianzhaiquan
有效保证	youxiaobaozheng
有效冲刺	youxiaochongci
有效放大	youxiaofangda
有效供应	youxiaogongying
有效期	youxiaoqi
有些板块	youxiebankuai
有些公司	youxiegongsi
有形价值	youxingjiazhi
有研硅股	youyanguigu
又一波	youyibo
有意向	youyixiang
悠悠股票	youyougupiao
悠悠期权	youyouqiquan
由于股价	youyugujia
由于目前	youyumuqian
邮政储蓄	youzhengchuxu
优质服务	youzhifuwu
优质公司	youzhigongsi
优质券商	youzhiquanshang
优质资产	youzhizichan
游资	youzi
邮资凭证	youzipingzheng
有资质	youzizhi
有阻碍	youzuai
预测大盘	yucedapan
预测市场	yuceshichang
预测显示	yucexianshi
预定单	yudingdan
余额包销	yuebaoxiao
余额查询	yuechaxun
余额太大	yuetaida
余额转入	yuezhuanru
预付款	yufukuan
预付余额	yufuyue
预计大盘	yujidapan
预计今年	yujijinnian
预计投入	yujitouru
预计未来	yujiweilai
预计下期	yujixiaqi
预缴税款	yujiaoshuikuan
预警机制	yujingjizhi
预警体系	yujingtixi
预警指标	yujingzhibiao
预亏公告	yukuigonggao
玉米期货	yumiqihuo
预期利润	yuqilirun
与其签约	yuqiqianyue
预期债券	yuqizhaiquan
逾期账款	yuqizhangkuan
预期值	yuqizhi
预设目标	yushemubiao
预示着	yushizhe
欲收购	yushougou
预授权	yushouquan
预收账款	yushouzhangkuan
预售指令	yushouzhiling
预算赤字	yusuanchizi
预算级次	yusuanjici
预算收入	yusuanshouru
预算有限	yusuanyouxian
欲投资	yutouzi
预先偿还	yuxianchanghuan
预先承购	yuxianchenggou
预先计算	yuxianjisuan
预销估算	yuxiaogusuan
予以核实	yuyiheshi
与银行	yuyinhang
预支方式	yuzhifangshi
欲知详情	yuzhixiangqing
原打算	yuandasuan
袁大头	yuandatou
原贷款	yuandaikuan
原股东	yuangudong
圆弧底	yuanhudi
远见理财	yuanjianlicai
远离股市	yuanligushi
远期汇率	yuanqihuilv
远期利率	yuanqililv
远期率	yuanqilv
远期升水	yuanqishengshui
远期市场	yuanqishichang
远期贴水	yuanqitieshui
远期外汇	yuanqiwaihui
原始成本	yuanshichengben
原始发行	yuanshifaxing
原始积累	yuanshijilei
原始投资	yuanshitouzi
远未结束	yuanweijieshu
愿意持有	yuanyichiyou
原因复杂	yuanyinfuza
原因在于	yuanyinzaiyu
原有股东	yuanyougudong
