阿帕网	apawang
人工交换机	rengongjiaohuanji
人工进化	rengongjinhua
人工控制	rengongkongzhi
人工录入	rengongluru
人工模拟	rengongmoni
人工认知	rengongrenzhi
人工神经网络	rengongshenjingwangluo
人工生命	rengongshengming
人工世界	rengongshijie
人工纹理	rengongwenli
人工现实	rengongxianshi
人工信息系统	rengongxinxixitong
人工语言	rengongyuyan
人工约束	rengongyueshu
人工智慧语言	rengongzhihuiyuyan
人工智能	rengongzhineng
人工智能语言	rengongzhinengyuyan
人工专门知识	rengongzhuanmenzhishi
人机对话	renjiduihua
人机工程	renjigongcheng
人机环境	renjihuanjing
人机环境系统	renjihuanjingxitong
人机交互	renjijiaohu
人机接口	renjijiekou
人机界面	renjijiemian
人机控制系统	renjikongzhixitong
人机模拟	renjimoni
人机权衡	renjiquanheng
人机系统	renjixitong
人际消息	renjixiaoxi
人际消息处理	renjixiaoxichuli
认可模型	renkemoxing
人为	renwei
人为故障	renweiguzhang
任务	renwu
任务池	renwuchi
任务处理	renwuchuli
任务代码字	renwudaimazi
任务调度	renwudiaodu
任务调度程序	renwudiaoduchengxu
任务队列	renwuduilie
任务分担	renwufendan
任务分派程序	renwufenpaichengxu
任务分配	renwufenpei
任务管理	renwuguanli
任务管理程序	renwuguanlichengxu
任务管理器	renwuguanliqi
任务集	renwuji
任务集库	renwujiku
任务交换	renwujiaohuan
任务控制块	renwukongzhikuai
任务描述符	renwumiaoshufu
任务模型	renwumoxing
任务启动	renwuqidong
任务迁移	renwuqianyi
任务输出队列	renwushuchuduilie
任务输入队列	renwushuruduilie
任务图	renwutu
任务协调	renwuxietiao|renwuxiediao
任务异步出口	renwuyibuchukou
任务栈描述符	renwuzhanmiaoshufu
任务执行区	renwuzhixingqu
任务终止	renwuzhongzhi
任选用户设施	renxuanyonghusheshi
认证	renzheng
认证机构	renzhengjigou
认知	renzhi
认知仿真	renzhifangzhen
认知过程	renzhiguocheng
认知机	renzhiji
认知科学	renzhikexue
认知模型	renzhimoxing
认知系统	renzhixitong
认知映射	renzhiyingshe
认知映像系统	renzhiyingxiangxitong
人助机译	renzhujiyi
人主体	renzhuti
日期方法	riqifangfa
日期提示符	riqitishifu
日志	rizhi
日志文件系统	rizhiwenjianxitong
容错	rongcuo
容错计算	rongcuojisuan
容错计算机	rongcuojisuanji
容错控制	rongcuokongzhi
熔断丝	rongduansi
融合	ronghe
容量	rongliang
容量函数	ronglianghanshu
容器控件	rongqikongjian
容器类	rongqilei
熔丝	rongsi
熔丝连接	rongsilianjie
冗余	rongyu
冗余存储器	rongyucunchuqi
冗余检验	rongyujianyan
柔性制造系统	rouxingzhizaoxitong
蠕虫	ruchong
蠕虫王蠕虫	ruchongwangruchong
蠕虫下载器	ruchongxiazaiqi
入点	rudian
入度	rudu
入呼叫	ruhujiao
入门平台	rumenpingtai
入侵检测系统	ruqinjiancexitong
入侵者	ruqinzhe
入射电压	rushedianya
入事件	rushijian
软差错	ruanchacuo
软磁盘	ruancipan
软颚唇音	ruanechunyin
软故障	ruanguzhang
软计算	ruanjisuan
软件	ruanjian
软件安全	ruanjiananquan
软件安全性	ruanjiananquanxing
软件版权	ruanjianbanquan
软件包	ruanjianbao
软件保护	ruanjianbaohu
软件采购员	ruanjiancaigouyuan
软件操作员	ruanjiancaozuoyuan
软件测试	ruanjianceshi
软件产品	ruanjianchanpin
软件产品维护	ruanjianchanpinweihu
软件储藏库	ruanjianchucangku
软件错误	ruanjiancuowu
软件单元	ruanjiandanyuan
软件盗窃	ruanjiandaoqie
软件度量学	ruanjianduliangxue
软件方法学	ruanjianfangfaxue
软件分发版	ruanjianfenfaban
软件风险	ruanjianfengxian
软件复用	ruanjianfuyong
软件更改报告	ruanjiangenggaibaogao
软件工程	ruanjiangongcheng
软件工程环境	ruanjiangongchenghuanjing
软件工具	ruanjiangongju
软件构件	ruanjiangoujian
软件故障	ruanjianguzhang
软件过程	ruanjianguocheng
软件获取	ruanjianhuoqu
软件架构	ruanjianjiagou
软件架构师	ruanjianjiagoushi
软件监控程序	ruanjianjiankongchengxu
软件结构	ruanjianjiegou
软件经验数据	ruanjianjingyanshuju
软件开发方法	ruanjiankaifafangfa
软件开发过程	ruanjiankaifaguocheng
软件开发环境	ruanjiankaifahuanjing
软件开发计划	ruanjiankaifajihua
软件开发库	ruanjiankaifaku
软件开发模型	ruanjiankaifamoxing
软件开发手册	ruanjiankaifashouce
软件开发周期	ruanjiankaifazhouqi
软件可靠性	ruanjiankekaoxing
软件可维护性	ruanjiankeweihuxing
软件可移植性	ruanjiankeyizhixing
软件库	ruanjianku
软件库管理员	ruanjiankuguanliyuan
软件量度	ruanjianliangdu
软件轮廓	ruanjianlunkuo
软件配置	ruanjianpeizhi
软件配置管理	ruanjianpeizhiguanli
软件评测	ruanjianpingce
软件平台	ruanjianpingtai
软件潜行分析	ruanjianqianxingfenxi
软件缺陷	ruanjianquexian
软件容错策略	ruanjianrongcuocelue
软件冗余检验	ruanjianrongyujianyan
软件生产率	ruanjianshengchanlv
软件生存周期	ruanjianshengcunzhouqi
软件事故	ruanjianshigu
软件失效	ruanjianshixiao
软件数据库	ruanjianshujuku
软件体系结构	ruanjiantixijiegou
软件维护	ruanjianweihu
软件维护环境	ruanjianweihuhuanjing
软件维护员	ruanjianweihuyuan
软件文档	ruanjianwendang
软件系统	ruanjianxitong
软件陷阱	ruanjianxianjing
软件性能	ruanjianxingneng
软件验收	ruanjianyanshou
软件验证程序	ruanjianyanzhengchengxu
软件易维护性	ruanjianyiweihuxing
软件易移植性	ruanjianyiyizhixing
软件质量	ruanjianzhiliang
软件质量保证	ruanjianzhiliangbaozheng
软件中断	ruanjianzhongduan
软件注册员	ruanjianzhuceyuan
软件主体	ruanjianzhuti
软件资源	ruanjianziyuan
软件总线	ruanjianzongxian
软链接	ruanlianjie
软盘	ruanpan
软盘抖动	ruanpandoudong
软盘驱动器	ruanpanqudongqi
软盘套	ruanpantao
软盘纸套	ruanpanzhitao
软驱	ruanqu
软扇区格式	ruanshanqugeshi
软文流	ruanwenliu
软中断	ruanzhongduan
软中断机制	ruanzhongduanjizhi
软中断信号	ruanzhongduanxinhao
锐化	ruihua
锐化边缘	ruihuabianyuan
瑞星	ruixing
瑞星防火墙	ruixingfanghuoqiang
瑞星杀毒软件	ruixingshaduruanjian
弱化动词	ruohuadongci
弱连通图	ruoliantongtu
弱密钥	ruomiyao
弱位	ruowei
弱一致性模型	ruoyizhixingmoxing
撒播	sabo
萨博瑞斯蠕虫	saboruisiruchong
赛威后门	saiweihoumen
三层交换	sancengjiaohuan
三层交换机	sancengjiaohuanji
三点透视	sandiantoushi
三段论	sanduanlun
三级网络	sanjiwangluo
三角测距	sanjiaoceju
散焦测距	sanjiaoceju
三角面片	sanjiaomianpian
三角剖分	sanjiaopoufen
三角形波浪	sanjiaoxingbolang
三连词	sanlianci
三连通分支	sanliantongfenzhi
散列函数	sanliehanshu
散列索引	sanliesuoyin
散乱数据点	sanluanshujudian
三模冗余	sanmorongyu
三目运算符	sanmuyunsuanfu
散热技术	sanrejishu
散热片	sanrepian
散热器	sanreqi
三态门	santaimen
三位编码	sanweibianma
三维重建	sanweichongjian
三维窗口	sanweichuangkou
三维扫描仪	sanweisaomiaoyi
三维鼠标	sanweishubiao
三维数字化仪	sanweishuzihuayi
三维眼镜	sanweiyanjing
三维注册	sanweizhuce
三元组	sanyuanzu
三足网络	sanzuwangluo
扫成曲面	saochengqumian
扫描	saomiao
扫描多边形	saomiaoduobianxing
扫描模式	saomiaomoshi
扫描平面	saomiaopingmian
扫瞄器	saomiaoqi
扫描曲面	saomiaoqumian
扫描设计	saomiaosheji
扫描输出	saomiaoshuchu
扫描输入	saomiaoshuru
扫描输入法	saomiaoshurufa
扫描体	saomiaoti
扫描线算法	saomiaoxiansuanfa
扫描选择器	saomiaoxuanzeqi
扫描仪	saomiaoyi
扫描转换	saomiaozhuanhuan
色饱和度	sebaohedu
色彩范围	secaifanwei
色彩均化	secaijunhua
色纯度	sechundu
色带	sedai
色调	sediao
色调分离	sediaofenli
色调均化	sediaojunhua
色度	sedu
色度图	sedutu
色度学	seduxue
色度坐标	seduzuobiao
色粉	sefen
色粉盒	sefenhe
色键	sejian
色空间	sekongjian
色模型	semoxing
色匹配	sepipei
色匹配函数	sepipeihanshu
色平衡	sepingheng
色适应性	seshiyingxing
色温	sewen
色映射	seyingshe
色彰度	sezhangdu
杀毒软件	shaduruanjian
杀毒引擎	shaduyinqing
杀软厂商	sharuanchangshang
筛法	shaifa
筛选主体	shaixuanzhuti
删除	shanchu
扇出	shanchu
删除成员	shanchuchengyuan
删除列	shanchulie
扇出模块	shanchumokuai
删除目录	shanchumulu
删除图层	shanchutuceng
扇出限制	shanchuxianzhi
删除项目	shanchuxiangmu
删除行	shanchuxing
删除异常	shanchuyichang
删除自身	shanchuzishen
扇段	shanduan
栅格数据结构	shangeshujujiegou
扇区	shanqu
扇区伺服	shanqucifu
扇区对准	shanquduizhun
删全部空	shanquanbukong
扇入	shanru
删首空	shanshoukong
删首尾空	shanshouweikong
闪烁	shanshuo
闪速存储器	shansucunchuqi
删尾空	shanweikong
删线条	shanxiantiao
闪游地带	shanyoudidai
熵编码	shangbianma
上标	shangbiao
上标越界	shangbiaoyuejie
上播状态	shangbozhuangtai
上层语言	shangcengyuyan
上传收藏	shangchuanshoucang
上传收集	shangchuanshouji
上传收集内容	shangchuanshoujineirong
上传在线收藏	shangchuanzaixianshoucang
上次访问页面	shangcifangwenyemian
上次滤镜操作	shangcilvjingcaozuo
商都桌面	shangduzhuomian
上滚一页	shanggunyiye
上确界	shangquejie
上升时间	shangshengshijian
上升沿	shangshengyan
上推	shangtui
上推队列	shangtuiduilie
上推排序	shangtuipaixu
上下位关系	shangxiaweiguanxi
上下文	shangxiawen
上下文分析	shangxiawenfenxi
上下文切换	shangxiawenqiehuan
上行链路	shangxinglianlu
上行数据流	shangxingshujuliu
商业数据交换	shangyeshujujiaohuan
商用企业	shangyongqiye
上载	shangzai
设备存储器	shebeicunchuqi
设备定义	shebeidingyi
设备管理	shebeiguanli
设备描述	shebeimiaoshu
设备描述语言	shebeimiaoshuyuyan
设备名	shebeiming
设备驱动程序	shebeiqudongchengxu
设备冗余阵列	shebeirongyuzhenlie
设备筛选器	shebeishaixuanqi
设备适配器	shebeishipeiqi
设备指派	shebeizhipai
设备坐标	shebeizuobiao
设备坐标系	shebeizuobiaoxi
舍出	shechu
设定点控制	shedingdiankongzhi
设计编辑程序	shejibianjichengxu
设计编辑器	shejibianjiqi
设计差错	shejichacuo
设计多样性	shejiduoyangxing
设计方法学	shejifangfaxue
设计分析	shejifenxi
设计分析程序	shejifenxichengxu
设计分析器	shejifenxiqi
设计规划	shejiguihua
设计规约	shejiguiyue
设计库	shejiku
射极耦合逻辑	shejiouheluoji
设计审查	shejishencha
设计需求	shejixuqiu
设计验证	shejiyanzheng
设计约束	shejiyueshu
设计自动化	shejizidonghua
设计走查	shejizoucha
涉密范畴	shemifanchou
舍入	sheru
舍入误差	sheruwucha
设施	sheshi
设施分配	sheshifenpei
设施管理	sheshiguanli
设施请求	sheshiqingqiu
设施主体	sheshizhuti
设陷方式	shexianfangshi
摄像管	shexiangguan
摄像机	shexiangji
设置	shezhi
设置别名	shezhibieming
设置窗口信息	shezhichuangkouxinxi
设置图案	shezhituan
设置向导	shezhixiangdao
设置中心	shezhizhongxin
审查	shencha
深度暗示	shenduanshi
深度测试	shenduceshi
深度缓存	shenduhuancun
深度计算	shendujisuan
深度图	shendutu
深度优先	shenduyouxian
深度优先分析	shenduyouxianfenxi
深度优先搜索	shenduyouxiansousuo
深度优先搜寻	shenduyouxiansouxun
身份	shenfen
身份信息列表	shenfenxinxiliebiao
甚高级语言	shengaojiyuyan
审计	shenji
审记策略	shenjicelue
审计跟踪	shenjigenzong
审计尾迹	shenjiweiji
神经计算机	shenjingjisuanji
神经模糊主体	shenjingmohuzhuti
神经网络模型	shenjingwangluomoxing
神经元	shenjingyuan
神经元仿真	shenjingyuanfangzhen
神经元函数	shenjingyuanhanshu
神经元模型	shenjingyuanmoxing
神经元网络	shenjingyuanwangluo
神经专家系统	shenjingzhuanjiaxitong
深拷贝	shenkaobei
深克隆	shenkelong
申请栈	shenqingzhan
渗入测试	shenruceshi
省并词	shengbingci
生产线方法	shengchanxianfangfa
生成式	shengchengshi
生成树	shengchengshu
生成树问题	shengchengshuwenti
生成随机颜色	shengchengsuijiyanse|shengchengsuijiyanshai
生成图片	shengchengtupian
生成语言学	shengchengyuyanxue
生存期	shengcunqi
生存周期	shengcunzhouqi
生存周期模型	shengcunzhouqimoxing
声调	shengdiao
声卡	shengka
声明	shengming
声明式编程	shengmingshibiancheng
声频存储器	shengpincunchuqi
生日攻击	shengrigongji
声图会议	shengtuhuiyi
生物测定	shengwuceding
生物计算机	shengwujisuanji
声学模型	shengxuemoxing
声音合成	shengyinhecheng
声音识别	shengyinshibie
声音输出设备	shengyinshuchushebei
声音输入设备	shengyinshurushebei
剩余串排列	shengyuchuanpailie
声韵学音位学	shengyunxueyinweixue
时变布尔函数	shibianbuerhanshu
时变参数	shibiancanshu
识别	shibie
识别文本	shibiewenben
识别型	shibiexing
示波器	shiboqi
实参	shican
视参考点	shicankaodian
时槽	shicao
时槽间隔	shicaojiange
视差梯度	shichatidu
视窗操作系统	shichuangcaozuoxitong
试凑搜索	shicousousuo
实存状态	shicunzhuangtai
式打印	shidayin
适当自动化	shidangzidonghua
实地址	shidizhi
视点	shidian
时段语法学	shiduanyufaxue
释放	shifang
释放保护	shifangbaohu
释放资源	shifangziyuan
时分复用	shifenfuyong
实分区	shifenqu
是否被合并	shifoubeihebing
是否强制更新	shifouqiangzhigengxin
石膏效果	shigaoxiaoguo
事故变迁	shigubianqian
实际存储页表	shijicunchuyebiao
实际象素	shijixiangsu
实际页数	shijiyeshu
事件报告	shijianbaogao
时间变迁	shijianbianqian
事件表	shijianbiao
事件查询	shijianchaxun
时间常数	shijianchangshu
时间重叠	shijianchongdie
事件处理	shijianchuli
时间戳	shijianchuo
时间到文本	shijiandaowenben
事件定义语言	shijiandingyiyuyan
时间动作研究	shijiandongzuoyanjiu
事件独立性	shijiandulixing
事件队列	shijianduilie
事件方式	shijianfangshi
时间分片	shijianfenpian
时间复杂度	shijianfuzadu
时间复杂性	shijianfuzaxing
事件过滤器	shijianguolvqi
事件检测程序	shijianjiancechengxu
事件检测器	shijianjianceqi
时间局部性	shijianjubuxing
事件控制块	shijiankongzhikuai
时间量子	shijianliangzi
事件描述	shijianmiaoshu
时间佩特里网	shijianpeiteliwang
时间片	shijianpian
时间片轮转	shijianpianlunzhuan
时间谱系	shijianpuxi
事件驱动	shijianqudong
事件驱动程序	shijianqudongchengxu
事件驱动语言	shijianqudongyuyan
事件筛选器	shijianshaixuanqi
事件使用者	shijianshiyongzhe
事件提供程序	shijiantigongchengxu
时间同步问题	shijiantongbuwenti
事件系统	shijianxitong
时间序列模型	shijianxuliemoxing
实践学习	shijianxuexi
时间延迟	shijianyanchi
事件依赖性	shijianyilaixing
事件源	shijianyuan
时间约束	shijianyueshu
事件转移	shijianzhuanyi
世界之窗	shijiezhichuang
世界坐标	shijiezuobiao
世界坐标系	shijiezuobiaoxi
十进制	shijinzhi
十进制数字	shijinzhishuzi
视觉	shijue
视觉模型	shijuemoxing
时空权衡	shikongquanheng
时空图	shikongtu
视口	shikou
实类标记项	shileibiaojixiang
实类节点	shileijiedian
实例方法	shilifangfa
实例化	shilihua
实例学习	shilixuexi
实例域	shiliyu
矢量蒙版	shiliangmengban
矢量遮罩	shiliangzhezhao
矢列式	shilieshi
十六进制	shiliujinzhi
十六进制地址	shiliujinzhidizhi
十六进制论坛	shiliujinzhiluntan
十六进制数字	shiliujinzhishuzi
时貌标记	shimaobiaoji
实名	shiming
使能	shineng
失配	shipei
适配层	shipeiceng
适配层控制器	shipeicengkongzhiqi
适配器	shipeiqi
适配器模式	shipeiqimoshi
视频存储器	shipincunchuqi
视频点播	shipindianbo
视频分割专家	shipinfengezhuanjia
视频缓冲区	shipinhuanchongqu
视频会议	shipinhuiyi
视频解码	shipinjiema
视频卡	shipinka
视频模式	shipinmoshi
视频图形阵列	shipintuxingzhenlie
视频消息	shipinxiaoxi
视平面	shipingmian
视区	shiqu
拾取设备	shiqushebei
实时	shishi
实施变迁	shishibianqian
事实标准	shishibiaozhun
实时并发操作	shishibingfacaozuo
实时操作系统	shishicaozuoxitong
实时处理	shishichuli
施事动作动词	shishidongzuodongci
实时多媒体	shishiduomeiti
实施规则	shishiguize
实时计算机	shishijisuanji
实时监控程序	shishijiankongchengxu
实时控制	shishikongzhi
事实库	shishiku
实时批处理	shishipichuli
实时视频	shishishipin
实时时钟分时	shishishizhongfenshi
实时输出	shishishuchu
实时数据库	shishishujuku
实时输入	shishishuru
实时系统	shishixitong
实施向量	shishixiangliang
实时约束	shishiyueshu
实时执行程序	shishizhixingchengxu
实时执行例程	shishizhixinglicheng
实时执行系统	shishizhixingxitong
实时主体	shishizhuti
时态查询语言	shitaichaxunyuyan
事态代数	shitaidaishu
时态关系代数	shitaiguanxidaishu
时态数据库	shitaishujuku
试探法	shitanfa
视体	shiti
实体	shiti
实体鉴别	shitijianbie
实体联系图	shitilianxitu
实体模型	shitimoxing
实体完整性	shitiwanzhengxing
实体造型	shitizaoxing
视听信息	shitingxinxi
视图	shitu
视图状态	shituzhuangtai
施为性	shiweixing
事务处理系统	shiwuchulixitong
事务分析	shiwufenxi
事务故障	shiwuguzhang
事务驱动	shiwuqudong
事务驱动系统	shiwuqudongxitong
事务时间	shiwushijian
事务消息传递	shiwuxiaoxichuandi
时隙	shixi
时隙间隔	shixijiange
视线	shixian
实线	shixian
实现阶段	shixianjieduan
实现需求	shixianxuqiu
视像	shixiang
视向	shixiang
失效	shixiao
失效比	shixiaobi
失效测试	shixiaoceshi
失效分布	shixiaofenbu
失效恢复	shixiaohuifu
失效检测	shixiaojiance
失效节点	shixiaojiedian
失效类别	shixiaoleibie
失效率	shixiaolv
石效瑞	shixiaorui
失效数据	shixiaoshuju
失效预测	shixiaoyuce
实型变量	shixingbianliang
实型常量	shixingchangliang
失序	shixu
时序综合	shixuzonghe
实寻址	shixunzhi
时延	shiyan
实验电路板	shiyandianluban
时延分配	shiyanfenpei
时延偏差大小	shiyanpianchadaxiao
实验学习	shiyanxuexi
使役性	shiyixing
适应层	shiyingceng
适应性维护	shiyingxingweihu
适应学习	shiyingxuexi
适应子波	shiyingzibo
使用参数控制	shiyongcanshukongzhi
实用程序	shiyongchengxu
实用程序包	shiyongchengxubao
实用功能	shiyonggongneng
使用旗标	shiyongqibiao
实用软件	shiyongruanjian
时域	shiyu
时域反射仪	shiyufansheyi
十兆网卡	shizhaowangka
失真	shizhen
是指信息技术	shizhixinxijishu
时钟	shizhong
时钟步进	shizhongbujin
时钟寄存器	shizhongjicunqi
时钟脉冲	shizhongmaichong
时钟偏差	shizhongpiancha
时钟驱动器	shizhongqudongqi
时钟周期	shizhongzhouqi
视锥	shizhui
受保护资源	shoubaohuziyuan
首部	shoubu
收藏栏	shoucanglan
收藏栏根目录	shoucanglangenmulu
收藏栏目录	shoucanglanmulu
受查异常	shouchayichang
手持计算机	shouchijisuanji
手持游标器	shouchiyoubiaoqi
手动查杀	shoudongchasha
手动输入	shoudongshuru
手动输入键	shoudongshurujian
手段目的分析	shouduanmudifenxi|shouduanmudefenxi
收发	shoufa
收发器	shoufaqi
手工测试	shougongceshi
守恒性	shouhengxing
守护程序	shouhuchengxu
首记录前	shoujiluqian
收集面版	shoujimianban
受控安全	shoukonganquan
受控安全模式	shoukonganquanmoshi
受控标识图	shoukongbiaozhitu|shoukongbiaoshitu
受控存取	shoukongcunqu
受控对象	shoukongduixiang
受控访问	shoukongfangwen
受控访问区	shoukongfangwenqu
受控访问系统	shoukongfangwenxitong
受控空间	shoukongkongjian
受控佩特里网	shoukongpeiteliwang
受控事件	shoukongshijian
受控系统	shoukongxitong
受控装置	shoukongzhuangzhi
授权	shouquan
授权表	shouquanbiao
手势轨迹	shoushiguiji
手势识别	shoushishibie
手势消息	shoushixiaoxi
守卫	shouwei
首席执行官	shouxizhixingguan
受限访问	shouxianfangwen
受限禁区	shouxianjinqu
受限逻辑语法	shouxianluojiyufa
受限语言	shouxianyuyan
手写汉字	shouxiehanzi
手写汉字输入	shouxiehanzishuru
手写体	shouxieti
受信任程序	shouxinrenchengxu
手眼系统	shouyanxitong
首页	shouye
受益格	shouyige
鼠标	shubiao
鼠标手势	shubiaoshoushi
鼠标锁定	shubiaosuoding
鼠标中键	shubiaozhongjian
鼠标中键单击	shubiaozhongjiandanji
述补中插	shubuzhongcha
输出	shuchu
输出带	shuchudai
输出断言	shuchuduanyan
输出分组反馈	shuchufenzufankui
输出进程	shuchujincheng
输出流	shuchuliu
输出脉冲	shuchumaichong
输出模式	shuchumoshi
输出设备	shuchushebei
输出特性	shuchutexing
输出提交	shuchutijiao
输出下拉电阻	shuchuxialadianzu
输出依赖	shuchuyilai
输出优先级	shuchuyouxianji
输出字节文本	shuchuzijiewenben
输出字母表	shuchuzimubiao
输出阻抗	shuchuzukang
述词	shuci
述词计算	shucijisuan
述词论元结构	shucilunyuanjiegou
属格标记	shugebiaoji
数据	shuju
数据安全	shujuanquan
数据绑定	shujubangding
数据报	shujubao
数据保护	shujubaohu
数据表示	shujubiaoshi
数据并行性	shujubingxingxing
数据采集	shujucaiji
数据采集系统	shujucaijixitong
数据采掘	shujucaijue
数据仓库	shujucangku
数据操纵	shujucaozong
数据操纵网	shujucaozongwang
数据操纵语言	shujucaozongyuyan
数据测试	shujuceshi
数据差错	shujuchacuo
数据重建	shujuchongjian
数据冲突	shujuchongtu
数据重组	shujuchongzu
数据抽象	shujuchouxiang
数据处理	shujuchuli
数据处理系统	shujuchulixitong
数据初始加工	shujuchushijiagong
数据传输	shujuchuanshu
数据传输指令	shujuchuanshuzhiling
数据存取路径	shujucunqulujing
数据独立性	shujudulixing
数据多样性	shujuduoyangxing
数据访问路径	shujufangwenlujing
数据分布	shujufenbu
数据分析	shujufenxi
数据分析系统	shujufenxixitong
数据封装	shujufengzhuang
数据腐烂	shujufulan
数据服装	shujufuzhuang
数据高速缓存	shujugaosuhuancun
数据高速通道	shujugaosutongdao
数据格式	shujugeshi
数据格式转换	shujugeshizhuanhuan
数据共享	shujugongxiang
数据管理	shujuguanli
数据管理程序	shujuguanlichengxu
数据和信息	shujuhexinxi
数据划分	shujuhuafen
数据环境	shujuhuanjing
数据汇	shujuhui
数据恢复	shujuhuifu
数据获取	shujuhuoqu
数据集	shujuji
数据寄存器	shujujicunqi
数据集市	shujujishi
数据集中器	shujujizhongqi
数据加密标准	shujujiamibiaozhun
数据加密密钥	shujujiamimiyue|shujujiamimiyao
数据加密算法	shujujiamisuanfa
数据交换机	shujujiaohuanji
数据结构	shujujiegou
数据局部性	shujujubuxing
数据空间	shujukongjian
数据控制语言	shujukongzhiyuyan
数据库	shujuku
数据库安全	shujukuanquan
数据库保密	shujukubaomi
数据库重构	shujukuchonggou
数据库重组	shujukuchongzu
数据库管理员	shujukuguanliyuan
数据库环境	shujukuhuanjing
数据库机	shujukuji
数据库集成	shujukujicheng
数据库键码	shujukujianma
数据库连接	shujukulianjie
数据库模型	shujukumoxing
数据库完整性	shujukuwanzhengxing
数据库系统	shujukuxitong
数据类型	shujuleixing
数据链路	shujulianlu
数据链路层	shujulianluceng
数据链路控制	shujulianlukongzhi
数据流	shujuliu
数据流分析	shujuliufenxi
数据流计算机	shujuliujisuanji
数据流图	shujuliutu
数据流语言	shujuliuyuyan
数据录入	shujuluru
数据媒体	shujumeiti
数据描述语言	shujumiaoshuyuyan
数据模型	shujumoxing
数据目录	shujumulu
数据偏斜	shujupianxie
数据欺诈	shujuqizha
数据清洗	shujuqingxi
数据驱动	shujuqudong
数据权标	shujuquanbiao
数据确认	shujuqueren
数据冗余	shujurongyu
数据手套	shujushoutao
数据属性	shujushuxing
数据宿	shujusu
数据通道	shujutongdao
数据通路	shujutonglu
数据通信	shujutongxin
数据通信中	shujutongxinzhong
数据挖掘	shujuwajue
数据完整性	shujuwanzhengxing
数据网	shujuwang
数据网标识码	shujuwangbiaoshima
数据项	shujuxiang
数据相关冲突	shujuxiangguanchongtu
数据信号	shujuxinhao
数据依赖	shujuyilai
数据一致性	shujuyizhixing
数据隐私	shujuyinsi
数据有效性	shujuyouxiaoxing
数据源	shujuyuan
数据源控件	shujuyuankongjian
数据站	shujuzhan
数据帧	shujuzhen
数据终端设备	shujuzhongduanshebei
数据字典	shujuzidian
数据总线	shujuzongxian
数据组织	shujuzuzhi
数控系统	shukongxitong
数理语言学	shuliyuyanxue
树连接结构	shulianjiejiegou
树连接语法	shulianjieyufa
书路文学	shuluwenxue
书面语	shumianyu
署名用户	shumingyonghu
数模转换	shumozhuanhuan
数模转换器	shumozhuanhuanqi
竖排	shupai
书签	shuqian
输入	shuru
输入错误率	shurucuowulv
输入带	shurudai
输入度	shurudu
输入断言	shuruduanyan
输入符号	shurufuhao
输入规模	shuruguimo
输入进程	shurujincheng
输入流	shuruliu
输入脉冲	shurumaichong
输入模式	shurumoshi
输入设备	shurushebei
输入输出	shurushuchu
输入输出队列	shurushuchuduilie
输入输出管理	shurushuchuguanli
输入输出接口	shurushuchujiekou
输入输出设备	shurushuchushebei
输入速率	shurusulv
输入特性	shurutexing
输入文本类型	shuruwenbenleixing
输入依赖	shuruyilai
输入优先级	shuruyouxianji
输入正确率	shuruzhengquelv
输入字比较	shuruzibijiao
输入字母表	shuruzimubiao
输入阻抗	shuruzukang
树图资料库	shutuziliaoku
树网	shuwang
述位	shuwei
竖向	shuxiang
书写方向	shuxiefangxiang
属性闭包	shuxingbibao
属性继承	shuxingjicheng
树形加接语法	shuxingjiajieyufa
属性语法	shuxingyufa
数学归纳	shuxueguina
数学形态学	shuxuexingtaixue
树压缩技术	shuyasuojishu
术语	shuyu
术语抽取	shuyuchouqu
术语空间	shuyukongjian
数制	shuzhi
数值到大写	shuzhidaodaxie
数值积分	shuzhijifen
数值精度	shuzhijingdu
输纸孔	shuzhikong
竖直喷射	shuzhipenshe
输纸器	shuzhiqi
数值数据	shuzhishuju
枢轴语法	shuzhouyufa
树状结构树	shuzhuangjiegoushu
数字	shuzi
数字编码	shuzibianma
数字标识	shuzibiaozhi
数字传输通路	shuzichuanshutonglu
数字磁记录	shuzicijilu
数字地球	shuzidiqiu
数字电路	shuzidianlu
数字对象	shuziduixiang
数字仿形控制	shuzifangxingkongzhi
数字服务单元	shuzifuwudanyuan
数字光驱	shuziguangqu
数字化	shuzihua
数字化仪	shuzihuayi
数字计算机	shuzijisuanji
数字控制技术	shuzikongzhijishu
数字模拟	shuzimoni
数字配线架	shuzipeixianjia
数字签名	shuziqianming
数字签名标准	shuziqianmingbiaozhun
数字式	shuzishi
数字输出	shuzishuchu
数字数据网	shuzishujuwang
数字输入	shuzishuru
数字水印	shuzishuiyin
数字图书馆	shuzitushuguan
数字图像	shuzituxiang
数字图像处理	shuzituxiangchuli
数字影碟	shuziyingdie
数字照相机	shuzizhaoxiangji
数字政府	shuzizhengfu
数字字符	shuzizifu
数字字符集	shuzizifuji
数组	shuzu
数组处理器	shuzuchuliqi
数组排序	shuzupaixu
数组清零	shuzuqingling
刷新	shuaxin
刷新测试	shuaxinceshi
刷新电路	shuaxindianlu
刷新显示	shuaxinxianshi
刷新周期	shuaxinzhouqi
衰变失效	shuaibianshixiao
衰减	shuaijian
衰减时间	shuaijianshijian
衰老失效	shuailaoshixiao
双边网络	shuangbianwangluo
双重口令	shuangchongkouling
双处理器	shuangchuliqi
双带图灵机	shuangdaitulingji
双份编码	shuangfenbianma
双分支	shuangfenzhi
