阿姆斯里克	amusilike
依法条	yifatiao
依法治国	yifazhiguo
议付	yifu
一夫多妻制	yifuduoqizhi
议付行	yifuxing
一夫一妻制	yifuyiqizhi
一个集合体	yigejiheti
已经结束的侵害	yijingjieshudeqinhai
以拘代捕	yijudaibu
以拘代侦	yijudaizhen
已决犯	yijuefan
依可查	yikecha
医疗保险	yiliaobaoxian
医疗差错	yiliaochacuo
医疗合同	yiliaohetong
医疗机构执业资格	yiliaojigouzhiyezige
医疗技术事故	yiliaojishushigu
医疗事故	yiliaoshigu
医疗事故鉴定	yiliaoshigujianding
遗弃	yiqi
以其他危险方法危害公共安全罪	yiqitaweixianfangfaweihaigonggonganquanzui
遗弃物	yiqiwu
遗弃罪	yiqizui
一切险	yiqiexian
一人公司	yirengongsi
一审	yishen
一时不能	yishibuneng
一事不再理	yishibuzaili
以事实为根据以法律为准绳	yishishiweigenjuyifalvweizhunsheng
遗失物	yishiwu
艺术定作合同	yishudingzuohetong
意思表示	yisibiaoshi
意思表示的推定	yisibiaoshidetuiding
意思表示真实	yisibiaoshizhenshi
意思能力	yisinengli
移送管辖	yisongguanxia
意外伤害	yiwaishanghai
意外事故	yiwaishigu
意外事件	yiwaishijian
遗忘物	yiwangwu
义务	yiwu
义务船	yiwuchuan
以物抵债	yiwudizhai
一物二卖	yiwuermai
义务教育	yiwujiaoyu
意向书	yixiangshu
以营利为目的购买商品	yiyingliweimudigoumaishangpin
遗赠	yizeng
遗赠扶养协议	yizengfuyangxieyi
遗赠受领人	yizengshoulingren
遗嘱	yizhu
遗嘱变更	yizhubiangeng
遗嘱撤销	yizhuchexiao
遗嘱的效力	yizhudexiaoli
遗嘱继承	yizhujicheng
遗嘱继承人	yizhujichengren
遗嘱见证人	yizhujianzhengren
遗嘱能力	yizhunengli
遗嘱人	yizhuren
遗嘱执行人	yizhuzhixingren
隐报品名	yinbaopinming
隐蔽物	yinbiwu
隐藏物	yincangwu
引船费	yinchuanfei
引渡	yindu
引渡法	yindufa
因拐卖而形成收养关系	yinguaimaierxingchengshouyangguanxi
因果关系	yinguoguanxi
因果关系错误	yinguoguanxicuowu
因果关系的复杂性	yinguoguanxidefuzaxing
因果关系的客观性	yinguoguanxidekeguanxing
因果关系的顺序性	yinguoguanxideshunxuxing
因果关系的相对性	yinguoguanxidexiangduixing
殷海光	yinhaiguang
银行	yinhang
银行承兑汇票	yinhangchengduihuipiao
银行贷款合同	yinhangdaikuanhetong
银行信用证	yinhangxinyongzheng
银行帐户合同	yinhangzhanghuhetong
银行帐户资金的所有权	yinhangzhanghuzijindesuoyouquan
隐名代理	yinmingdaili
隐名合伙	yinminghehuo
阴谋	yinmou
阴谋颠覆政府罪	yinmoudianfuzhengfuzui
阴谋犯	yinmoufan
阴谋分裂国家罪	yinmoufenlieguojiazui
隐匿说	yinnishuo
隐匿物	yinniwu
隐匿罪证罪	yinnizuizhengzui
引人误解	yinrenwujie
隐射广告	yinsheguanggao
淫书淫画	yinshuyinhua
阴私案件	yinsianjian
隐私案件	yinsianjian
尹田	yintian
引诱妇女卖淫罪	yinyoufunvmaiyinzui
音乐作品	yinyuezuopin
引证罪状	yinzhengzuizhuang
营利法人	yinglifaren
营利犯	yinglifan
营利目的	yinglimudi
英美法系	yingmeifaxi
应受刑罚惩罚性	yingshouxingfachengfaxing
应松年	yingsongnian
应诉	yingsu
营业犯	yingyefan
营业秘密	yingyemimi
营业税	yingyeshui
营业信托	yingyexintuo
应知和明知	yingzhihemingzhi
用本民族语言进行诉讼	yongbenminzuyuyanjinxingsusong
永佃权	yongdianquan
用户手册	yonghushouce
佣金	yongjin
用人单位单方解除劳动合同	yongrendanweidanfangjiechulaodonghetong
用途说明	yongtushuoming
用益权	yongyiquan
用益物权	yongyiwuquan
有偿法律行为	youchangfalvxingwei
有偿使用	youchangshiyong
有偿双务合同	youchangshuangwuhetong
有偿占有	youchangzhanyou
邮递合同	youdihetong
邮电工作人员	youdiangongzuorenyuan
有独立请求权的第三人	youduliqingqiuquandedisanren
优惠待遇	youhuidaiyu
优惠关税	youhuiguanshui
有价贸易	youjiamaoyi
有价票证	youjiapiaozheng
有价证券	youjiazhengquan
有价支付凭证	youjiazhifupingzheng
诱奸	youjian
有奖销售	youjiangxiaoshou
有奖征集活动	youjiangzhengjihuodong
有利被告	youlibeigao
有利害关系的第三人	youlihaiguanxidedisanren
幼女	younv
有期徒刑	youqituxing
有体物	youtiwu
油污损害	youwusunhai
油污损害赔偿	youwusunhaipeichang
油污损害赔偿规则	youwusunhaipeichangguize
有无效力	youwuxiaoli
有瑕疵的意思表示	youxiacideyisibiaoshi
优先承租权	youxianchengzuquan
优先购买权	youxiangoumaiquan
有限合伙	youxianhehuo
优先权	youxianquan
优先使用权	youxianshiyongquan
优先受偿权	youxianshouchangquan
有限责任	youxianzeren
有限责任公司	youxianzerengongsi
有效合同	youxiaohetong
有形从犯	youxingcongfan
有形的结果	youxingdejieguo
有形共犯	youxinggongfan
有形损害	youxingsunhai
有因行为	youyinxingwei
邮政侵权行为	youzhengqinquanxingwei
有主物	youzhuwu
预备的教唆	yubeidejiaosuo
预备犯	yubeifan
预备付款人	yubeifukuanren
预备航次	yubeihangci
预备中止	yubeizhongzhi
预防工作	yufanggongzuo
预付款	yufukuan
预告性新闻	yugaoxingxinwen
预借提单	yujietidan
舆论监督	yulunjiandu
域名	yuming
预谋故意	yumouguyi
预期利益	yuqiliyi
预期违约	yuqiweiyue
逾期违约金	yuqiweiyuejin
预审	yushen
预约买卖	yuyuemaimai
原产地证书	yuanchandizhengshu
原唱权	yuanchangquan
原创性	yuanchuangxing
原告	yuangao
远期交货合同	yuanqijiaohuohetong
远期信用证	yuanqixinyongzheng
原审	yuanshen
原始出资	yuanshichuzi
原始股票	yuanshigupiao
原始取得	yuanshiqude
原始社会	yuanshishehui
袁曙宏	yuanshuhong
原物	yuanwu
援引法定刑	yuanyinfadingxing
援引刑	yuanyinxing
原状	yuanzhuang
原租赁户	yuanzulinhu
约定	yueding
约定财产制	yuedingcaichanzhi
约定解除	yuedingjiechu
约定期限	yuedingqixian
约定条款内容	yuedingtiaokuanneirong
约定义务	yuedingyiwu
约翰密尔	yuehanmier
阅卷笔录	yuejuanbilu
越权经营	yuequanjingying
越权无效	yuequanwuxiao
运费	yunfei
运费预付	yunfeiyufu
运输毒品罪	yunshudupinzui
运输合同	yunshuhetong
运送他人偷越国边境罪	yunsongtarentouyueguobianjingzui
再保险	zaibaoxian
在仓合约	zaicangheyue
再创作	zaichuangzuo
再担保	zaidanbao
载货清单	zaihuoqingdan
再间接教唆犯	zaijianjiejiaosuofan
再审	zaishen
再审程序	zaishenchengxu
再贴现	zaitiexian
在先权利	zaixianquanli
在先使用权	zaixianshiyongquan
再许可	zaixuke
再则	zaize
赃赂罪	zangluzui
责付	zefu
责令作出具体行政行为	zelingzuochujutixingzhengxingwei
责任保险	zerenbaoxian
责任分担	zerenfendan
责任竞合	zerenjinghe
责任能力	zerennengli
责任年龄	zerennianling
责任年龄分段法	zerennianlingfenduanfa
责任险	zerenxian
责任主体	zerenzhuti
赠与	zengyu
赠与合同	zengyuhetong
增值税	zengzhishui
增值税发票	zengzhishuifapiao
诈骗罪	zhapianzui
债的保全	zhaidebaoquan
债的变更	zhaidebiangeng
债的不履行	zhaidebulvxing
债的担保	zhaidedanbao
债的发生根据	zhaidefashenggenju
债的履行	zhaidelvxing
债的消灭	zhaidexiaomie
宅基地	zhaijidi
宅基地使用权	zhaijidishiyongquan
债权	zhaiquan
债权保全	zhaiquanbaoquan
债权让与的限制	zhaiquanrangyudexianzhi
债权人	zhaiquanren
债权人撤销权	zhaiquanrenchexiaoquan
债权人迟延	zhaiquanrenchiyan
债权人代位权	zhaiquanrendaiweiquan
债权人会议	zhaiquanrenhuiyi
债权债务的全面转移	zhaiquanzhaiwudequanmianzhuanyi
债权证书	zhaiquanzhengshu
债权转让	zhaiquanzhuanrang
债务代偿请求权	zhaiwudaichangqingqiuquan
债务纠纷	zhaiwujiufen
债务人	zhaiwuren
债务人迟延	zhaiwurenchiyan
债务为由	zhaiwuweiyou
债务移转	zhaiwuyizhuan
债务转移	zhaiwuzhuanyi
展览权	zhanlanquan
詹姆斯密尔	zhanmusimier
展期	zhanqi
战时	zhanshi
战时从严原则	zhanshicongyanyuanze
战时缓刑制度	zhanshihuanxingzhidu
战时刑事特别法	zhanshixingshitebiefa
占有改定	zhanyougaiding
占有人	zhanyouren
占有时效	zhanyoushixiao
湛中乐	zhanzhongle
涨跌停板	zhangdietingban
张光直	zhangguangzhi
张明揩	zhangmingkai
张树义	zhangshuyi
张五常	zhangwuchang
张新宝	zhangxinbao
张玉敏	zhangyumin
张志铭	zhangzhiming
招标	zhaobiao
招标投标	zhaobiaotoubiao
招标投标法	zhaobiaotoubiaofa
赵秉志	zhaobingzhi
照片底片著作权	zhaopiandipianzhuzuoquan
肇事船舶的认定	zhaoshichuanboderending
赵晓力	zhaoxiaoli
招摇撞骗罪	zhaoyaozhuangpianzui
赵永琛	zhaoyongchen
折价款	zhejiakuan
折旧	zhejiu
哲理法学	zhelifaxue
哲理法学派	zhelifaxuepai
折衷式诉讼	zhezhongshisusong
贞操	zhencao
侦查	zhencha
侦查程序	zhenchachengxu
侦查措施	zhenchacuoshi
侦查监督处	zhenchajianduchu
侦查监督科	zhenchajianduke
侦查权	zhenchaquan
侦查实验	zhenchashiyan
侦查终结	zhenchazhongjie
侦督科	zhenduke
珍贵文物	zhenguiwenwu
侦监处	zhenjianchu
贞节	zhenjie
真实意思表示	zhenshiyisibiaoshi
阵痛说	zhentongshuo
真正不作为犯	zhenzhengbuzuoweifan
真正的身份犯	zhenzhengdeshenfenfan
真正亲手犯	zhenzhengqinshoufan
正本提单	zhengbentidan
政策	zhengce
正常风险	zhengchangfengxian
郑成良	zhengchengliang
郑成思	zhengchengsi
正当防卫	zhengdangfangwei
政府采购法	zhengfucaigoufa
政府议案	zhengfuyian
征稿	zhenggao
郑戈	zhengge
政工科	zhenggongke
征购	zhenggou
证据被采纳	zhengjubeicaina
证据不足	zhengjubuzu
证券	zhengquan
证券承销	zhengquanchengxiao
证券法	zhengquanfa
证券发行	zhengquanfaxing
证券公司	zhengquangongsi
证券公司检查办法	zhengquangongsijianchabanfa
证券回购	zhengquanhuigou
证券集中托管	zhengquanjizhongtuoguan
证券交易	zhengquanjiaoyi
证券交易所	zhengquanjiaoyisuo
证券经纪商	zhengquanjingjishang
证券评级	zhengquanpingji
证券市场	zhengquanshichang
证券投资	zhengquantouzi
证券业同业公会	zhengquanyetongyegonghui
证券自营商	zhengquanziyingshang
证人	zhengren
证人权利	zhengrenquanli
证人义务	zhengrenyiwu
征收	zhengshou
整体著作权	zhengtizhuzuoquan
正义	zhengyi
争议解决条款	zhengyijiejuetiaokuan
征用	zhengyong
郑永流	zhengyongliu
正在进行的不法侵害	zhengzaijinxingdebufaqinhai
政治部	zhengzhibu
治安管理处罚条例	zhianguanlichufatiaoli
致残	zhican
支持公诉	zhichigongsu
指定辩护	zhidingbianhu
指定辩护人	zhidingbianhuren
指定代理人	zhidingdailiren
制定法	zhidingfa
指定管辖	zhidingguanxia
指定交易	zhidingjiaoyi
制度	zhidu
执法	zhifa
执法办案第一线	zhifabanandiyixian
执法为民	zhifaweimin
执法行为	zhifaxingwei
职工代表大会	zhigongdaibiaodahui
职工医疗费用	zhigongyiliaofeiyong
治国方略	zhiguofanglue
直接承认	zhijiechengren
直接代理	zhijiedaili
直接反致	zhijiefanzhi
直接负责的主管人员	zhijiefuzedezhuguanrenyuan
直接故意	zhijieguyi
直接关联	zhijieguanlian
直接加害人	zhijiejiahairen
直接教唆犯	zhijiejiaosuofan
直接客体	zhijieketi
直接利害关系人	zhijielihaiguanxiren
直接侵权行为	zhijieqinquanxingwei
直接损失	zhijiesunshi
直接投资	zhijietouzi
直接因果关系	zhijieyinguoguanxi
直接原则	zhijieyuanze
智力成果	zhilichengguo
质量标准	zhiliangbiaozhun
知名企业	zhimingqiye
知名商品	zhimingshangpin
知名商品特有名称	zhimingshangpinteyoumingcheng
滞纳金	zhinajin
职能管辖	zhinengguanxia
指派鉴定	zhipaijianding
支配权	zhipeiquan
制片人	zhipianren
支票	zhipiao
滞期费	zhiqifei
知情不举	zhiqingbuju
职权	zhiquan
质权	zhiquan
质权人	zhiquanren
职权原则	zhiquanyuanze
知识产权法	zhishichanquanfa
指示收货人	zhishishouhuoren
指示提单	zhishitidan
治外法权	zhiwaifaquan
质物	zhiwu
职务保证	zhiwubaozheng
职务发明	zhiwufaming
职务犯罪	zhiwufanzui
职务关系	zhiwuguanxi
职务技术成果	zhiwujishuchengguo
质物灭失	zhiwumieshi
职务侵权	zhiwuqinquan
质物所有人	zhiwusuoyouren
职务行为	zhiwuxingwei
职务作品	zhiwuzuopin
直系亲属	zhixiqinshu
直系血亲	zhixixueqin
执行	zhixing
执行程序	zhixingchengxu
执行公务	zhixinggongwu
执行和解	zhixinghejie
执行拘传	zhixingjuchuan
执行赔偿	zhixingpeichang
执行刑	zhixingxing
秩序	zhixu
质押	zhiya
质押权	zhiyaquan
职业犯	zhiyefan
职业责任险	zhiyezerenxian
制造毒品罪	zhizaodupinzui
制造犯罪条件	zhizaofanzuitiaojian
制造假药罪	zhizaojiayaozui
制作声讯节目	zhizuoshengxunjiemu
制作淫书淫画罪	zhizuoyinshuyinhuazui
中标	zhongbiao
仲裁	zhongcai
仲裁法	zhongcaifa
仲裁机构	zhongcaijigou
仲裁委员会	zhongcaiweiyuanhui
仲裁协议效力	zhongcaixieyixiaoli
仲裁制度	zhongcaizhidu
重大误解	zhongdawujie
重大嫌疑人	zhongdaxianyiren
重大刑事犯罪案件	zhongdaxingshifanzuianjian
重大责任事故罪	zhongdazerenshiguzui
中国法律思想史	zhongguofalvsixiangshi
中国法制史	zhongguofazhishi
中国古代史	zhongguogudaishi
中国近代史	zhongguojindaishi
中国十大杰出检察官	zhongguoshidajiechujianchaguan
中国现代史	zhongguoxiandaishi
中国刑法犯罪论词库	zhongguoxingfafanzuilunciku
中国政法大学	zhongguozhengfadaxue
中华法系	zhonghuafaxi
中华人民共和国	zhonghuarenmingongheguo
中华人民共和国宪法修正案	zhonghuarenmingongheguoxianfaxiuzhengan
中级法院	zhongjifayuan
中级人民法院	zhongjirenminfayuan
中介合同	zhongjiehetong
中绝未遂	zhongjueweisui
种类物	zhongleiwu
终了未遂	zhongliaoweisui
终期	zhongqi
中签	zhongqian
忠实履行宪法和法律赋予的职责	zhongshilvxingxianfahefalvfuyudezhize
忠实义务	zhongshiyiwu
中外合资经营企业法	zhongwaihezijingyingqiyefa
中外合资企业	zhongwaiheziqiye
中外合作经营企业	zhongwaihezuojingyingqiye
中外合作经营企业法	zhongwaihezuojingyingqiyefa
中外合作企业	zhongwaihezuoqiye
中央军事委员会	zhongyangjunshiweiyuanhui
中止的教唆	zhongzhidejiaosuo
终止合同	zhongzhihetong
中止履行	zhongzhilvxing
终止生效时间	zhongzhishengxiaoshijian
中止执行	zhongzhizhixing
重罪	zhongzui
重作	zhongzuo|chongzuo
周汉民	zhouhanmin
周林彬	zhoulinbin
周密	zhoumi
周其仁	zhouqiren
周旺生	zhouwangsheng
主编	zhubian
注册商标	zhuceshangbiao
注册商标专用权	zhuceshangbiaozhuanyongquan
注册资本	zhuceziben
注册资金的担保	zhucezijindedanbao
主从合同	zhuconghetong
助法	zhufa
主犯	zhufan
主管	zhuguan
主观归罪	zhuguanguizui
主观过错	zhuguanguocuo
主合同	zhuhetong
助理审判员	zhulishenpanyuan
主权利	zhuquanli
主审法官	zhushenfaguan
主审人	zhushenren
助审员	zhushenyuan
朱苏力	zhusuli
住所	zhusuo
住所的变更	zhusuodebiangeng
住所搜查	zhusuosoucha
主体	zhuti
主体不符	zhutibufu
主体不同	zhutibutong
主体请求	zhutiqingqiu
主体适用	zhutishiyong
主体资格	zhutizige
朱伟一	zhuweiyi
主物	zhuwu
主物权	zhuwuquan
注销	zhuxiao
注销登记	zhuxiaodengji
注销户口	zhuxiaohukou
主刑	zhuxing
主行为	zhuxingwei
朱学勤	zhuxueqin
主要标志	zhuyaobiaozhi
主要区别	zhuyaoqubie
主要条款	zhuyaotiaokuan
主要责任	zhuyaozeren
注意义务	zhuyiyiwu
主债务人	zhuzhaiwuren
主张双倍索赔	zhuzhangshuangbeisuopei
著作权	zhuzuoquan
著作权的继承	zhuzuoquandejicheng
著作权法	zhuzuoquanfa
著作权国际公约	zhuzuoquanguojigongyue
著作权集体管理组织	zhuzuoquanjitiguanlizuzhi
著作权人	zhuzuoquanren
著作权使用费	zhuzuoquanshiyongfei
著作权与商标权的关系	zhuzuoquanyushangbiaoquandeguanxi
著作人格权	zhuzuorengequan
转包	zhuanbao
转承责任	zhuanchengzeren
转代理	zhuandaili
转股协议	zhuanguxieyi
专家意见	zhuanjiayijian
专利	zhuanli
专利保护范围	zhuanlibaohufanwei
专利代理	zhuanlidaili
专利代理费	zhuanlidailifei
专利独立权利要求	zhuanliduliquanliyaoqiu
专利法	zhuanlifa
专利复审	zhuanlifushen
专利复审委员会	zhuanlifushenweiyuanhui
专利技术	zhuanlijishu
专利年费	zhuanlinianfei
专利侵权	zhuanliqinquan
专利权	zhuanliquan
专利权利要求	zhuanliquanliyaoqiu
专利权终止	zhuanliquanzhongzhi
专利权转让	zhuanliquanzhuanrang
专利申请费	zhuanlishenqingfei
专利申请权	zhuanlishenqingquan
专利申请权人	zhuanlishenqingquanren
专利申请权转让	zhuanlishenqingquanzhuanrang
专利申请人	zhuanlishenqingren
专利申请日	zhuanlishenqingri
专利实施许可合同	zhuanlishishixukehetong
专利说明书	zhuanlishuomingshu
专利终止	zhuanlizhongzhi
专卖	zhuanmai
专门管辖	zhuanmenguanxia
转让背书	zhuanrangbeishu
转让合同	zhuanranghetong
专属经济区和大陆架法	zhuanshujingjiquhedalujiafa
转委托	zhuanweituo
专项贷款	zhuanxiangdaikuan
转移说	zhuanyishuo
专有表演权	zhuanyoubiaoyanquan
专有出版发行权	zhuanyouchubanfaxingquan
专有出版权	zhuanyouchubanquan
专有技术秘密	zhuanyoujishumimi
专有使用权	zhuanyoushiyongquan
转载	zhuanzai
转帐	zhuanzhang
转帐支票	zhuanzhangzhipiao
转致	zhuanzhi
转租	zhuanzu
转租人	zhuanzuren
装货	zhuanghuo
装货损害	zhuanghuosunhai
装货义务	zhuanghuoyiwu
状态犯	zhuangtaifan
装卸费用	zhuangxiefeiyong
装卸期间	zhuangxieqijian
追偿	zhuichang
追缉措施	zhuijicuoshi
追及权	zhuijiquan
追及效力	zhuijixiaoli
追加	zhuijia
追加被告	zhuijiabeigao
追认	zhuiren
追诉	zhuisu
追诉时效	zhuisushixiao
追索权	zhuisuoquan
准备犯罪工具	zhunbeifanzuigongju
准备就绪通知书	zhunbeijiuxutongzhishu
准抵押权	zhundiyaquan
准共有	zhungongyou
准合伙人	zhunhehuoren
准据法	zhunjufa
准抢劫罪	zhunqiangjiezui
准用	zhunyong
准占有	zhunzhanyou
着手	zhuoshou
着手客观说	zhuoshoukeguanshuo
着手未遂	zhuoshouweisui
着手折衷说	zhuoshouzhezhongshuo
着手中止	zhuoshouzhongzhi
着手主观说	zhuoshouzhuguanshuo
卓泽渊	zhuozeyuan
资本	ziben
资本主义	zibenzhuyi
资产负债表	zichanfuzhaibiao
资产评估	zichanpinggu
资产移交	zichanyijiao
资敌罪	zidizui
自动出口限制	zidongchukouxianzhi
自负盈亏	zifuyingkui
子公司	zigongsi
资合公司	zihegongsi
自己代理	zijidaili
资金	zijin
自立案由的中心	zilianyoudezhongxin
自力救济	zilijiuji
自留山	ziliushan
自然法	ziranfa
自然法学	ziranfaxue
自然法学派	ziranfaxuepai
自然犯	ziranfan
自然人	ziranren
自然死亡	ziransiwang
自然血亲	ziranxueqin
自然正义原则	ziranzhengyiyuanze
自然资源	ziranziyuan
自然资源国家所有权	ziranziyuanguojiasuoyouquan
自始不能	zishibuneng
自首	zishou
自手犯	zishoufan
自书遗嘱	zishuyizhu
自诉	zisu
自诉案件	zisuanjian
自诉人	zisuren
自卫行为	ziweixingwei
自物权	ziwuquan
孳息	zixi
自行回避	zixinghuibi
自益信托	ziyixintuo
自由	ziyou
自由法学	ziyoufaxue
自由婚	ziyouhun
自由主义	ziyouzhuyi
自愿保险	ziyuanbaoxian
资源税	ziyuanshui
自治产人	zizhichanren
自治条例	zizhitiaoli
自助行为	zizhuxingwei
综合法学	zonghefaxue
综合法学派	zonghefaxuepai
综合险	zonghexian
纵火罪	zonghuozui
宗教	zongjiao
宗教信仰自由	zongjiaoxinyangziyou
走私罪	zousizui
租船合同	zuchuanhetong
足额保价	zuebaojia
组合商标	zuheshangbiao
组合专利	zuhezhuanli
租金	zujin
租赁	zulin
租赁物的留购	zulinwudeliugou
组织犯	zuzhifan
组织他人偷越国边境罪	zuzhitarentouyueguobianjingzui
组织越狱罪	zuzhiyueyuzui
最低法定刑	zuidifadingxing
最低限价	zuidixianjia
罪犯	zuifan
最高诚信原则	zuigaochengxinyuanze
最高额担保	zuigaoedanbao
最高额抵押	zuigaoediya
最高法定刑	zuigaofadingxing
最高检	zuigaojian
最高人民法院	zuigaorenminfayuan
最高人民检察院	zuigaorenminjianchayuan
罪过	zuiguo
最后不合法航次	zuihoubuhefahangci
最后合法航次	zuihouhefahangci
最惠国待遇	zuihuiguodaiyu
最密切联系原则	zuimiqielianxiyuanze
罪行法定	zuixingfading
作废	zuofei
作品拍卖	zuopinpaimai
作品载体	zuopinzaiti
作品赠与	zuopinzengyu
作为犯罪	zuoweifanzui
左卫民	zuoweimin
作为义务	zuoweiyiwu
作为证据使用	zuoweizhengjushiyong
房地产	fangdichan
模式	moshi
监督	jiandu
规范	guifan
侵犯	qinfan
收购	shougou
非法	feifa
有关部门	youguanbumen
债券	zhaiquan
披露	pilu
董事长	dongshizhang
签约	qianyue
冷静	lengjing
院长	yuanzhang
门户网站	menhuwangzhan
债务	zhaiwu
保险公司	baoxiangongsi
判决	panjue
汇报	huibao
新股	xingu
承包	chengbao
查处	chachu
标注	biaozhu
章程	zhangcheng
缺陷	quexian
宏观调控	hongguantiaokong
跨越	kuayue
承担责任	chengdanzeren
强奸	qiangjian
国家安全	guojiaanquan
责任感	zerengan
权利人	quanliren
分割	fenge
电站	dianzhan
营业执照	yingyezhizhao
全球化	quanqiuhua
市盈率	shiyinglv
推迟	tuichi
虐待	nuedai
有效期	youxiaoqi
维权	weiquan
信息披露	xinxipilu
执法人员	zhifarenyuan
建设部	jianshebu
直辖市	zhixiashi
印花税	yinhuashui
从业人员	congyerenyuan
谋杀	mousha
信访	xinfang
抵触	dichu
人事部	renshibu
扶贫	fupin
侵犯版权	qinfanbanquan
市场占有率	shichangzhanyoulv
贿赂	huilu
争执	zhengzhi
发展规划	fazhanguihua
裁决	caijue
保全	baoquan
涉案	shean
缺席	quexi
医疗费	yiliaofei
归还	guihuan
队伍建设	duiwujianshe
注册会计师	zhucekuaijishi
挪用	nuoyong
道路交通	daolujiaotong
信息产业部	xinxichanyebu
殴打	ouda
乙方	yifang
家产	jiachan
印章	yinzhang
上海证券交易所	shanghaizhengquanjiaoyisuo
新材料	xincailiao
反垄断	fanlongduan
社会治安	shehuizhian
中央军委	zhongyangjunwei
法医	fayi
农业银行	nongyeyinhang
调查报告	diaochabaogao
首席执行官	shouxizhixingguan
麻醉药品	mazuiyaopin
国有股	guoyougu
文化部	wenhuabu
分居	fenju
国土资源部	guotuziyuanbu
规范性	guifanxing
国家主席	guojiazhuxi
药品监督管理局	yaopinjianduguanliju
和谐发展	hexiefazhan
授权委托书	shouquanweituoshu
医药费	yiyaofei
用词	yongci
下毒	xiadu
全文检索	quanwenjiansuo
笔录	bilu
国家旅游局	guojialvyouju
弄虚作假	nongxuzuojia
最终解释权	zuizhongjieshiquan
列席	liexi
加工贸易	jiagongmaoyi
强制执行	qiangzhizhixing
中国农业银行	zhongguonongyeyinhang
年终奖	nianzhongjiang
规范性文件	guifanxingwenjian
排放标准	paifangbiaozhun
暂行规定	zanxingguiding
劳动和社会保障部	laodongheshehuibaozhangbu
牟利	mouli
中国社会科学院	zhongguoshehuikexueyuan
要件	yaojian
执行董事	zhixingdongshi
驻外	zhuwai
划转	huazhuan
农村信用社	nongcunxinyongshe
行为规范	xingweiguifan
发展研究中心	fazhanyanjiuzhongxin
青霉素	qingmeisu
执业证	zhiyezheng
集体经济	jitijingji
现代企业制度	xiandaiqiyezhidu
中央党校	zhongyangdangxiao
安全局	anquanju
前提条件	qiantitiaojian
股份制企业	gufenzhiqiye
迎刃而解	yingrenerjie
非机动车	feijidongche
商业企业	shangyeqiye
感化	ganhua
改革试点	gaigeshidian
拘捕	jubu
基本养老保险	jibenyanglaobaoxian
特别规定	tebieguiding
懈怠	xiedai
滥用职权	lanyongzhiquan
专利产品	zhuanlichanpin
拆迁人	chaiqianren
一级市场	yijishichang
刑事辩护	xingshibianhu
仓单	cangdan
香港特别行政区	xianggangtebiexingzhengqu
工业产品	gongyechanpin
中国工程院	zhongguogongchengyuan
个体户	getihu
被执行人	beizhixingren
稳步增长	wenbuzengzhang
法制办	fazhiban
小产权房	xiaochanquanfang
要约收购	yaoyueshougou
统战部	tongzhanbu
履行合同	lvxinghetong
吸收合并	xishouhebing
专门委员会	zhuanmenweiyuanhui
国务院发展研究中心	guowuyuanfazhanyanjiuzhongxin
经研究	jingyanjiu
区别对待	qubieduidai
袭警	xijing
质量技术监督局	zhiliangjishujianduju
结构优化	jiegouyouhua
新闻办公室	xinwenbangongshi
垄断行业	longduanhangye
债权债务	zhaiquanzhaiwu
产权制度	chanquanzhidu
经济价值	jingjijiazhi
议定书	yidingshu
商业保险	shangyebaoxian
错漏	cuolou
监督权	jianduquan
税收优惠政策	shuishouyouhuizhengce
国家产业政策	guojiachanyezhengce
国家开发银行	guojiakaifayinhang
慰问金	weiwenjin
没收违法所得	moshouweifasuode
约瑟夫	yuesefu
扭亏为盈	niukuiweiying
个体经营	getijingying
社会治安综合治理	shehuizhianzonghezhili
遣返	qianfan
道路交通安全法	daolujiaotonganquanfa
贸易壁垒	maoyibilei
安全监督	anquanjiandu
公务员法	gongwuyuanfa
股权转让协议	guquanzhuanrangxieyi
违章建筑	weizhangjianzhu
常任理事国	changrenlishiguo
企业效益	qiyexiaoyi
批准文号	pizhunwenhao
严重程度	yanzhongchengdu
土地利用总体规划	tudiliyongzongtiguihua
参考文献	cankaowenxian
建设用地使用权	jiansheyongdishiyongquan
聚氯乙烯	julvyixi
新华通讯社	xinhuatongxunshe
被拆迁人	beichaiqianren
漏税	loushui
承包经营权	chengbaojingyingquan
下岗工人	xiaganggongren
依法查处	yifachachu
仲裁裁决	zhongcaicaijue
公职人员	gongzhirenyuan
产品质量监督	chanpinzhiliangjiandu
亲生父母	qinshengfumu
专款专用	zhuankuanzhuanyong
牟取暴利	mouqubaoli
国家股	guojiagu
模棱两可	molengliangke
保险经纪	baoxianjingji
国家机关工作人员	guojiajiguangongzuorenyuan
一审法院	yishenfayuan
登记制度	dengjizhidu
维持原判	weichiyuanpan
代扣代缴	daikoudaijiao
软着陆	ruanzhuolu
可转换债券	kezhuanhuanzhaiquan
规模效益	guimoxiaoyi
转让方	zhuanrangfang
证券投资基金法	zhengquantouzijijinfa
法律地位	falvdiwei
国有股减持	guoyougujianchi
市场参与者	shichangcanyuzhe
行纪	xingji
行为模式	xingweimoshi
违法经营	weifajingying
经济贸易委员会	jingjimaoyiweiyuanhui
违法乱纪	weifaluanji
职业安全	zhiyeanquan
代理协议	dailixieyi
工业增加值	gongyezengjiazhi
国务院法制办	guowuyuanfazhiban
人民政治协商会议	renminzhengzhixieshanghuiyi
发生法律效力	fashengfalvxiaoli
