阿纳克	anake
莫尔斯洁治器	moersijiezhiqi
摩尔椭圆率	moertuoyuanlv
摩尔消光系数	moerxiaoguangxishu
模仿行为	mofangxingwei
墨菲征	mofeizheng
蘑菇多糖	moguduotang
膜骨架	mogujia
蘑菇素	mogusu
蘑菇酸	mogusuan
磨光条	moguangtiao
磨光用橡皮杯	moguangyongxiangpibei
磨光钻	moguangzuan
磨耗小平面	mohaoxiaopingmian
莫基奥综合征	mojiaozonghezheng
默勒舌炎	molesheyan
茉莉酮	molitong
膜瘤	moliu
膜免疫荧光技术	momianyiyingguangjishu
墨囊	monang
膜内侧翻外	moneicefanwai
膜内在蛋白质	moneizaidanbaizhi
模拟框架	monikuangjia
膜膨出	mopengchu
膜膨出修补术	mopengchuxiubushu
膜膨胀学说	mopengzhangxueshuo
膜平衡	mopingheng
膜融合蛋白	moronghedanbai
膜绒毛活检	morongmaohuojian
磨肉机	morouji
膜上停泊部位	moshangtingbobuwei
末梢致敏	moshaozhimin
模式标本	moshibiaoben
模式产地	moshichandi
模式判别分析	moshipanbiefenxi
末体	moti
膜通道	motongdao
膜外阻滞	mowaizuzhi
膜细丝	moxisi
膜性肾小球肾炎	moxingshenxiaoqiushenyan
模型外科	moxingwaike
模型修整机	moxingxiuzhengji
模型振荡器	moxingzhendangqi
膜血管瘤病	moxueguanliubing
磨牙半切术	moyabanqieshu
磨牙后三角	moyahousanjiao
磨牙后腺	moyahouxian
磨牙旁多生牙	moyapangduoshengya
磨牙旁额外牙	moyapangewaiya
磨牙癖	moyapi
膜载体	mozaiti
膜周边蛋白质	mozhoubiandanbaizhi
模板学说	mubanxueshuo
模板研究	mubanyanjiu
木薄壁组织	mubaobizuzhi
木本群落	mubenqunluo
目标酶	mubiaomei
木材解剖学	mucaijiepouxue
木二糖	muertang
木防己宾碱	mufangjibinjian
木防己碱	mufangjijian
木防己里定碱	mufangjilidingjian
木防已苦毒素	mufangyikudusu
木工疗法	mugongliaofa
木瓜蛋白酶	muguadanbaimei
木瓜酶	muguamei
木夹板	mujiaban
木姜子碱	mujiangzijian
目镜测微尺	mujingceweichi
牡荆葡基黄酮	mujingpujihuangtong
木聚糖	mujutang
木聚糖酶	mujutangmei
木蜡酸	mulasuan
木兰花碱	mulanhuajian
木兰箭毒碱	mulanjiandujian
牡蛎养殖	muliyangzhi
木霉菌素	mumeijunsu
木霉属	mumeishu
木霉素	mumeisu
母皿	mumin
木内苏铁	muneisutie
母亲年龄效应	muqinnianlingxiaoying
幕上入路	mushangrulu
幕上下联合入路	mushangxialianherulu
木射线	mushexian
木栓	mushuan
木栓化	mushuanhua
木栓质	mushuanzhi
木他龙	mutalong
木糖氨醇	mutanganchun
木糖苷酶	mutangganmei
木糖基转移酶	mutangjizhuanyimei
母体免疫	mutimianyi
母体免疫性	mutimianyixing
母体效应	mutixiaoying
母体遗传	mutiyichuan
木酮糖	mutongtang
木酮糖激酶	mutongtangjimei
母细胞	muxibao
母细胞瘤	muxibaoliu
母系遗传	muxiyichuan
幕下	muxia
幕下入路	muxiarulu
木质部	muzhibu
木质部束	muzhibushu
拇指对掌	muzhiduizhang
拇指对指	muzhiduizhi
拇指功能重建术	muzhigongnengchongjianshu
木质化	muzhihua
拇指化术	muzhihuashu
木质磺酸盐	muzhihuangsuanyan
木质酶	muzhimei
拇指内收	muzhineishou
拇指内收畸形	muzhineishoujixing
拇指桡侧外展	muzhiraocewaizhan
木质素	muzhisu
拇指狭窄性腱鞘炎	muzhixiazhaixingjianqiaoyan
木质纤维素	muzhixianweisu
拇指再造术	muzhizaizaoshu
拇指掌侧外展	muzhizhangcewaizhan
母组织	muzuzhi
纳尔逊综合征	naerxunzonghezheng
呐咯酮	nagetong
那可汀	naketing
钠离子通道	nalizitongdao
纳洛芬	naluofen
纳洛酮	naluotong
纳摩尔	namoer
钠尿激素	naniaojisu
钠排泄分数	napaixiefenshu
纳屈酮	naqutong
奈啶酸	naidingsuan
奈恩综合征	naienzonghezheng
萘酚	naifen
耐高温包埋材料	naigaowenbaomaicailiao
耐高温模型	naigaowenmoxing
耐寒性	naihanxing
耐寒植物	naihanzhiwu
萘磺酰	naihuangxian
萘基	naiji
萘醌	naikun
耐力运动	nailiyundong
耐量	nailiang
耐量范围	nailiangfanwei
耐量试验	nailiangshiyan
耐量限度	nailiangxiandu
耐热植物	nairezhiwu
奈氏试剂	naishishiji
耐酸水解性纤维	naisuanshuijiexingxianwei
萘烷	naiwan
耐氧菌厌氧菌	naiyangjunyanyangjun
萘异丙仲胺	naiyibingzhongan
萘酯	naizhi
南丁宁碱	nandingningjian
南丁竹碱	nandingzhujian
南非部	nanfeibu
难复性疝	nanfuxingshan
南瓜子氨酸	nanguaziansuan
男假两性畸形	nanjialiangxingjixing
南美蟾蜍皮肽	nanmeichanchupitai
南斯剩余间隙	nansishengyujianxi
南天青碱	nantianqingjian
南天竹种碱	nantianzhuzhongjian
男性不育症	nanxingbuyuzheng
男性化综合征	nanxinghuazonghezheng
男性泌尿生殖系结核	nanxingminiaoshengzhixijiehe
男性泌尿生殖系梅毒	nanxingminiaoshengzhiximeidu
男性性功能障碍	nanxingxinggongnengzhangai
男性型秃发	nanxingxingtufa
男子乳腺发育	nanziruxianfayu
囊柄	nangbing
囊壳	nangke
囊胚	nangpei
囊胚腔	nangpeiqiang
囊群	nangqun
囊群盖	nangqungai
囊尾蚴	nangweiyou
囊腺癌	nangxianai
囊腺瘤	nangxianliu
囊性成釉细胞瘤	nangxingchengyouxibaoliu
囊性淋巴管瘤	nangxinglinbaguanliu
囊性膀胱炎钙质沉着	nangxingpangguangyangaizhichenzhuo
囊性肾盂炎	nangxingshenyuyan
囊性输尿管炎	nangxingshuniaoguanyan
囊性腺瘤样畸形	nangxingxianliuyangjixing
囊性纤维化病	nangxingxianweihuabing
囊性纤维性骨炎	nangxingxianweixingguyan
囊性造釉细胞瘤	nangxingzaoyouxibaoliu
囊性增生病	nangxingzengshengbing
囊肿性痤疮	nangzhongxingcuochuang
囊状	nangzhuang
囊状地衣酸	nangzhuangdiyisuan
囊状动脉瘤	nangzhuangdongmailiu
囊状体	nangzhuangti
囊状物	nangzhuangwu
脑白质营养不良	naobaizhiyingyangbuliang
脑瘢痕	naobanhen
脑池分流术	naochifenliushu
脑穿通畸形	naochuantongjixing
脑垂体移植	naochuitiyizhi
脑岛	naodao
脑电阻图	naodianzutu
脑啡肽	naofeitai
脑肝肾综合征	naoganshenzonghezheng
脑苷脂	naoganzhi
脑苷脂半乳糖苷酶	naoganzhibanrutangganmei
脑苷脂硫酸转移酶	naoganzhiliusuanzhuanyimei
脑苷脂葡糖苷酶	naoganzhiputangganmei
脑苷脂贮积病	naoganzhizhujibing
脑梗死	naogengsi
脑灌注	naoguanzhu
脑核性黄疸	naohexinghuangdan
脑活检	naohuojian
脑寄虫病	naojichongbing
脑脊膜	naojimo
脑脊膜炎	naojimoyan
脑激素	naojisu
脑脊髓	naojisui
脑脊髓炎	naojisuiyan
脑脊液鼻漏	naojiyebilou
脑减压术	naojianyashu
脑结核瘤	naojieheliu
脑立体定向活检	naolitidingxianghuojian
脑裂伤	naolieshang
脑磷脂	naolinzhi
脑梅毒瘤	naomeiduliu
脑面血管瘤病	naomianxueguanliubing
脑膜脑膨出	naomonaopengchu
脑膜血管神经梅毒	naomoxueguanshenjingmeidu
脑膜炎球菌性脑膜炎	naomoyanqiujunxingnaomoyan
脑内血肿	naoneixuezhong
脑内异物摘除术	naoneiyiwuzhaichushu
脑脓肿	naonongzhong
脑脓肿抽吸术	naonongzhongchouxishu
脑脓肿切除术	naonongzhongqiechushu
脑脓肿手术	naonongzhongshoushu
脑脓肿引流术	naonongzhongyinliushu
脑泡	naopao
脑羟酸	naoqiangsuan
脑羟脂酸	naoqiangzhisuan
脑桥	naoqiao
脑桥臂	naoqiaobi
脑桥出血	naoqiaochuxie
脑软化	naoruanhua
脑沙	naosha
脑砂	naosha
脑神经节	naoshenjingjie
脑室	naoshi
脑室内出血	naoshineichuxue
脑室内脑膜瘤	naoshineinaomoliu
脑室造瘘术	naoshizaoloushu
脑受压	naoshouya
脑水肿	naoshuizhong
脑铜蛋白	naotongdanbai
脑细胞移植	naoxibaoyizhi
脑下垂体	naoxiachuiti
脑下垂体后叶	naoxiachuitihouye
脑下垂体前叶激素	naoxiachuitiqianyejisu
脑下垂体中叶激素	naoxiachuitizhongyejisu
脑血管疾病手术	naoxueguanjibingshoushu
脑血管意外	naoxueguanyiwai
脑叶切除术	naoyeqiechushu
脑油脂	naoyouzhi
脑真菌性肉芽肿	naozhenjunxingrouyazhong
脑蛛网膜	naozhuwangmo
脑蛛网膜炎	naozhuwangmoyan
脑组织移植	naozuzhiyizhi
内鼻孔	neibikong
内侧髁	neiceke
内侧膝状体	neicexizhuangti
内侧楔骨	neicexiegu
内唇	neichun
内毒素	neidusu
内多倍性	neiduobeixing
内翻缝合	neifanfenghe
内翻性导管乳头状瘤	neifanxingdaoguanrutouzhuangliu
内翻性毛囊角化病	neifanxingmaonangjiaohuabing
内翻足	neifanzu
内啡肽	neifeitai
内分泌病	neifenmibing
内分泌过多	neifenmiguoduo
内分泌物	neifenmiwu
内分泌系统	neifenmixitong
内分泌腺	neifenmixian
内分泌腺移植	neifenmixianyizhi
内分泌性萎缩	neifenmixingweisuo
内分泌学	neifenmixue
内分泌障碍	neifenmizhangai
内稃	neifu
内感受	neiganshou
内感受器	neiganshouqi
内共生体	neigongshengti
内固定	neiguding
内果皮	neiguopi
内含物	neihanwu
内含子	neihanzi
内呼吸	neihuxi
内化作用	neihuazuoyong
内环境	neihuanjing
内环境稳定	neihuanjingwending
内寄生虫	neijishengchong
内交换	neijiaohuan
内镜逆行胰胆管造影	neijingnixingyidanguanzaoying
内科学	neikexue
内括约肌重建术	neikuoyuejichongjianshu
内括约肌后切术	neikuoyuejihouqieshu
内淋巴	neilinba
内淋巴管	neilinbaguan
内螺旋	neiluoxuan
内膜系统	neimoxitong
内膜纤维化	neimoxianweihua
内囊	neinang
内囊出血	neinangchuxie
内胚层	neipeiceng
内皮	neipi
内皮细胞	neipixibao
内皮细胞生长因子	neipixibaoshengzhangyinzi
内嵌植皮术	neiqianzhipishu
内切核酸酶	neiqiehesuanmei
内切肽链酶	neiqietailianmei
内切糖苷酶	neiqietangganmei
内区域	neiquyu
内融合	neironghe
内疝	neishan
内上踝	neishanghuai
内生软骨瘤病	neishengruanguliubing
内生性生长	neishengxingshengzhang
内生性氧合	neishengxingyanghe
内始式	neishishi
内水体积	neishuitiji
内缩醛	neisuoquan
内肽酶	neitaimei
内吞作用	neitunzuoyong
内吸收	neixishou
内酰亚胺	neixianyaan
内消旋化合物	neixiaoxuanhuahewu
内消旋体	neixiaoxuanti
内斜嵴	neixieji
内信号序列	neixinhaoxulie
内因性凝血	neiyinxingningxue
内颖	neiying
内影像	neiyingxiang
内釉上皮	neiyoushangpi
内源基因	neiyuanjiyin
内源性抗原	neiyuanxingkangyuan
内源性染色	neiyuanxingranse
内源性热原激活因子	neiyuanxingreyuanjihuoyinzi
内源因素	neiyuanyinsu
内赃	neizang
内脏伤	neizangshang
内脏烧伤	neizangshaoshang
内脏神经切除术	neizangshenjingqiechushu
内脏神经切断术	neizangshenjingqieduanshu
内脏痛	neizangtong
内脏团	neizangtuan
内脏下垂	neizangxiachui
内脏学	neizangxue
内脏转位	neizangzhuanwei
内酯	neizhi
内酯酶	neizhimei
内质体	neizhiti
内质网	neizhiwang
内钟	neizhong
内种皮	neizhongpi
内眦间距	neizijianju
内眦距过宽	neizijuguokuan
内眦赘皮	neizizhuipi
内眦赘皮矫正术	neizizhuipijiaozhengshu
能垒	nenglei
能量不灭	nengliangbumie
能量代谢	nengliangdaixie
能量金字塔	nengliangjinzita
能育性	nengyuxing
能障	nengzhang
能自养生物	nengziyangshengwu
拟表型	nibiaoxing
拟除虫菊酯	nichuchongjuzhi
拟等位基因	nidengweijiyin
尼蘩	nifan
拟反馈抑制	nifankuiyizhi
尼格罗黑	nigeluohei
拟核	nihe
拟己糖	nijitang
拟基因型	nijiyinxing
拟交感神经	nijiaoganshenjing
尼凯多赫	nikaiduohe
尼科耳棱晶	nikeerlengjing
尼科利斯基征	nikelisijizheng
尼勒吉扔碱	nilejirengjian
泥疗法	niliaofa
逆流分溶	niliufenrong
尼罗蓝	niluolan
拟羟高铁血红素	niqianggaotiexuehongsu
拟羟高铁原卟啉	niqianggaotieyuanbulin
拟染色体	niranseti
拟人说	nirenshuo
逆蠕动	nirudong
逆蠕动吻合	nirudongwenhe
拟乳己糖	nirujitang
拟乳己糖神经酰胺	nirujitangshenjingxianan
拟乳四糖	nirusitang
拟乳四糖神经酰胺	nirusitangshenjingxianan
尼润碱	nirunjian
拟三岩藻糖庚糖	nisanyanzaotanggengtang
尼氏体	nishiti
尼氏体溶解	nishitirongjie
尼氏小体	nishixiaoti
拟四糖	nisitang
拟四糖醇	nisitangchun
泥炭藓	nitanxian
拟辛糖	nixintang
拟心脏	nixinzang
逆行导引插管	nixingdaoyinchaguan
逆行岛状皮瓣	nixingdaozhuangpiban
逆行尿道造影	nixingniaodaozaoying
逆行膀胱造影	nixingpangguangzaoying
逆行射精	nixingshejing
逆行肾盂造影	nixingshenyuzaoying
逆行性嵌顿疝	nixingxingqiandunshan
逆行性牙髓炎	nixingxingyasuiyan
逆行轴突运输	nixingzhoutuyunshu
逆引导尿管插入术	niyindaoniaoguancharushu
拟蛹	niyong
拟蔗果三糖	nizheguosantang
逆转录	nizhuanlu
逆转录病毒	nizhuanlubingdu
逆转录酶	nizhuanlumei
黏蛋白性脱发	niandanbaixingtuofa
粘多糖	nianduotang
粘多糖贮积病	nianduotangzhujibing
粘多糖贮积症	nianduotangzhujizheng
捻发音	nianfayin
粘附细胞	nianfuxibao
粘附性细胞	nianfuxingxibao
粘附因子	nianfuyinzi
粘骨膜分离器	niangumofenliqi
粘结固定桥	nianjiegudingqiao
粘菌	nianjun
粘菌素	nianjunsu
粘膜	nianmo
粘膜白斑病	nianmobaibanbing
黏膜瓣	nianmoban
粘膜瓣	nianmoban
粘膜层	nianmoceng
粘膜骨膜	nianmogumo
黏膜骨膜瓣	nianmogumoban
粘膜骨膜瓣	nianmogumoban
黏膜黑	nianmohei
粘膜内种植术	nianmoneizhongzhishu
粘膜系列	nianmoxilie
粘膜下层	nianmoxiaceng
粘膜下浸润麻醉	nianmoxiajinrunmazui
粘膜下前庭成形术	nianmoxiaqiantingchengxingshu
粘膜下种植体	nianmoxiazhongzhiti
粘膜相关	nianmoxiangguan
粘膜牙龈界	nianmoyayinjie
粘膜移植	nianmoyizhi
黏膜移植术	nianmoyizhishu
黏膜移植物	nianmoyizhiwu
粘膜支持	nianmozhichi
粘膜支持式	nianmozhichishi
捻皮癖	nianpipi
粘性末端	nianxingmoduan
粘性质粒	nianxingzhili
粘性质粒载体	nianxingzhilizaiti
粘液癌	nianyeai
粘液变性	nianyebianxing
粘液表皮样癌	nianyebiaopiyangai
粘液瘤	nianyeliu
粘液囊腺瘤	nianyenangxianliu
黏液囊肿	nianyenangzhong
粘液囊肿	nianyenangzhong
粘液腔	nianyeqiang
粘液肉瘤	nianyerouliu
粘液水肿	nianyeshuizhong
黏液水肿性苔藓	nianyeshuizhongxingtaixian
粘液素	nianyesu
粘液细胞	nianyexibao
粘液腺癌	nianyexianai
粘液性	nianyexing
粘液性水肿	nianyexingshuizhong
粘液样	nianyeyang
黏液样变性	nianyeyangbianxing
粘着斑	nianzheban
粘着斑蛋白	nianzhebandanbai
粘着蛋白	nianzhedanbai
粘着连接	nianzhelianjie
粘着素	nianzhesu
粘着糖蛋白	nianzhetangdanbai
粘着因子	nianzheyinzi
粘滞度	nianzhidu
粘质沙雷氏杆菌	nianzhishaleishiganjun
粘滞性	nianzhixing
念珠菌病	nianzhujunbing
念珠菌膀胱炎	nianzhujunpangguangyan
念珠菌性擦烂	nianzhujunxingcalan
念珠菌性甲沟炎	nianzhujunxingjiagouyan
念珠菌性外阴阴道炎	nianzhujunxingwaiyinyindaoyan
念珠菌疹	nianzhujunzhen
念珠状错构瘤	nianzhuzhuangcuogouliu
念珠状发	nianzhuzhuangfa
念珠状红苔藓	nianzhuzhuanghongtaixian
粘着性细胞	nianzhuoxingxibao
酿酒酵母	niangjiujiaomu
酿热毒素	niangredusu
酿造质	niangzaozhi
鸟氨酸	niaoansuan
鸟氨酸三甲基内盐	niaoansuansanjiajineiyan
鸟氨酸脱羧酶	niaoansuantuosuomei
鸟氨酸循环	niaoansuanxunhuan
鸟氨酸脂质	niaoansuanzhizhi
鸟氨酰胺	niaoanxianan
尿崩症	niaobengzheng
尿卟啉	niaobulin
尿布皮炎	niaobupiyan
鸟巢菌	niaochaojun
鸟翅	niaochi
鸟催产素	niaocuichansu
尿胆素原	niaodansuyuan
尿道癌	niaodaoai
尿道瓣膜	niaodaobanmo
尿道闭合压力图	niaodaobiheyalitu
尿道闭锁	niaodaobisuo
尿道成形术	niaodaochengxingshu
尿道刀	niaodaodao
尿道发育不全	niaodaofayubuquan
尿道会师手术	niaodaohuishishoushu
尿道畸形	niaodaojixing
尿道尖锐湿疣	niaodaojianruishiyou
尿道结核	niaodaojiehe
尿道结石	niaodaojieshi
尿道镜	niaodaojing
尿道镜检查术	niaodaojingjianchashu
尿道口成形术	niaodaokouchengxingshu
尿道口粘液囊肿	niaodaokounianyenangzhong
尿道口切开术	niaodaokouqiekaishu
尿道口狭窄	niaodaokouxiazhai
尿道口血管瘤	niaodaokouxueguanliu
尿道括约肌测压	niaodaokuoyuejiceya
尿道括约肌肌电图	niaodaokuoyuejijidiantu
尿道扩张	niaodaokuozhang
尿道瘘	niaodaolou
尿道内切开术	niaodaoneiqiekaishu
尿道粘膜脱垂	niaodaonianmotuochui
尿道膀胱吻合	niaodaopangguangwenhe
尿道膀胱悬吊术	niaodaopangguangxuandiaoshu
尿道膀胱造影	niaodaopangguangzaoying
尿道膨出	niaodaopengchu
尿道皮肤瘘	niaodaopifulou
尿道憩室	niaodaoqishi
尿道前移术	niaodaoqianyishu
尿道切除术	niaodaoqiechushu
尿道切开术	niaodaoqiekaishu
尿道球	niaodaoqiu
尿道球腺	niaodaoqiuxian
尿道球腺疾病	niaodaoqiuxianjibing
尿道球腺结核	niaodaoqiuxianjiehe
尿道球腺囊肿	niaodaoqiuxiannangzhong
尿道球腺脓肿	niaodaoqiuxiannongzhong
尿道球腺腺癌	niaodaoqiuxianxianai
尿道球腺炎	niaodaoqiuxianyan
尿道球腺肿瘤	niaodaoqiuxianzhongliu
尿道肉阜	niaodaoroufu
尿道上裂	niaodaoshanglie
尿道丝状探子	niaodaosizhuangtanzi
尿道损伤	niaodaosunshang
尿道抬举试验	niaodaotaijushiyan
尿道外切开术	niaodaowaiqiekaishu
尿道息肉	niaodaoxirou
尿道下裂	niaodaoxialie
尿道狭窄	niaodaoxiazhai
尿道腺癌	niaodaoxianai
尿道腺瘤	niaodaoxianliu
尿道血管瘤	niaodaoxueguanliu
尿道异物	niaodaoyiwu
尿道阴道瘘	niaodaoyindaolou
尿道造影	niaodaozaoying
尿道直肠瘘	niaodaozhichanglou
尿道肿瘤	niaodaozhongliu
尿道周围脓肿	niaodaozhouweinongzhong
尿道综合征	niaodaozonghezheng
尿毒性瘙痒	niaoduxingsaoyang
尿钙过多	niaogaiguoduo
尿苷	niaogan
尿苷二磷酸	niaoganerlinsuan
尿苷二磷酸葡糖醛酸	niaoganerlinsuanputangquansuan
尿苷二磷酸葡糖醛酸脱羧酶	niaoganerlinsuanputangquansuantuosuomei
尿苷三磷酸	niaogansanlinsuan
尿苷酸	niaogansuan
鸟苷酸脱氨酶	niaogansuantuoanmei
鸟苷五磷酸	niaoganwulinsuan
尿黑酸	niaoheisuan
尿黑酸尿	niaoheisuanniao
尿黑酸尿症	niaoheisuanniaozheng
尿黑酸氧化酶	niaoheisuanyanghuamei
尿黄素	niaohuangsu
脲基	niaoji
脲基丙氨酸	niaojibingansuan
脲基甲酸	niaojijiasuan
脲基甲酸酸酯	niaojijiasuansuanzhi
尿激酶	niaojimei
尿激酶原	niaojimeiyuan
脲基乙酮酸	niaojiyitongsuan
鸟脚龙	niaojiaolong
鸟脚亚龙	niaojiaoyalong
尿蓝母尿	niaolanmuniao
尿流动力学检查	niaoliudonglixuejiancha
尿流分叉	niaoliufencha
尿流改道复原术	niaoliugaidaofuyuanshu
尿流改道术	niaoliugaidaoshu
尿流率测定	niaoliulvceding
尿流中断	niaoliuzhongduan
尿瘘	niaolou
尿路病变	niaolubingbian
尿路梗阻	niaolugengzu
尿路上皮	niaolushangpi
尿路上皮肿瘤	niaolushangpizhongliu
尿路造影	niaoluzaoying
脲酶	niaomei
鸟媒	niaomei
尿嘧啶	niaomiding
尿末滴沥	niaomodili
尿囊素	niaonangsu
尿囊素酶	niaonangsumei
鸟盘目	niaopanmu
鸟嘌呤	niaopiaoling
鸟嘌呤核苷基	niaopiaolingheganji
鸟嘌呤核苷酸结合蛋白	niaopiaolinghegansuanjiehedanbai
鸟嘌呤基	niaopiaolingji
尿蔷薇红素	niaoqiangweihongsu
尿色素	niaosesu
尿色素原	niaosesuyuan
尿生成	niaoshengcheng
尿素酶	niaosumei
尿素生成	niaosushengcheng
尿素循环	niaosuxunhuan
尿素循环障碍	niaosuxunhuanzhangai
尿酸酶	niaosuanmei
尿酸尿	niaosuanniao
尿酸生成	niaosuanshengcheng
尿酸血症	niaosuanxuezheng
尿酸盐	niaosuanyan
尿酸氧化酶	niaosuanyanghuamei
鸟头侏儒症	niaotouzhuruzheng
尿外渗	niaowaishen
尿纤溶酶原激活物	niaoxianrongmeiyuanjihuowu
尿性腹水	niaoxingfushui
尿性囊肿	niaoxingnangzhong
尿液分段检查	niaoyefenduanjiancha
鸟疫	niaoyi
尿抑胃激	niaoyiweiji
鸟胰脏多肽	niaoyizangduotai
尿脂石	niaozhishi
尿潴留	niaozhuliu
鸟嘴状脸	niaozuizhuanglian
颞部除皱术	niebuchuzhoushu
颞部入路	nieburulu
啮虫	niechong
颞骨	niegu
颞肌	nieji
颞间隙	niejianxi
颞鳞	nielin
镍皮炎	niepiyan
颞浅脂肪垫	nieqianzhifangdian
颞深	nieshen
颞深筋膜浅层	nieshenjinmoqianceng
颞深筋膜深层	nieshenjinmoshenceng
颞深脂肪垫	nieshenzhifangdian
颞下颌关节前脱位	niexiaheguanjieqiantuowei
颞下颌关节疼痛	niexiaheguanjietengtong
颞下颌关节造影术	niexiaheguanjiezaoyingshu
颞下间隙	niexiajianxi
颞下减压术	niexiajianyashu
颞下入路	niexiarulu
颞下窝入路	niexiaworulu
颞下窝综合征	niexiawozonghezheng
颞中筋膜	niezhongjinmo
凝固蛋白原	ninggudanbaiyuan
凝固酶	ninggumei
凝固汽油烧伤	ningguqiyoushaoshang
凝固性坏死	ningguxinghuaisi
柠黄质	ninghuangzhi
凝集	ningji
凝集素	ningjisu
凝集素吸收	ningjisuxishou
凝集抑制试验	ningjiyizhishiyan
凝集原	ningjiyuan
凝集作用	ningjizuoyong
凝胶层析	ningjiaocengxi
凝胶电泳	ningjiaodianyong
凝胶过滤色谱法	ningjiaoguolvsepufa
凝胶化	ningjiaohua
凝胶扩散试验	ningjiaokuosanshiyan
凝胶免疫过滤	ningjiaomianyiguolv
凝胶排阻层析	ningjiaopaizucengxi
凝胶渗透层析	ningjiaoshentoucengxi
凝胶渗透色谱法	ningjiaoshentousepufa
凝聚染色质	ningjuransezhi
柠檬苦素	ningmengkusu
柠檬素	ningmengsu
柠檬酸合酶	ningmengsuanhemei
柠檬酸钠	ningmengsuanna
柠檬酸生成酶	ningmengsuanshengchengmei
柠檬酸循环	ningmengsuanxunhuan
柠檬酸盐	ningmengsuanyan
柠檬子油	ningmengziyou
凝膜	ningmo
凝溶胶蛋白	ningrongjiaodanbai
凝乳酶	ningrumei
凝乳酶原	ningrumeiyuan
凝缩性	ningsuoxing
拧痛	ningtong
柠乌素	ningwusu
凝血	ningxue
凝血病	ningxuebing
凝血恶烷	ningxueewan
凝血功能试验	ningxuegongnengshiyan
凝血级联系统	ningxuejilianxitong
凝血激酶	ningxuejimei
凝血酶	ningxuemei
凝血酶敏感蛋白	ningxuemeimingandanbai
凝血酶原	ningxuemeiyuan
凝血酶原复合物	ningxuemeiyuanfuhewu
凝血酶原激酶组分	ningxuemeiyuanjimeizufen
凝血酶原时间	ningxuemeiyuanshijian
凝血酶原转变加速因子	ningxuemeiyuanzhuanbianjiasuyinzi
凝血栓蛋白	ningxueshuandanbai
凝血调节素	ningxuetiaojiesu
凝血维生素	ningxueweishengsu
凝血因	ningxueyin
凝血因子	ningxueyinzi
拧转止血带	ningzhuanzhixuedai
纽虫	niuchong
牛痘病毒	niudoubingdu
牛痘苗	niudoumiao
牛痘性蔷薇疹	niudouxingqiangweizhen
牛痘性湿疹	niudouxingshizhen
牛痘样水疱病	niudouyangshuipaobing
牛磺胆酸	niuhuangdansuan
牛磺胆酸盐	niuhuangdansuanyan
牛磺脲酸	niuhuangniaosuan
牛磺酰	niuhuangxian
牛角花素	niujiaohuasu
牛角形拔牙钳	niujiaoxingbayaqian
扭结发	niujiefa
钮孔状畸形	niukongzhuangjixing
钮扣缝合	niukoufenghe
扭力天秤	niulitiancheng
牛弥菜醇	niumicaichun
牛皮癣关节炎	niupixuanguanjieyan
牛肉膏	niurougao
牛心包瓣	niuxinbaoban
牛心果碱	niuxinguojian
牛型放线菌	niuxingfangxianjun
牛血清清蛋白	niuxueqingqingdanbai
牛羊等	niuyangdeng
牛胰蛋白酶抑制剂	niuyidanbaimeiyizhiji
扭转错位	niuzhuancuowei
扭转发	niuzhuanfa
扭椎龙	niuzhuilong
脓毒病	nongdubing
浓度时间常数	nongdushijianchangshu
浓度梯度	nongdutidu
脓毒性梗死	nongduxinggengsi
脓毒性伤口	nongduxingshangkou
农杆菌属	nongganjunshu
脓湖	nonghu
脓疱病	nongpaobing
脓疱性痤疮	nongpaoxingcuochuang
脓疱性痱	nongpaoxingfei
脓疱性梅毒疹	nongpaoxingmeiduzhen
脓疱性细菌疹	nongpaoxingxijunzhen
脓疱性血管炎	nongpaoxingxueguanyan
脓疱性银屑病	nongpaoxingyinxiebing
脓肾	nongshen
脓素	nongsu
脓细胞	nongxibao
脓性肾积水	nongxingshenjishui
脓性血栓	nongxingxueshuan
脓胸	nongxiong
脓血症	nongxuezheng
农药残留物	nongyaocanliuwu
农业废物	nongyefeiwu
农业生态学	nongyeshengtaixue
农用化学品	nongyonghuaxuepin
农用抗生素	nongyongkangshengsu
脓肿	nongzhong
脓肿引流术	nongzhongyinliushu
努南综合征	nunanzonghezheng
疟色素	nuesesu
疟原虫	nueyuanchong
诺勃氏酯	nuoboshizhi
诺卡菌病	nuokajunbing
诺卡氏菌酸	nuokashijunsuan
诺伍德手术	nuowudeshoushu
女假两性畸形	nvjialiangxingjixing
女性化综合症	nvxinghuazonghezheng
女性尿道囊肿	nvxingniaodaonangzhong
女性尿道下裂	nvxingniaodaoxialie
女性尿道纤维息肉	nvxingniaodaoxianweixirou
女性尿失禁	nvxingniaoshijin
衄血	nvxue
噢口弄	okounong
偶氮蛋白质	oudandanbaizhi
偶氮染色法	oudanransefa
偶发杂交	oufazajiao
偶合体	ouheti
偶极层	oujiceng
偶极分子	oujifenzi
偶极矩	oujiju
偶极天线	oujitianxian
偶极子	oujizi
偶联	oulian
偶联反应	oulianfanying
偶联因子	oulianyinzi
欧龙胆碱	oulongdanjian
欧鼠李叶碱	oushuliyejian
呕吐中枢	outuzhongshu
欧文线	ouwenxian
偶线	ouxian
偶线期	ouxianqi
鸥翼切平面	ouyiqiepingmian
帕拉德颗粒	paladekeli
杷拉乌定碱	palawudingjian
帕皮永	papiyong
帕萨万特嵴	pasawanteji
