爱之蔓	aizhiman
四季竹	sijizhu
四棱草	silengcao
丝鳍平克	siqipingke
丝鳍鼠	siqishu
丝石竹	sishizhu
四照花	sizhaohua
松虫草	songchongcao
送春花	songchunhua
松根	songgen
松蒿	songhao
松鳞	songlin
松鳞病	songlinbing
松下兰	songxialan
松叶菊	songyeju
松叶牡丹	songyemudan
溲疏	soushu
苏丹草	sudancao
苏利南鼠	sulinanshu
苏麻	suma
苏木	sumu
素心腊梅	suxinlamei
酸莓	suanmei
酸柠檬	suanningmeng
算盘子	suanpanzi
酸性砂	suanxingsha
穗花蛇菰	suihuashegu
穗状花序	suizhuanghuaxu
莎草	suocao
锁洞鱼	suodongyu
索可帕	suokepa
锁阳	suoyang
塔柏	tabai
塌菜	tacai
太白韭	taibaijiu
泰菲河	taifeihe
苔垢菜	taigoucai
泰国巨鲤	taiguojuli
太空飞鼠	taikongfeishu
太空鼠	taikongshu
太平花	taipinghua
太平莓	taipingmei
台湾草	taiwancao
台湾泡桐	taiwanpaotong
台湾榕	taiwanrong
台湾水韭	taiwanshuijiu
台湾相思	taiwanxiangsi
胎座	taizuo
探春	tanchun
糖粉蝴蝶	tangfenhudie
糖芥	tangjie
唐松草	tangsongcao
糖原酶	tangyuanmei
陶瓷珠	taocizhu
桃金娘	taojinniang
桃色忍冬	taoserendong
桃叶珊瑚	taoyeshanhu
特殊转导	teshuzhuandao
藤五加	tengwujia
嚏根草	tigencao
天冬	tiandong
天冬草	tiandongcao
天河液肥	tianheyefei
天胡荽	tianhusui
天麻	tianma
田麻	tianma
天名精	tianmingjing
天目琼花	tianmuqionghua
天南星	tiannanxing
天女木兰	tiannvmulan
天然河砂	tianranhesha
天使鼠	tianshishu
天仙果	tianxianguo
天仙子	tianxianzi
天野尚	tianyeshang
天鱼论坛	tianyuluntan
天鱼沙龙	tianyushalong
天竺桂	tianzhugui
天竺葵	tianzhukui
田字草	tianzicao
条间部	tiaojianbu
调节基因	tiaojiejiyin
条金灯	tiaojindeng
跳鲈	tiaolu
铁肥	tiefei
铁海棠	tiehaitang
铁皇冠	tiehuangguan
铁马鞭	tiemabian
铁扫帚	tiesaozhou
铁色草	tiesecao
铁色箭	tiesejian
铁苋菜	tiexiancai
铁线莲	tiexianlian
铁仔	tiezai
庭菖蒲	tingchangpu
鞓红	tinghong
葶苈	tingli
同步培养	tongbupeiyang
铜锤草	tongchuicao
同核体	tongheti
通气组织	tongqizuzhi
通脱木	tongtuomu
同形配子	tongxingpeizi
同种抗体	tongzhongkangti
同种抗原	tongzhongkangyuan
同种免疫	tongzhongmianyi
同宗配合	tongzongpeihe
头洞症	toudongzheng
透骨草	tougucao
透明斑	toumingban
透明包菜	toumingbaocai
土当归	tudanggui
土丁桂	tudinggui
兔儿伞	tuersan
土茯苓	tufuling
菟葵	tukui
土圞儿	tuluaner
土木香	tumuxiang
土牛膝	tuniuxi
土人参	turencan|turenshen
土沈香	tushenxiang
吐丝器	tusiqi
图腾老虎	tutenglaohu
凸型造景	tuxingzaojing
橐吾	tuowu
挖耳草	waercao
娃娃鼠	wawashu
瓦韦	wawei
外颚叶	waieye
外菌幕	waijunmu
外来种	wailaizhong
外髓	waisui
外咽片	waiyanpian
晚花杨	wanhuayang
碗莲	wanlian
万年春	wannianchun
万年蒿	wannianhao
万年青	wannianqing
顽皮豹	wanpibao
顽皮豹鼠	wanpibaoshu
万天石	wantianshi
网草	wangcao
望春花	wangchunhua
王瓜	wanggua
王莲	wanglian
网球花	wangqiuhua
网鼠	wangshu
网尾鱼	wangweiyu
尾点灯	weidiandeng
维管束	weiguanshu
威罕	weihan
尾花细辛	weihuaxixin
维吉塔	weijita
尾孔	weikong
威灵仙	weilingxian
卫茅	weimao
卫矛	weimao
卫矛科	weimaoke
微毛柃	weimaoling
微气管	weiqiguan
萎蕤	weirui
喂食栏	weishilan
围食膜	weishimo
围心窦	weixindou
尾叶桉	weiyean
围蛹	weiyong
魏兹曼鼠	weizimanshu
温度感觉	wenduganjue
问荆	wenjing
纹孔	wenkong
蚊母树	wenmushu
文心兰	wenxinlan
温郁金	wenyujin
蚊子草	wenzicao
渥丹	wodan
无柄卫矛	wubingweimao
五彩石竹	wucaishizhu
五彩铁	wucaitie
五彩芋	wucaiyu
乌饭果	wufanguo
无梗五加	wugengwujia
蜈蚣兰	wugonglan
五加	wujia
无茎	wujing
无茎草	wujingcao
乌韭	wujiu
无菌培养	wujunpeiyang
乌蔹莓	wulianmei
乌麦	wumai
五色梅	wusemei
五色苋	wusexian
午时花	wushihua
雾水葛	wushuige
乌头	wutou
乌头属	wutoushu
勿忘草	wuwangcao
五味泥	wuweini
五味土	wuweitu
五味子	wuweizi
乌药	wuyao
五叶地锦	wuyedijin
无印蛇鱼	wuyinsheyu
五月艾	wuyueai
五爪龙	wuzhaolong
五指柑	wuzhigan
吴茱萸	wuzhuyu
细胞溶解	xibaorongjie
西府海棠	xifuhaitang
膝节	xijie
锡兰鱂	xilanjiang
希美莉	ximeili
希美丽	ximeili
菥蓂	ximi
溪荪	xisun
洗提液	xitiye
豨莶	xixian
细辛	xixin
西洋参	xiyangshen
细叶榕	xiyerong
细叶铁	xiyetie
细叶紫薇	xiyeziwei
细轴芫花	xizhouyuanhua
细柱柳	xizhuliu
夏孢子堆	xiabaozidui
霞草	xiacao
虾脊兰	xiajilan
夏枯草	xiakucao
夏威夷草	xiaweiyicao
下颜	xiayan
狭叶朴	xiayepu
虾衣花	xiayihua
夏蛰	xiazhe
夏至草	xiazhicao
仙白草	xianbaicao
鲜黄连	xianhuanglian
仙茅	xianmao
仙人笔	xianrenbi
仙桃草	xiantaocao
限制因子	xianzhiyinzi
香柏	xiangbai
香茶菜	xiangchacai
香附子	xiangfuzi
橡胶榕	xiangjiaorong
香堇菜	xiangjincai
香蓼	xiangliao
香鳞	xianglin
降龙草	xianglongcao
象皮病	xiangpibing
香青	xiangqing
香薷	xiangru
香雪球	xiangxueqiu
象牙红	xiangyahong
小包菜	xiaobaocai
小孢子囊	xiaobaozinang
小檗	xiaobo
小柴胡	xiaochaihu
小巢菜	xiaochaocai
小丑老虎	xiaochoulaohu
小丑珍珠	xiaochouzhenzhu
小丑钻	xiaochouzuan
消肚	xiaodu
小对叶	xiaoduiye
小梗	xiaogeng
小榖精	xiaogujing
小葫芦	xiaohulu
硝化石	xiaohuashi
小花溲疏	xiaohuasoushu
小黄后	xiaohuanghou
小楷槭	xiaokaiqi
小连翘	xiaolianqiao
小露兜	xiaoludou
小毛茛	xiaomaogen
小木通	xiaomutong
小青南瓜	xiaoqingnangua
小青杨	xiaoqingyang
硝酸苯汞	xiaosuanbengong
小甜甜鼠	xiaotiantianshu
小叶杜英	xiaoyeduying
笑靥花	xiaoyehua
小叶黄杨	xiaoyehuangyang
小叶榄仁	xiaoyelanren
小叶朴	xiaoyepu
小叶鼠李	xiaoyeshuli
小鸢尾	xiaoyuanwei
小圆叶	xiaoyuanye
小箦藻	xiaozezao
缬草	xiecao
协同因子	xietongyinzi
蝎子草	xiezicao
新黑熊猫	xinheixiongmao
心皮	xinpi
鑫品水族	xinpinshuizu
新熊猫	xinxiongmao
辛夷	xinyi
兴安白芷	xinganbaizhi
兴安升麻	xinganshengma
莕菜	xingcai
星点木	xingdianmu
星星草	xingxingcao
性因子	xingyinzi
熊猫黑云	xiongmaoheiyun
熊猫雪球	xiongmaoxueqiu
休眠孢子	xiumianbaozi
绣球	xiuqiu
徐长卿	xuchangqing
续随子	xusuizi
悬浮培养	xuanfupeiyang
悬钩子	xuangouzi
旋花	xuanhua
玄参	xuanshen
旋蒴苣苔	xuanshuojutai
雪斑达摩	xuebandamo
雪滴花	xuedihua
雪花棋盘	xuehuaqipan
血见愁	xuejianchou
雪柳	xueliu
血鳍灯	xueqideng
血桐	xuetong
雪钻达摩	xuezuandamo
训饵	xuner
雅柏	yabai
亚邦那	yabangna
鸦椿卫矛	yachunweimao
鸦葱	yacong
鸦胆子	yadanzi
鸭儿芹	yaerqin
鸭脚木	yajiaomu
亚前缘脉	yaqianyuanmai
芽生	yasheng
亚属	yashu
芽殖	yazhi
亚洲红鼻	yazhouhongbi
鸭嘴花	yazuihua
岩败酱	yanbaijiang
眼斑豹鼠	yanbanbaoshu
岩风	yanfeng
烟管蓟	yanguanji
岩茴香	yanhuixiang
岩藿香	yanhuoxiang
沿阶草	yanjiecao
雁来红	yanlaihong
燕麦草	yanmaicao
岩蔷薇	yanqiangwei
岩青兰	yanqinglan
烟圈鼠	yanquanshu
艳山姜	yanshanjiang
盐生植物	yanshengzhiwu
芫荽叶	yansuiye
焰尾灯	yanweideng
燕尾兰	yanweilan
燕尾棋盘	yanweiqipan
胭脂花	yanzhihua
胭脂鼠	yanzhishu
羊耳菊	yangerju
羊耳蒜	yangersuan
羊红膻	yanghongshan
羊角槭	yangjiaoqi
羊角藤	yangjiaoteng
羊舌树	yangsheshu
洋水仙	yangshuixian
洋桃	yangtao
杨桐	yangtong
洋紫荆	yangzijing
药绿柴	yaolvchai
野艾	yeai
叶柄	yebing
野大豆	yedadou
叶底红	yedihong
叶底珠	yedizhu
野凤仙花	yefengxianhua
野风信子	yefengxinzi
野葛	yege
野菰	yegu
野海椒	yehaijiao
叶痕	yehen
野花椒	yehuajiao
野火球	yehuoqiu
液剂	yeji
野韭菜	yejiucai
野菊	yeju
野菱	yeling
夜落金钱	yeluojinqian
叶脉	yemai
野茉莉科	yemolike
野木瓜	yemugua
液泡膜	yepaomo
野漆树	yeqishu
野荞麦	yeqiaomai
野山楂	yeshanzha
叶上珠	yeshangzhu
野黍	yeshu
野塘蒿	yetanghao
野梧桐	yewutong
叶下珠	yexiazhu
叶镶嵌	yexiangqian
夜香树	yexiangshu
野罂粟	yeyingsu
野芋	yeyu
叶原基	yeyuanji
叶枕	yezhen
野芝麻	yezhima
叶轴	yezhou
异倍体	yibeiti
宜昌荚蒾	yichangjiami
遗传重组	yichuanchongzu
遗传平衡	yichuanpingheng
一点红	yidianhong
异核体	yiheti
缢痕	yihen
一间鼠	yijianshu
薏景堂	yijingtang
伊乐藻	yilezao
移码突变	yimatubian
益母草	yimucao
一品红	yipinhong
乙炔喷灯	yiquependeng
异染粒	yiranli
异染色质	yiransezhi
易位子	yiweizi
异物同名	yiwutongming
一线跳鲈	yixiantiaolu
一线银板	yixianyinban
异叶败酱	yiyebaijiang
一叶萩	yiyeqiu
异种抗体	yizhongkangti
异种抗原	yizhongkangyuan
异宗配合	yizongpeihe
银边翠	yinbiancui
银翅鼠	yinchishu
印地安鼠	yindianshu
印第安鼠	yindianshu
阴地蕨	yindijue
银粉背蕨	yinfenbeijue
银桂	yingui
银河坦克	yinhetanke
银花蝙蝠	yinhuabianfu
隐花植物	yinhuazhiwu
引进种	yinjinzhong
银蓝灯	yinlandeng
银鳞灯	yinlindeng
银槭	yinqi
银杉	yinshan
银铜鲫	yintongji
阴香	yinxiang
阴行草	yinxingcao
银星海棠	yinxinghaitang
银杏树	yinxingshu
茵芋	yinyu
银钻坦克	yinzuantanke
迎春	yingchun
迎春花	yingchunhua
应春花	yingchunhua
英哥鼠	yinggeshu
硬骨凌霄	yinggulingxiao
缨绒花	yingronghua
营养孢囊	yingyangbaonang
鹰爪枫	yingzhaofeng
蝇子草	yingzicao
鼬瓣花	youbanhua
有柄石韦	youbingshiwei
游草	youcao
游动孢子	youdongbaozi
游动精子	youdongjingzi
游动配子	youdongpeizi
诱发突变	youfatubian
诱发物	youfawu
幽芥	youjie
有茎草	youjingcao
游离基因	youlijiyin
优昙花	youtanhua
蚴蜕	youtui
有性繁殖	youxingfanzhi
鱼鳔槐	yubiaohuai
玉蝉花	yuchanhua
玉芙蓉	yufurong
鱼骨葵	yugukui
郁李	yuli
玉铃花	yulinghua
羽毛枫	yumaofeng
玉美人	yumeiren
玉米尖	yumijian
鱼木	yumu
玉盘盂	yupanyu
愈伤组织	yushangzuzhi
雨树	yushu
榆树	yushu
鱼尾葵	yuweikui
鱼腥草	yuxingcao
玉绣球	yuxiuqiu
鱼眼草	yuyancao
羽叶三七	yuyesanqi
玉竹	yuzhu
元宝草	yuanbaocao
元宝槭	yuanbaoqi
原生质体	yuanshengzhiti
原噬菌体	yuanshijunti
鸢尾属	yuanweishu
鸳鸯茉莉	yuanyangmoli
圆叶乌桕	yuanyewujiu
远志	yuanzhi
原植体	yuanzhiti
月光花	yueguanghua
月光鼠	yueguangshu
月桂	yuegui
岳桦	yuehua
月季	yueji
月季花	yuejihua
月见草	yuejiancao
越南箦藻	yuenanzezao
月月红	yueyuehong
云斑老虎	yunbanlaohu
云豹坦克	yunbaotanke
云豆	yundou
云木香	yunmuxiang
云实	yunshi
云石燕子	yunshiyanzi
芸香	yunxiang
杂二聚体	zaerjuti
载色体	zaiseti
早花忍冬	zaohuarendong
早锦带花	zaojindaihua
蚤缀	zaozhui
泽兰	zelan
泽漆	zeqi
泽泻	zexie
箦藻	zezao
增色效应	zengsexiaoying
栅网	zhawang
战狗斗鱼	zhangoudouyu
粘鸟胶	zhanniaojiao
獐耳细辛	zhangerxixin
长角果	zhangjiaoguo
杖藜	zhangli
樟梨	zhangli
獐牙菜	zhangyacai
掌叶半夏	zhangyebanxia
长叶榧树	zhangyefeishu
长叶榕	zhangyerong
爪哇莫丝	zhaowamosi
针叶皇冠	zhenyehuangguan
珍珠菜	zhenzhucai
珍珠达摩	zhenzhudamo
珍珠花	zhenzhuhua
珍珠鳉	zhenzhujiang
珍珠莲	zhenzhulian
珍珠梅	zhenzhumei
蒸发计	zhengfaji
蒸腾作用	zhengtengzuoyong
知风草	zhifengcao
枳椇	zhiju
直立百部	zhilibaibu
脂鲤科	zhilike
芝麻鼠	zhimashu
质膜	zhimo
知母	zhimu
质配	zhipei
植物激素	zhiwujisu
植物起源	zhiwuqiyuan
植物区系	zhiwuquxi
植物栽培	zhiwuzaipei
蜘蛛抱蛋	zhizhubaodan
蜘蛛兰	zhizhulan
支柱蓼	zhizhuliao
栀子花	zhizihua
肿柄菊	zhongbingju
中部受精	zhongbushoujing
中东杨	zhongdongyang
中国繁缕	zhongguofanlv
中国水仙	zhongguoshuixian
中国银鲤	zhongguoyinli
中华石楠	zhonghuashinan
中间代谢	zhongjiandaixie
中景草	zhongjingcao
中麻黄	zhongmahuang
中生植物	zhongshengzhiwu
重退火	zhongtuihuo
中心质体	zhongxinzhiti
中胸背板	zhongxiongbeiban
中胸腹板	zhongxiongfuban
中箦藻	zhongzezao
终止因子	zhongzhiyinzi
中柱鞘	zhongzhuqiao
肘脉	zhoumai
周皮	zhoupi
皱叶鼠李	zhouyeshuli
周质	zhouzhi
朱顶红	zhudinghong
朱顶兰	zhudinglan
诸葛菜	zhugecai
朱蕉	zhujiao
竹节参	zhujiecan|zhujieshen
朱槿	zhujin
珠孔受精	zhukongshoujing
朱兰	zhulan
猪笼草	zhulongcao
朱栾	zhuluan
苎麻	zhuma
朱砂根	zhushagen
猪屎豆	zhushidou
柱头	zhutou
猪牙花	zhuyahua
珠芽蓼	zhuyaliao
猪殃殃	zhuyangyang
竹叶柴胡	zhuyechaihu
竹叶椒	zhuyejiao
竹叶兰	zhuyelan
竹叶子	zhuyezi
珠子参	zhuzican|zhuzishen
砖子苗	zhuanzimiao
壮干海枣	zhuangganhaizao
锥虫蓝	zhuichonglan
追骨风	zhuigufeng
紫八宝	zibabao
紫斑达摩	zibandamo
紫斑马	zibanma
紫草	zicao
紫椴	ziduan
紫萼	zie
紫花地丁	zihuadiding
紫花络石	zihualuoshi
紫花前胡	zihuaqianhu
紫花卫矛	zihuaweimao
紫堇	zijin
紫金斑马	zijinbanma
紫金牛	zijinniu
紫绢苋	zijuanxian
紫蓝魔神	zilanmoshen
紫罗兰鼠	ziluolanshu
紫麻	zima
紫苜蓿	zimuxu
子囊果	zinangguo
子囊腔	zinangqiang
紫萍	ziping
自溶素	zirongsu
紫色幽灵	ziseyouling
紫衫凤凰	zishanfenghuang
自身催化	zishencuihua
紫檀	zitan
自体感染	zitiganran
紫薇	ziwei
子叶	ziye
紫叶竹芋	ziyezhuyu
资源冷杉	ziyuanlengshan
走茎	zoujing
阻抑物	zuyiwu
钻地风	zuandifeng
钻石鲫	zuanshiji
钻石琵琶	zuanshipipa
钻石血心	zuanshixuexin
最适比例	zuishibili
醉心花	zuixinhua
醉鱼草	zuiyucao
左花	zuohua
酢浆草	zuojiangcao
柞木	zuomu
作用光谱	zuoyongguangpu
左紫	zuozi
八宝	babao
巴豆	badou
八角茴香	bajiaohuixiang
霸王鞭	bawangbian
百合	baihe
白鹤芋	baiheyu
败酱草	baijiangcao
白菩提	baiputi
宝莲花	baolianhua
苞叶雪莲	baoyexuelian
北细辛	beixixin
笔筒草	bitongcao
扁豆	biandou
补骨脂	buguzhi
藏波罗花	cangboluohua
苍耳子	cangerzi
常青藤	changqingteng
沉香	chenxiang
楮实子	chushizi
川楝子	chuanlianzi
大花蕙兰	dahuahuilan
打火草	dahuocao
大枣	dazao
淡竹叶	danzhuye
地肤子	difuzi
地椒	dijiao
地锦草	dijincao
滴水观音	dishuiguanyin
地涌金莲	diyongjinlian
丁香	dingxiang
冬瓜皮	dongguapi
独一味	duyiwei
发财树	facaishu
繁星花	fanxinghua
翡翠景天	feicuijingtian
粉藤	fenteng
风车	fengche
观音竹	guanyinzhu
广藿香	guanghuoxiang
海角樱草	haijiaoyingcao
合果芋	heguoyu
荷花	hehua
鹤虱	heshi
诃子	hezi
红豆蔻	hongdoukou
红蕉	hongjiao
虎耳兰	huerlan
化橘红	huajuhong
槐米	huaimi
黄杯杜鹃	huangbeidujuan
黄荆子	huangjingzi
火把花	huobahua
火麻仁	huomaren
鸡矢藤	jishiteng
将军	jiangjun
降香	jiangxiang
锦灯笼	jindenglong
金红花	jinhonghua
金花茶	jinhuacha
金樱子	jinyingzi
镜面草	jingmiancao
菊水	jushui
康乃馨	kangnaixin
孔雀木	kongquemu
喇叭水仙	labashuixian
辣木	lamu
兰花	lanhua
老虎须	laohuxu
莲花草	lianhuacao
连钱草	lianqiancao
量天尺	liangtianchi
龙骨	longgu
龙吐珠	longtuzhu
鹿角蕨	lujiaojue
路路通	lulutong
陆英	luying
罗汉果	luohanguo
麻黄	mahuang
麻叶绣球	mayexiuqiu
蔓荆子	manjingzi
毛麝香	maoshexiang
梅花	meihua
梅子	meizi
密蒙花	mimenghua
墨旱莲	mohanlian
南美水仙	nanmeishuixian
牛蒡子	niubangzi
女贞子	nvzhenzi
螃蟹甲	pangxiejia
泡桐花	paotonghua
喷火龙	penhuolong
蒲公英	pugongying
蒲黄	puhuang
菩提花	putihua
菩提树	putishu
气球花	qiqiuhua
七叶莲	qiyelian
千里光	qianliguang
蔷薇	qiangwei
青蒿	qinghao
青麻	qingma
青珊瑚	qingshanhu
雀舌黄杨	queshehuangyang
乳茄	ruqie
瑞云	ruiyun
三花杜鹃	sanhuadujuan
山芙蓉	shanfurong
山银花	shanyinhua
蛇床子	shechuangzi
柿蒂	shidi
柿子	shizi
鼠曲草	shuqucao
水鬼蕉	shuiguijiao
水红花子	shuihonghuazi
水塔花	shuitahua
水仙	shuixian
松花粉	songhuafen
松霞	songxia
檀香	tanxiang
桃儿七	taoerqi
桃花	taohua
桃子	taozi
铁线草	tiexiancao
乌臼	wujiu
西番莲	xifanlian
喜树果	xishuguo
仙丹花	xiandanhua
仙鹤草	xianhecao
小仓兰	xiaocanglan
小茴香	xiaohuixiang
小蓟	xiaoji
小丽花	xiaolihua
蟹爪	xiezhua
雪莲花	xuelianhua
熏衣草	xunyicao
燕子掌	yanzizhang
阳春砂	yangchunsha
洋金花	yangjinhua
杨梅	yangmei
咬人猫	yaorenmao
野颠茄	yedianqie
夜合花	yehehua
野菊花	yejuhua
野马追	yemazhui
野牡丹	yemudan
益智	yizhi
茵陈	yinchen
银芽柳	yinyaliu
淫羊藿	yinyanghuo
樱花	yinghua
预知子	yuzhizi
芫花	yuanhua
樟木	zhangmu
肿节风	zhongjiefeng
紫背草	zibeicao
紫参	zican
紫荆花	zijinghua
爱丽丝	ailisi
白百合	baibaihe
白玫瑰	baimeigui
丁香花	dingxianghua
芙蓉花	furonghua
桂枝	guizhi
含笑花	hanxiaohua
荷兰芹	helanqin
红玫瑰	hongmeigui
红棉花	hongmianhua
红山茶	hongshancha
红掌	hongzhang
花簪	huazan
黄玫瑰	huangmeigui
火鹤花	huohehua
金雀花	jinquehua
金钟	jinzhong
款冬	kuandong
葵百合	kuibaihe
令箭	lingjian
六月雪	liuyuexue
满天星	mantianxing
芒草	mangcao
迷迭香	midiexiang
米兰	milan
木兰花	mulanhua
三角梅	sanjiaomei
芍药花	shaoyaohua
蓍草	shicao
石斛兰	shihulan
石莲花	shilianhua
石楠花	shinanhua
四叶苜蓿	siyemuxu
松树	songshu
天堂鸟	tiantangniao
香水百合	xiangshuibaihe
星辰花	xingchenhua
薰衣草	xunyicao
罂粟花	yingsuhua
油菜花	youcaihua
羽扁豆	yubiandou
爱丽丝	ailisi
白百合	baibaihe
白丁香	baidingxiang
百合	baihe
败酱	baijiang
白兰花	bailanhua
白玫瑰	baimeigui
百日草	bairicao
白玉兰	baiyulan
薄荷	bohe
长春花	changchunhua
雏菊	chuju
春兰	chunlan
刺槐	cihuai
翠菊	cuiju
大丽花	dalihua
灯笼花	denglonghua
吊兰	diaolan
吊钟花	diaozhonghua
丁香花	dingxianghua
杜鹃	dujuan
番红花	fanhonghua
飞燕草	feiyancao
凤梨	fengli
风铃草	fenglingcao
凤仙花	fengxianhua
风信子	fengxinzi
福禄考	fulukao
芙蓉花	furonghua
扶桑	fusang
瓜叶菊	guayeju
广玉兰	guangyulan
桂花	guihua
桂枝	guizhi
海芋	haiyu
含笑花	hanxiaohua
含羞草	hanxiucao
荷花	hehua
合欢	hehuan
荷兰芹	helanqin
鹤望兰	hewanglan
红玫瑰	hongmeigui
红棉花	hongmianhua
红山茶	hongshancha
红掌	hongzhang
蝴蝶花	hudiehua
蝴蝶兰	hudielan
胡枝子	huzhizi
花簪	huazan
黄玫瑰	huangmeigui
茴香	huixiang
火鹤花	huohehua
鸡冠花	jiguanhua
夹竹桃	jiazhutao
剑兰	jianlan
桔梗	jiegeng
锦带花	jindaihua
金雀花	jinquehua
金盏菊	jinzhanju
金钟	jinzhong
君子兰	junzilan
康乃馨	kangnaixin
款冬	kuandong
葵百合	kuibaihe
腊梅	lamei
兰花	lanhua
连翘	lianqiao
令箭	lingjian
凌霄花	lingxiaohua
六月雪	liuyuexue
龙船花	longchuanhua
马蹄莲	matilian
满天星	mantianxing
芒草	mangcao
玫瑰	meigui
梅花	meihua
美人蕉	meirenjiao
迷迭香	midiexiang
米兰	milan
茉莉	moli
木笔	mubi
牡丹	mudan
木芙蓉	mufurong
木兰花	mulanhua
木棉	mumian
苜蓿	muxu
婆婆纳	popona
蒲包花	pubaohua
蒲公英	pugongying
牵牛花	qianniuhua
蔷薇	qiangwei
琼花	qionghua
忍冬	rendong
三角梅	sanjiaomei
三色堇	sansejin
山茶花	shanchahua
山楂	shanzha
芍药花	shaoyaohua
蓍草	shicao
石斛兰	shihulan
石莲花	shilianhua
石榴	shiliu
石楠花	shinanhua
石蒜	shisuan
石竹	shizhu
睡莲	shuilian
水仙	shuixian
四叶苜蓿	siyemuxu
松树	songshu
酸模	suanmo
昙花	tanhua
桃花	taohua
天堂鸟	tiantangniao
万年青	wannianqing
万寿菊	wanshouju
晚香玉	wanxiangyu
文竹	wenzhu
仙客来	xiankelai
向日葵	xiangrikui
香水百合	xiangshuibaihe
小苍兰	xiaocanglan
星辰花	xingchenhua
萱草	xuancao
悬铃木	xuanlingmu
薰衣草	xunyicao
野蔷薇	yeqiangwei
一串红	yichuanhong
一品红	yipinhong
银芽柳	yinyaliu
迎春	yingchun
迎春花	yingchunhua
樱花	yinghua
罂粟花	yingsuhua
油菜花	youcaihua
羽扁豆	yubiandou
郁金香	yujinxiang
玉兰	yulan
虞美人	yumeiren
鸢尾	yuanwei
月季	yueji
月见草	yuejiancao
珍珠花	zhenzhuhua
栀子花	zhizihua
紫丁香	zidingxiang
紫荆	zijing
紫罗兰	ziluolan
紫藤	ziteng
紫薇	ziwei
酢浆草	zuojiangcao
阿修罗	axiuluo
爱之蔓	aizhiman
八宝景天	babaojingtian
八千代	baqiandai
白凤	baifeng
百合科	baiheke
百惠	baihui
白菊	baiju
柏科	baike
白鹭	bailu
白牡丹	baimudan
白首乌	baishouwu
白檀	baitan
白雪姬	baixueji
豹皮花	baopihua
奔龙	benlong
碧桃	bitao
碧玉莲	biyulian
变色龙	bianselong
冰莓	bingmei
伯利恒之星	bolihengzhixing
般若	bore
灿烂	canlan
长寿花	changshouhua
初恋	chulian
垂盆草	chuipencao
唇形科	chunxingke
春莺啭	chunyingzhuan
大和锦	dahejin
大戟科	dajike
达利	dali
大卫	dawei
大叶落地生根	dayeluodishenggen
蒂亚	diya
杜鹃花科	dujuanhuake
多肉植物	duorouzhiwu
阿房宫	epanggong
番杏	fanxing
粉蚧	fenjie
佛甲草	fojiacao
佛珠	fozhu
观音莲	guanyinlian
光棍树	guanggunshu
龟甲龙	guijialong
黑法师	heifashi
黑王子	heiwangzi
红雀珊瑚	hongqueshanhu
红爪	hongzhao
红稚莲	hongzhilian
虎耳草科	huercaoke
虎眼万年青	huyanwannianqing
黄丽	huangli
火祭	huoji
火星人	huoxingren
蒺藜科	jilike
吉娃莲	jiwalian
吉娃娃	jiwawa
剑麻	jianma
金边虎尾兰	jinbianhuweilan
金边龙舌兰	jinbianlongshelan
金琥	jinhu
锦晃星	jinhuangxing
金钱木	jinqianmu
金狮子	jinshizi
金手指	jinshouzhi
金枝玉叶	jinzhiyuye
巨人柱	jurenzhu
菊丸	juwan
库拉索芦荟	kulasuoluhui
蓝豆	landou
劳尔	laoer
雷神	leishen
莲花掌	lianhuazhang
楝科	lianke
猎户座	liehuzuo
龙角牡丹	longjiaomudan
龙鳞	longlin
胧月	longyue
芦荟	luhui
鹿角	lujiao
鹿角海棠	lujiaohaitang
鲁氏	lushi
罗密欧	luomiou
萝藦	luomo
绿爪	lvzhao
马鞭草科	mabiancaoke
马齿苋	machixian
马兜铃科	madoulingke
玛丽安	malian
米兰达	milanda
明镜	mingjing
牡丹	mudan
木麒麟	muqilin
女雏	nvchu
皮氏	pishi
葡萄科	putaoke
漆树科	qishuke
钱串	qianchuan
蔷薇科	qiangweike
情人泪	qingrenlei
青铜龙	qingtonglong
秋丽	qiuli
伞形科	sanxingke
沙漠玫瑰	shamomeigui
山地玫瑰	shandimeigui
神童	shentong
生石花	shengshihua
石莲	shilian
十字星	shizixing
十字星锦	shizixingjin
双子座	shuangzizuo
松绿	songlv
粟米草	sumicao
塔松	tasong
昙花	tanhua
檀香科	tanxiangke
唐印	tangyin
桃美人	taomeiren
天龙	tianlong
瓦松	wasong
万重山	wanchongshan
万象	wanxiang
卧牛	woniu
无患子科	wuhuanzike
五加科	wujiake
梧桐科	wutongke
仙人球	xianrenqiu
仙人掌	xianrenzhang
弦月	xianyue
小天狗	xiaotiangou
小头	xiaotou
小玉	xiaoyu
星球	xingqiu
熊童子	xiongtongzi
修女	xiunv
秀女	xiunv
虚空藏	xukongcang
玄参科	xuanshenke
雪光	xueguang
雪莲	xuelian
蚜虫	yachong
雅乐之舞	yayuezhiwu
鸭跖草	yazhicao
银冠	yinguan
银虎	yinhu
银剑	yinjian
银霜	yinshuang
银星	yinxing
玉蝶	yudie
玉露	yulu
玉树	yushu
玉坠	yuzhui
月兔耳	yuetuer
月影	yueying
朱莲	zhulian
子宝	zibao
紫葳科	ziweike
紫玄月	zixuanyue
紫珍珠	zizhenzhu
醉龙	zuilong
阿必多	abiduo
阿波圭鼠	aboguishu
阿发毕斯鼠	afabisishu
阿圭尼斯鼠	aguinisishu
