阿贝聚光镜	abeijuguangjing
焦榈酚	jiaolvfen
焦榈酸	jiaolvsuan
角墁刀	jiaomandao
浇冒口	jiaomaokou
角煤	jiaomei
焦煤	jiaomei
胶棉复型法	jiaomianfuxingfa
角模	jiaomo
焦末	jiaomo
胶木	jiaomu
胶木衬垫	jiaomuchendian
胶木架	jiaomujia
胶木台	jiaomutai
胶囊结构	jiaonangjiegou
胶泥汞合金	jiaonigonghejin
胶凝	jiaoning
胶凝剂	jiaoningji
胶凝物质	jiaoningwuzhi
胶凝作用	jiaoningzuoyong
绞盘	jiaopan
焦批	jiaopi
胶皮带	jiaopidai
焦批重	jiaopizhong
胶片曝光	jiaopianbaoguang
胶片曝光量	jiaopianbaoguangliang
胶片测量	jiaopianceliang
胶片测量尺	jiaopianceliangchi
角偏差	jiaopiancha
胶片冲洗	jiaopianchongxi
胶片处理溶液	jiaopianchulirongye
胶片反差性	jiaopianfanchaxing
胶片感光	jiaopianganguang
胶片感速	jiaopiangansu
胶片基底	jiaopianjidi
胶片加工溶液	jiaopianjiagongrongye
胶片录音机	jiaopianluyinji
胶片收缩	jiaopianshousuo
角偏向	jiaopianxiang
胶片照相记录	jiaopianzhaoxiangjilu
角偏转	jiaopianzhuan
胶片走光	jiaopianzouguang
矫平	jiaoping
矫平锤	jiaopingchui
矫平压力	jiaopingyali
矫齐	jiaoqi
角钎焊	jiaoqianhan
角切割	jiaoqiege
胶圈托辊	jiaoquantuogun
胶溶剂	jiaorongji
胶乳	jiaoru
浇入	jiaoru
胶乳结合剂	jiaorujieheji
较软钢	jiaoruangang
绞纱络筒机	jiaoshaluotongji
绞纱洗涤机	jiaoshaxidiji
浇少量沥青	jiaoshaoliangliqing
绞升料车	jiaoshengliaoche
角视野	jiaoshiye
铰式支座	jiaoshizhizuo
脚手架车	jiaoshoujiache
脚手架平台	jiaoshoujiapingtai
脚手架用钢管	jiaoshoujiayonggangguan
铰栓	jiaoshuan
胶水刷	jiaoshuishua
脚踏锤	jiaotachui
脚踏灯	jiaotadeng
脚踏垫板	jiaotadianban
脚踏干油泵	jiaotaganyoubeng
脚踏焊接机	jiaotahanjieji
脚踏剪	jiaotajian
脚踏截锯机	jiaotajiejuji
脚踏控制开关	jiaotakongzhikaiguan
脚踏压力机	jiaotayaliji
脚踏闸	jiaotazha
脚踏制动器	jiaotazhidongqi
脚踏轴	jiaotazhou
胶态	jiaotai
焦台	jiaotai
胶态沉淀	jiaotaichendian
焦台衬砖	jiaotaichenzhuan
焦台放焦闸	jiaotaifangjiaozha
胶态粉末	jiaotaifenmo
胶态甘汞	jiaotaigangong
胶态硅石	jiaotaiguishi
胶态金属	jiaotaijinshu
胶态磨	jiaotaimo
焦台排水	jiaotaipaishui
胶态溶液	jiaotairongye
胶态物系	jiaotaiwuxi
胶态氧化硅	jiaotaiyanghuagui
胶态氧化铝	jiaotaiyanghualv
胶态质点	jiaotaizhidian
焦炭菜花头	jiaotancaihuatou
焦炭产率	jiaotanchanlv
焦炭称量漏斗	jiaotanchengliangloudou
焦炭处理	jiaotanchuli
焦炭反应能力	jiaotanfanyingnengli
焦炭反应性	jiaotanfanyingxing
焦炭粉	jiaotanfen
焦炭分析	jiaotanfenxi
焦炭负荷	jiaotanfuhe
焦炭坩埚炉	jiaotanganguolu
焦炭工业分析	jiaotangongyefenxi
焦炭供应槽	jiaotangongyingcao
焦炭还原	jiaotanhuanyuan
焦炭灰分	jiaotanhuifen
焦炭孔隙率	jiaotankongxilv
焦炭料筐	jiaotanliaokuang
焦炭料批	jiaotanliaopi
焦炭落下指数	jiaotanluoxiazhishu
焦炭末	jiaotanmo
焦炭破碎	jiaotanposui
焦炭破碎辊	jiaotanposuigun
焦炭气化	jiaotanqihua
焦炭强度指数	jiaotanqiangduzhishu
焦炭燃料	jiaotanranliao
焦炭燃烧速度	jiaotanranshaosudu
焦炭燃烧性	jiaotanranshaoxing
焦炭热强度	jiaotanreqiangdu
焦炭熔渣	jiaotanrongzha
焦炭筛	jiaotanshai
焦炭筛出物	jiaotanshaichuwu
焦炭筛分机	jiaotanshaifenji
焦炭生铁	jiaotanshengtie
焦炭试验转鼓	jiaotanshiyanzhuangu
焦炭碎块	jiaotansuikuai
焦炭填充塔	jiaotantianchongta
焦炭脱硫	jiaotantuoliu
焦炭稳定性	jiaotanwendingxing
焦炭稳定因数	jiaotanwendingyinshu
焦炭洗涤器	jiaotanxidiqi
焦炭熄火	jiaotanxihuo
焦炭细磨	jiaotanximo
焦炭显微强度	jiaotanxianweiqiangdu
焦炭消耗	jiaotanxiaohao
焦炭消火机	jiaotanxiaohuoji
焦炭研磨	jiaotanyanmo
焦炭预热器	jiaotanyureqi
焦炭元素分析	jiaotanyuansufenxi
焦炭运输机	jiaotanyunshuji
焦炭运输皮带	jiaotanyunshupidai
焦炭渣垫层	jiaotanzhadianceng
焦炭置换比	jiaotanzhihuanbi
焦炭质炉瘤	jiaotanzhiluliu
焦炭柱	jiaotanzhu
焦炭贮仓	jiaotanzhucang
焦炭贮存场	jiaotanzhucunchang
焦炭抓斗	jiaotanzhuadou
焦炭转鼓指数	jiaotanzhuanguzhishu
焦炭装料系统	jiaotanzhuangliaoxitong
交替存储器	jiaoticunchuqi
胶体复型	jiaotifuxing
胶体复制品	jiaotifuzhipin
交替钢筋	jiaotigangjin
交替荷载	jiaotihezai
交替换位	jiaotihuanwei
交替还原法	jiaotihuanyuanfa
胶体混凝土	jiaotihunningtu
交替浸渍试验	jiaotijinzishiyan
交替精炼法	jiaotijinglianfa
胶体粘土	jiaotiniantu
交替排列	jiaotipailie
胶体燃料	jiaotiranliao
胶体石墨	jiaotishimo
胶体石墨罐	jiaotishimoguan
交替使用	jiaotishiyong
胶体碳	jiaotitan
胶体添加剂	jiaotitianjiaji
胶体脱水	jiaotituoshui
胶体物质	jiaotiwuzhi
胶体性质	jiaotixingzhi
交替养护	jiaotiyanghu
角铁撑	jiaotiecheng
角铁撑条	jiaotiechengtiao
搅铁工	jiaotiegong
角铁接合	jiaotiejiehe
角铁拼接	jiaotiepinjie
角铁切割机	jiaotieqiegeji
角铁托	jiaotietuo
角铁样板	jiaotieyangban
角铁鱼尾板	jiaotieyuweiban
角铁支柱	jiaotiezhizhu
角铁钻模	jiaotiezuanmu
浇桶	jiaotong
浇桶倒罐工段	jiaotongdaoguangongduan
浇桶浇铸法	jiaotongjiaozhufa
角铜矿	jiaotongkuang
浇涂	jiaotu
矫顽磁力计	jiaowanciliji
矫顽磁性	jiaowancixing
矫顽力计	jiaowanliji
角铣	jiaoxi
角铣刀	jiaoxidao
较细粒度	jiaoxilidu
交线	jiaoxian
绞线股数	jiaoxiangushu
角线规	jiaoxiangui
绞线捻距	jiaoxiannianju
焦屑	jiaoxie
焦屑回收料斗	jiaoxiehuishouliaodou
角斜接	jiaoxiejie
矫形锤	jiaoxingchui
矫形锻压	jiaoxingduanya
角形接头	jiaoxingjietou
角型联结	jiaoxinglianjie
焦性煤	jiaoxingmei
角形剖面	jiaoxingpoumian
角形托座	jiaoxingtuozuo
角形弯管	jiaoxingwanguan
角型鱼尾板	jiaoxingyuweiban
角旋塞	jiaoxuansai
角轧	jiaozha|jiaoya
焦亚磷酸	jiaoyalinsuan
焦亚磷酸盐	jiaoyalinsuanyan
胶压纸板	jiaoyazhiban
校验环	jiaoyanhuan
校验寄存器	jiaoyanjicunqi
校验记录	jiaoyanjilu
校验问题	jiaoyanwenti
校验验证	jiaoyanyanzheng
校验指示器	jiaoyanzhishiqi
校验装置	jiaoyanzhuangzhi
校验总线	jiaoyanzongxian
交咬作用	jiaoyaozuoyong
较易切削黄铜	jiaoyiqiexiaohuangtong
角阴极	jiaoyinji
角银矿	jiaoyinkuang
角因数	jiaoyinshu
焦油	jiaoyou
焦油白云打结	jiaoyoubaiyundajie
焦油白云石	jiaoyoubaiyunshi
焦油白云石料	jiaoyoubaiyunshiliao
焦油白云石砖	jiaoyoubaiyunshizhuan
焦油残渣	jiaoyoucanzha
焦油沉积	jiaoyouchenji
焦油分离器	jiaoyoufenliqi
焦油混凝土	jiaoyouhunningtu
焦油碱类	jiaoyoujianlei
焦油结合层	jiaoyoujieheceng
焦油结合砖	jiaoyoujiehezhuan
焦油镁砂	jiaoyoumeisha
焦油镁砖	jiaoyoumeizhuan
焦油耐火泥料	jiaoyounaihuoniliao
焦油粘结剂	jiaoyounianjieji
焦油粘结球团	jiaoyounianjieqiutuan
焦油喷射机	jiaoyoupensheji
焦油酸	jiaoyousuan
焦油涂抹装置	jiaoyoutumozhuangzhi
焦油脱除器	jiaoyoutuochuqi
焦油雾	jiaoyouwu
焦油吸收率	jiaoyouxishoulv
焦油状物料	jiaoyouzhuangwuliao
胶粘糊	jiaozhanhu
胶粘计	jiaozhanji
胶粘剂	jiaozhanji
胶粘接缝	jiaozhanjiefeng
胶粘水泥	jiaozhanshuini
胶粘性	jiaozhanxing
铰折板	jiaozheban
校正	jiaozheng
矫正操作工	jiaozhengcaozuogong
校正测定	jiaozhengceding
校正测量	jiaozhengceliang
校正传热	jiaozhengchuanre
矫正锤	jiaozhengchui
较正电路	jiaozhengdianlu
校正电路	jiaozhengdianlu
校正规	jiaozhenggui
矫整轨距器	jiaozhengguijuqi
矫正机	jiaozhengji
校正计算	jiaozhengjisuan
校正架	jiaozhengjia
校正键	jiaozhengjian
矫正破鳞机	jiaozhengpolinji
校正式	jiaozhengshi
矫正速度	jiaozhengsudu
校正系数	jiaozhengxishu
矫正信号	jiaozhengxinhao
矫正压力机	jiaozhengyaliji
校正仪表	jiaozhengyibiao
校正元件	jiaozhengyuanjian
校正值	jiaozhengzhi
校正装置	jiaozhengzhuangzhi
胶质	jiaozhi
焦值	jiaozhi
矫直	jiaozhi
胶纸板	jiaozhiban
矫直车间	jiaozhichejian
胶质衬里	jiaozhichenli
胶纸带	jiaozhidai
交织点阵	jiaozhidianzhen
角质粉料	jiaozhifenliao
矫直辊	jiaozhigun
矫直辊装置	jiaozhigunzhuangzhi
矫直机	jiaozhiji
矫直机构	jiaozhijigou
矫直机夹送辊	jiaozhijijiasonggun
铰支门形架	jiaozhimenxingjia
矫直切割机	jiaozhiqiegeji
角质岩泥	jiaozhiyanni
胶质炸药	jiaozhizhayao
交织组织	jiaozhizuzhi
矫直作用	jiaozhizuoyong
交轴电路	jiaozhoudianlu
浇铸	jiaozhu
浇注	jiaozhu
浇注巴比合金	jiaozhubabihejin
浇铸板	jiaozhuban
浇注板	jiaozhuban
浇注班	jiaozhuban
浇铸半径	jiaozhubanjing
浇注半径	jiaozhubanjing
浇注包	jiaozhubao
浇注槽	jiaozhucao
浇注场地	jiaozhuchangdi
浇注车	jiaozhuche
浇注车间	jiaozhuchejian
浇注成锭	jiaozhuchengding
浇注成品率	jiaozhuchengpinlv
浇注底板	jiaozhudiban
浇注点	jiaozhudian
浇注放	jiaozhufang
浇注粉剂	jiaozhufenji
浇注粉平台	jiaozhufenpingtai
浇注钢水分析	jiaozhugangshuifenxi
浇注高度	jiaozhugaodu
浇铸工	jiaozhugong
浇注工	jiaozhugong
浇注工段	jiaozhugongduan
浇注工艺	jiaozhugongyi
浇注管	jiaozhuguan
浇铸管口	jiaozhuguankou
浇注焊	jiaozhuhan
浇注混凝土	jiaozhuhunningtu
浇注浆	jiaozhujiang
铰柱脚	jiaozhujiao
浇注坑	jiaozhukeng
浇注孔	jiaozhukong
浇铸口	jiaozhukou
浇注口	jiaozhukou
浇注跨	jiaozhukua
浇注跨地面	jiaozhukuadimian
浇注跨间	jiaozhukuajian
浇注块	jiaozhukuai
浇注裂缝	jiaozhuliefeng
浇铸漏斗	jiaozhuloudou
浇注漏斗	jiaozhuloudou
浇注密度	jiaozhumidu
浇注披缝	jiaozhupifeng
浇注平台	jiaozhupingtai
浇注缺陷	jiaozhuquexian
浇铸塞座孔	jiaozhusaizuokong
浇注勺	jiaozhushao
浇注试验	jiaozhushiyan
浇铸收缩	jiaozhushousuo
浇注速度	jiaozhusudu
浇注速率	jiaozhusulv
焦主缩小管	jiaozhusuoxiaoguan
浇注台	jiaozhutai
浇注套箱	jiaozhutaoxiang
浇铸桶	jiaozhutong
浇注桶	jiaozhutong
浇注位置	jiaozhuweizhi
浇注温度	jiaozhuwendu
浇铸涡流	jiaozhuwoliu
浇注系统	jiaozhuxitong
浇注线	jiaozhuxian
浇铸小车	jiaozhuxiaoche
浇注眼	jiaozhuyan
浇铸样	jiaozhuyang
浇注用盛钢桶	jiaozhuyongshenggangtong
浇铸轧辊	jiaozhuzhagun
浇注栈桥	jiaozhuzhanqiao
浇注折叠	jiaozhuzhedie
浇注重皮	jiaozhuzhongpi
浇注轴承合金	jiaozhuzhouchenghejin
浇铸周期	jiaozhuzhouqi
浇注组	jiaozhuzu
浇注嘴	jiaozhuzui
浇注作业	jiaozhuzuoye
角砖	jiaozhuan
角状粉粒	jiaozhuangfenli
角状粉末	jiaozhuangfenmo
胶状高岭土	jiaozhuanggaolingtu
胶状硫	jiaozhuangliu
胶状氢氧化物	jiaozhuangqingyanghuawu
胶状溶液	jiaozhuangrongye
角状细粉	jiaozhuangxifen
校准	jiaozhun
校准臂	jiaozhunbi
校准表	jiaozhunbiao
校准标记	jiaozhunbiaoji
校准材料	jiaozhuncailiao
校准点	jiaozhundian
校准电容器	jiaozhundianrongqi
校准方程式	jiaozhunfangchengshi
校准规	jiaozhungui
校准环	jiaozhunhuan
校准块	jiaozhunkuai
校准链	jiaozhunlian
校准脉冲	jiaozhunmaichong
校准试验	jiaozhunshiyan
校准温度	jiaozhunwendu
校准物质	jiaozhunwuzhi
校准吸收剂	jiaozhunxishouji
校准仪	jiaozhunyi
校准用基准	jiaozhunyongjizhun
校准装置	jiaozhunzhuangzhi
脚子架板	jiaozijiaban
脚最下部	jiaozuixiabu
角坐标	jiaozuobiao
角坐标数据	jiaozuobiaoshuju
结疤	jieba
接板	jieban
界壁位移	jiebiweiyi
阶菜齿砌接	jiecaichiqijie
结材轧机	jiecaizhaji
结材轧机组	jiecaizhajizu
阶差淬火	jiechacuihuo
接长	jiechang
借齿条来移动	jiechitiaolaiyidong
接触板	jiechuban
接触斑点	jiechubandian
接触保护	jiechubaohu
接触曝气法	jiechubaoqifa
接触表面	jiechubiaomian
接触材料	jiechucailiao
接触长度	jiechuchangdu
接触沉淀法	jiechuchendianfa
接触重叠	jiechuchongdie
接触催化	jiechucuihua
接触催化剂	jiechucuihuaji
接触垫	jiechudian
接触电动势	jiechudiandongshi
接触点焊	jiechudianhan
接触点焊机	jiechudianhanji
接触电弧焊	jiechudianhuhan
接触电极	jiechudianji
接触电流	jiechudianliu
接触电势	jiechudianshi
接触电位	jiechudianwei
接触电位差	jiechudianweicha
接触电压降	jiechudianyajiang
接触电渣焊	jiechudianzhahan
接触镀锡	jiechuduxi
接触断路器	jiechuduanluqi
接触端头	jiechuduantou
接触对焊机	jiechuduihanji
接触法电镀	jiechufadiandu
接触法镀覆	jiechufadufu
接触法硫酸	jiechufaliusuan
接触法起弧	jiechufaqihu
接触法引弧	jiechufayinhu
接触腐蚀	jiechufushi
接触杆	jiechugan
接触缸	jiechugang
接触轨	jiechugui
接触辊	jiechugun
接触过程	jiechuguocheng
接触过滤	jiechuguolv
接触焊	jiechuhan
接触焊机	jiechuhanji
接触焊接法	jiechuhanjiefa
接触焊突出部	jiechuhantuchubu
接触弧	jiechuhu
接触还原法	jiechuhuanyuanfa
接触混合	jiechuhunhe
接触夹板	jiechujiaban
接触夹具钳口	jiechujiajuqiankou
接触夹片	jiechujiapian
接触加热器	jiechujiareqi
接触键	jiechujian
接触检波器	jiechujianboqi
接触检验	jiechujianyan
接触角	jiechujiao
接触界面	jiechujiemian
接触开关	jiechukaiguan
接触扩散	jiechukuosan
接触冷凝	jiechulengning
接触冷凝器	jiechulengningqi
接触冷却水	jiechulengqueshui
接触炉	jiechulu
接触面积	jiechumianji
接触面积压力	jiechumianjiyali
接触摩擦	jiechumoca
接触粘合	jiechunianhe
接触器地下室	jiechuqidixiashi
接触器用扳手	jiechuqiyongbanshou
接触强度	jiechuqiangdu
接触曲线	jiechuquxian
接触热传导	jiechurechuandao
接触熔炼	jiechuronglian
接触扫描	jiechusaomiao
接触渗透	jiechushentou
接触式操作	jiechushicaozuo
接触式测厚仪	jiechushicehouyi
接触式测角仪	jiechushicejiaoyi
接触式断路器	jiechushiduanluqi
接触式发生器	jiechushifashengqi
接触式干燥机	jiechushiganzaoji
接触式焊条	jiechushihantiao
接触时间	jiechushijian
接触式检测仪	jiechushijianceyi
接触式量规	jiechushilianggui
接触式起弧	jiechushiqihu
接触式热换器	jiechushirehuanqi
接触式压力表	jiechushiyalibiao
接触式整流器	jiechushizhengliuqi
接触松动	jiechusongdong
接触头	jiechutou
接触温度计	jiechuwenduji
接触性能	jiechuxingneng
接触压板	jiechuyaban
接触压焊	jiechuyahan
接触印相法	jiechuyinxiangfa
接触元件	jiechuyuanjian
接触指示杆	jiechuzhishigan
接触中毒	jiechuzhongdu
接触阻化剂	jiechuzuhuaji
接触阻抗法	jiechuzukangfa
接地	jiedi
接地保护操作	jiedibaohucaozuo
接地测量仪	jiediceliangyi
接地导体	jiedidaoti
接地导线	jiedidaoxian
接地灯	jiedideng
接地电缆	jiedidianlan
接地电阻	jiedidianzu
接地电阻器	jiedidianzuqi
接地端	jiediduan
接地故障保护	jiediguzhangbaohu
接地辊	jiedigun
接地回路	jiedihuilu
接地极	jiediji
接地继电器	jiedijidianqi
接地检测器	jiedijianceqi
接地检查器	jiedijianchaqi
接地缆线	jiedilanxian
接地连接	jiedilianjie
接地漏泄线圈	jiedilouxiexianquan
接地线夹	jiedixianjia
接地阳极	jiediyangji
接点板	jiedianban
结点板	jiedianban
介电常数	jiedianchangshu
接点动作杆	jiediandongzuogan
介电分离	jiedianfenli
结点间原子	jiedianjianyuanzi
节点数目	jiedianshumu
介电体	jiedianti
介电涂层	jiediantuceng
接点温度计	jiedianwenduji
介电吸收常数	jiedianxishouchangshu
介电系数	jiedianxishu
介电性能	jiedianxingneng
介电性质	jiedianxingzhi
接电源	jiedianyuan
介电质	jiedianzhi
接点质量	jiedianzhiliang
接顶充填	jiedingchongtian
解冻周期	jiedongzhouqi
阶段曝气法	jieduanbaoqifa
阶段分析	jieduanfenxi
截断符号	jieduanfuhao
阶段磨矿	jieduanmokuang
阶段破碎	jieduanposui
阶段蠕变	jieduanrubian
阶段式加载	jieduanshijiazai
阶段通风系统	jieduantongfengxitong
阶段退火	jieduantuihuo
阶段运输巷道	jieduanyunshuhangdao
截断桩	jieduanzhuang
接缝发纹	jiefengfawen
接缝焊用电极	jiefenghanyongdianji
接缝棱边	jiefenglengbian
接负电	jiefudian
杰弗里斯乘数	jiefulisichengshu
揭盖机	jiegaiji
接钢侧	jiegangce
结构崩裂	jiegoubenglie
结构变化	jiegoubianhua
结构边界线	jiegoubianjiexian
结构部分	jiegoubufen
结构不规则性	jiegoubuguizexing
结构不均性	jiegoubujunxing
结构不均匀性	jiegoubujunyunxing
结构不敏感性	jiegoubuminganxing
结构不稳定性	jiegoubuwendingxing
结构材料	jiegoucailiao
结构测定	jiegouceding
结构成分	jiegouchengfen
结构重新排列	jiegouchongxinpailie
结构定位	jiegoudingwei
结构断裂	jiegouduanlie
结构对称	jiegouduichen
结构腐蚀	jiegoufushi
结构复原	jiegoufuyuan
结构改进	jiegougaijin
结构钢	jiegougang
结构钢薄板	jiegougangbaoban
结构钢管	jiegougangguan
结构工作状况	jiegougongzuozhuangkuang
结构构架	jiegougoujia
结构合金	jiegouhejin
结构浇制	jiegoujiaozhi
结构金属	jiegoujinshu
结构晶体学	jiegoujingtixue
结构精细度	jiegoujingxidu
结构可靠性	jiegoukekaoxing
结构零件	jiegoulingjian
结构敏感性	jiegouminganxing
结构模型	jiegoumoxing
结构内聚力	jiegouneijuli
结构能	jiegouneng
结构疲劳破断	jiegoupilaopoduan
结构破坏	jiegoupohuai
结构破裂	jiegoupolie
结构破裂性质	jiegoupoliexingzhi
结构取向	jiegouquxiang
结构缺陷	jiegouquexian
结构伸长	jiegoushenchang
结构受力构件	jiegoushouligoujian
结构特点	jiegoutedian
结构完整	jiegouwanzheng
结构完整性	jiegouwanzhengxing
结构祥徒	jiegouxiangtu
结构形成	jiegouxingcheng
结构型钢	jiegouxinggang
结构形态	jiegouxingtai
结构形状	jiegouxingzhuang
结构修改	jiegouxiugai
结构研究	jiegouyanjiu
结构一般说明	jiegouyibanshuoming
结构因素	jiegouyinsu
结垢影响	jiegouyingxiang
结构用低碳钢	jiegouyongditangang
结构用管	jiegouyongguan
结构预制件	jiegouyuzhijian
结构元件	jiegouyuanjian
结构振幅	jiegouzhenfu
结构振幅方程	jiegouzhenfufangcheng
结构质量	jiegouzhiliang
结构转变	jiegouzhuanbian
结构状态	jiegouzhuangtai
结构组成	jiegouzucheng
结构组分	jiegouzufen
结构族分析	jiegouzufenxi
截管车纹机	jieguanchewenji
接管嘴	jieguanzui
截光屏	jieguangping
接轨夹板	jieguijiaban
结果代码	jieguodaima
结果地址	jieguodizhi
结果模块	jieguomokuai
结果输出值	jieguoshuchuzhi
结果语言	jieguoyuyan
接合	jiehe
接合板	jieheban
接合点	jiehedian
结合电子	jiehedianzi
接合端	jieheduan
接合轨	jiehegui
接合环	jiehehuan
结合灰分	jiehehuifen
结合剂	jieheji
结核集矿机	jiehejikuangji
接合机理	jiehejili
结合角	jiehejiao
结合角钢	jiehejiaogang
结核矿	jiehekuang
结合力	jieheli
结合梁	jieheliang
结合硫	jieheliu
接合面	jiehemian
结合面	jiehemian
结合耐火材料	jiehenaihuocailiao
接合泥	jieheni
结合粘土	jieheniantu
结合强度	jieheqiangdu
接合区	jiehequ
结合石灰	jieheshihui
结合水	jieheshui
结合碳	jiehetan
接合凸缘	jiehetuyuan
接合物	jiehewu
接合销钉	jiehexiaoding
接合效率	jiehexiaolv
结合性能	jiehexingneng
结合砖	jiehezhuan
结核状腐蚀	jiehezhuangfushi
接合状态	jiehezhuangtai
街环溶液	jiehuanrongye
结焦能力	jiejiaonengli
结焦时间	jiejiaoshijian
结焦素	jiejiaosu
结焦性煤	jiejiaoxingmei
结焦性能	jiejiaoxingneng
结焦压力	jiejiaoyali
介结构	jiejiegou
结节状反应	jiejiezhuangfanying
接近传感器	jiejinchuanganqi
接近继电器	jiejinjidianqi
接近速度	jiejinsudu
接近引导	jiejinyindao
结晶	jiejing
结晶表面	jiejingbiaomian
结晶层	jiejingceng
结晶产物	jiejingchanwu
结晶出来	jiejingchulai
结晶次数	jiejingcishu
结晶次序	jiejingcixu
结晶点	jiejingdian
结晶定碳	jiejingdingtan
洁净度检验	jiejingdujianyan
结晶二氧化硅	jiejingeryanghuagui
结晶法	jiejingfa
结晶范围	jiejingfanwei
结晶分离	jiejingfenli
结晶粉末	jiejingfenmo
洁净钢	jiejinggang
结晶刚玉	jiejinggangyu
结晶构造学	jiejinggouzaoxue
结晶锅	jiejingguo
结晶过程	jiejingguocheng
结晶核	jiejinghe
结晶核心	jiejinghexin
结晶回复	jiejinghuifu
洁净剂	jiejingji
结晶剂	jiejingji
结晶架	jiejingjia
结晶键	jiejingjian
结晶间隔	jiejingjiange
结晶浆液	jiejingjiangye
结晶角	jiejingjiao
结晶净化	jiejingjinghua
结晶力	jiejingli
结晶粒度	jiejinglidu
结晶硫酸锆	jiejingliusuangao
结晶面	jiejingmian
结晶模型	jiejingmoxing
结晶盘	jiejingpan
结晶片	jiejingpian
结晶器	jiejingqi
结晶器安装	jiejingqianzhuang
结晶器壁	jiejingqibi
结晶器壁面	jiejingqibimian
结晶器操作	jiejingqicaozuo
结晶器操作工	jiejingqicaozuogong
结晶器管	jiejingqiguan
结晶器冷却水	jiejingqilengqueshui
结晶器润滑	jiejingqirunhua
结晶器润滑站	jiejingqirunhuazhan
结晶器上孔	jiejingqishangkong
结晶器寿命	jiejingqishouming
结晶器台	jiejingqitai
结晶器新表面	jiejingqixinbiaomian
结晶器行程	jiejingqixingcheng
结晶器形状	jiejingqixingzhuang
结晶器运动	jiejingqiyundong
结晶器振动	jiejingqizhendong
结晶器振动台	jiejingqizhendongtai
结晶潜热	jiejingqianre
结晶区	jiejingqu
结晶取向	jiejingquxiang
结晶区域	jiejingquyu
结晶缺陷	jiejingquexian
结晶失水	jiejingshishui
结晶水合物	jiejingshuihewu
结晶顺序	jiejingshunxu
结晶碳	jiejingtan
结晶碳化硅	jiejingtanhuagui
结晶体沉淀	jiejingtichendian
结晶桶	jiejingtong
结晶图样	jiejingtuyang
结晶温度	jiejingwendu
结晶系	jiejingxi
结晶析出	jiejingxichu
结晶系统	jiejingxitong
结晶相	jiejingxiang
结晶型硫酸钠	jiejingxingliusuanna
结晶形石墨	jiejingxingshimo
结晶形态	jiejingxingtai
结晶性质	jiejingxingzhi
结晶形状	jiejingxingzhuang
结晶学方向	jiejingxuefangxiang
结晶学共同性	jiejingxuegongtongxing
结晶学原理	jiejingxueyuanli
结晶衍射图	jiejingyanshetu
结晶氧化铝	jiejingyanghualv
结晶蒸发器	jiejingzhengfaqi
结晶蒸煮器	jiejingzhengzhuqi
结晶转变	jiejingzhuanbian
结晶状态	jiejingzhuangtai
结晶组分	jiejingzufen
结晶组织	jiejingzuzhi
节距公差	jiejugongcha
解聚合	jiejuhe
结壳	jieke
杰克逊锡黄铜	jiekexunxihuangtong
接口部件设计	jiekoubujiansheji
解扣电路	jiekoudianlu
接口管	jiekouguan
解扣继电器	jiekoujidianqi
解扣弹簧	jiekoutanhuang
接块	jiekuai
结块	jiekuai
结块粉末	jiekuaifenmo
结块颗粒	jiekuaikeli
截棱锥	jielengzhui
解离	jieli
解理程度	jielichengdu
解理脆性	jielicuixing
解离度	jielidu
解理断口	jieliduankou
解理断口样式	jieliduankouyangshi
解理断裂	jieliduanlie
接力焦	jielijiao
解理晶体	jielijingti
解理开裂	jielikailie
解理裂纹	jieliliewen
节理玫瑰图	jielimeiguitu
解理台阶	jielitaijie
解理纤维转变	jielixianweizhuanbian
解理小平面	jielixiaopingmian
解理状剥离	jielizhuangboli
解理组织	jielizuzhi
节链	jielian
接链	jielian
截料棒	jieliaobang
结瘤	jieliu
截流坝	jieliuba
节流板	jieliuban
节流阀操纵杆	jieliufacaozonggan
节流阀节气阀	jieliufajieqifa
节流阀曲柄	jieliufaqubing
节流阀组	jieliufazu
节流阀组件	jieliufazujian
节流换向阀	jieliuhuanxiangfa
节流开关	jieliukaiguan
节流控制杆	jieliukongzhigan
节流面积	jieliumianji
节流圈	jieliuquan
节流损失	jieliusunshi
节流套	jieliutao
结瘤物	jieliuwu
节流系数	jieliuxishu
节流旋塞	jieliuxuansai
节流元件	jieliuyuanjian
节流止回阀	jieliuzhihuifa
介轮	jielun
阶码溢出	jiemayichu
截铆钉器	jiemaodingqi
截煤机除粉器	jiemeijichufenqi
截煤机截链	jiemeijijielian
姐妹金属	jiemeijinshu
界面	jiemian
截面标度	jiemianbiaodu
截面尺寸	jiemianchicun
截面尺寸效应	jiemianchicunxiaoying
截面尺度	jiemianchidu
界面电效应	jiemiandianxiaoying
界面断裂	jiemianduanlie
界面反应	jiemianfanying
界面高度	jiemiangaodu
界面回波信号	jiemianhuiboxinhao
界面间层	jiemianjianceng
界面间膜	jiemianjianmo
界面间摩擦	jiemianjianmoca
界面间能量	jiemianjiannengliang
界面间偏析	jiemianjianpianxi
界面间势能	jiemianjianshineng
界面间吸附	jiemianjianxifu
界面间阻力	jiemianjianzuli
界面角	jiemianjiao
界面接触	jiemianjiechu
界面晶粒	jiemianjingli
截面可调喷管	jiemianketiaopenguan
截面可调喷嘴	jiemianketiaopenzui
截面扩大	jiemiankuoda
截面流量仪	jiemianliuliangyi
界面面积	jiemianmianji
截面模量	jiemianmoliang
截面模数	jiemianmoshu
