aaa 啊啊啊
puxianxi 莆仙戏
puxijin 普希金
puxuanquan 普选权
qianbaici 千百次
qianbaidu 千百度
qianbainian 千百年
qianbaiwan 千百万
qianbanbu 前半部
qianbanduan 前半段
qianbigu 前臂骨
qianbihe 铅笔盒
qianbihua 铅笔画
qianbijian 铅笔尖
qianbixin 铅笔芯
qianbujiu 前不久
qiancangzai 潜藏在
qiancangzhe 潜藏着
qiancengdi 千层底
qianchengde 虔诚地
qianchuixian 铅垂线
qiandaizi 钱袋子
qiandaohu 千岛湖
qiandehong 钱德洪
qiandongnan 黔东南
qianfada 欠发达
qianfenshu 千分数
qianfodong 千佛洞
qianfoshan 千佛山
qianfudiao 浅浮雕
qianfuqi 潜伏期
qiangang 气昂昂
qiangbuqiang 强不强
qiangganzi 枪杆子
qianghuaji 强化剂
qiangjiangyu 强降雨
qiangjiayu 强加于
qiangjiazai 强加在
qiangjiean 抢劫案
qiangjiezui 抢劫罪
qiangjiji 强击机
qiangjiuxing 抢救性
qiangmianqi 墙面漆
qiangongde 谦恭地
qiangpaosheng 枪炮声
qiangtaifeng 强台风
qiangunfan 前滚翻
qiangweihua 蔷薇花
qiangweike 蔷薇科
qiangxuehui 强学会
qiangyouli 强有力
qiangzhili 强制力
qiangzhixing 强制性
qiangzoule 抢走了
qianheti 嵌合体
qianhetong 签合同
qianhuangse 浅黄色
qianjinbao 前进报
qianjinding 千斤顶
qiankaolv 欠考虑
qianlanse 浅蓝色
qianliangjie 前两节
qianliangtian 前两天
qianlima 千里马
qianliyan 千里眼
qianlongdi 乾隆帝
qianlvse 浅绿色
qianniuhua 牵牛花
qiannuyu 迁怒于
qianqiande 浅浅的
qianqingmen 乾清门
qianrudi 迁入地
qianrushi 嵌入式
qiansanming 前三名
qiansanqiang 钱三强
qiansanwei 前三位
qiansanzhang 前三章
qianshedao 牵涉到
qianshiming 前十名
qianshouxiang 前首相
qianshouyi 谦受益
qianshuiqi 潜水器
qianshuiqu 浅水区
qianshuiting 潜水艇
qianshuiyi 潜水衣
qianshuiyuan 潜水员
qiantangjiang 钱塘江
qiantangshi 遣唐使
qianwanbie 千万别
qianwangjing 潜望镜
qianwanli 千万里
qianwannian 千万年
qianwashi 千瓦时
qianweichang 钱伟长
qianxienian 前些年
qianxuantong 钱玄同
qianxuesen 钱学森
qianxunde 谦逊地
qianyexian 千叶县
qianyishi 潜意识
qianyitian 前一天
qianyueguo 签约国
qianzhanxing 前瞻性
qianzhici 前置词
qianziguo 签字国
qianzise 浅紫色
qianziwen 千字文
qianzongse 浅棕色
qianzouqu 前奏曲
qiaobiangu 敲边鼓
qiaobuqi 瞧不起
qiaoguanhua 乔冠华
qiaojisheng 敲击声
qiaokeli 巧克力
qiaolangan 桥栏杆
qiaomeisheng 悄没声
qiaomensheng 敲门声
qiaonasen 乔纳森
qiaopihua 俏皮话
qiaoqiaode 悄悄地
qiaoqiaohua 悄悄话
qiaoqilai 翘起来
qiaosangzhong 敲丧钟
qiaoyiqiao 敲一敲
qiatanhui 洽谈会
qibage 七八个
qibaili 七百里
qibaishi 齐白石
qibanian 七八年
qibaoxian 漆包线
qibaqian 七八千
qibenzhi 其本质
qibingtuan 骑兵团
qibulai 起不来
qichechang 汽车厂
qichecheng 汽车城
qichepiao 汽车票
qicheren 骑车人
qichezhan 汽车站
qichongchong 气冲冲
qidaowen 祈祷文
qidazhou 七大洲
qidianchuan 气垫船
qidianzhong 七点钟
qidongqi 启动器
qidongzi 启动子
qiebuke 切不可
qiechulai 切出来
qiechushu 切除术
qiefenyin 切分音
qiegecheng 切割成
qiegeji 切割机
qierudian 切入点
qierukou 切入口
qieshengsheng 怯生生
qiexialai 切下来
qiexiaqu 切下去
qifashi 启发式
qifaxing 启发性
qifuxian 起付线
qiguanyan 气管炎
qiguoren 齐国人
qihefu 契诃夫
qihoudai 气候带
qihouqu 气候区
qihuangong 齐桓公
qijiajun 戚家军
qijiguang 戚继光
qijinggong 齐景公
qijushi 起居室
qikonglv 气孔率
qilianshan 祁连山
qilianxian 祁连县
qilunji 汽轮机
qiluojia 起落架
qimenxian 祁门县
qimenzui 气门嘴
qimingxing 启明星
qimixing 气密性
qinershi 秦二世
qingbaoju 情报局
qingcanyue 请参阅
qingchangju 清唱剧
qingchuanjiang 清川江
qingchundou 青春痘
qingchunqi 青春期
qingcuise 青翠色
qingdafu 卿大夫
qingdaogang 青岛港
qingdaoshi 青岛市
qingdezong 清德宗
qingfusuan 氢氟酸
qinggangxian 青冈县
qingganxing 情感性
qinggaozong 清高宗
qinggeju 轻歌剧
qinggongye 轻工业
qingguangyan 青光眼
qinghaihu 青海湖
qinghaisheng 青海省
qinghaosu 青蒿素
qinghuabian 青化砭
qinghuaci 青花瓷
qinghuajia 氰化钾
qinghuana 氢化钠
qinghuaqing 氰化氢
qingjiamu 亲家母
qingjianxian 清涧县
qingjiaotu 清教徒
qingjiegong 清洁工
qingjieji 清洁剂
qingjingju 情景剧
qingjinshi 青金石
qingjinshu 轻金属
qingkejian 顷刻间
qingkejiu 青稞酒
qingkuaide 轻快地
qingkuangbiao 情况表
qinglanzi 青蓝紫
qinglianghua 轻量化
qingliangji 轻量级
qingliusuan 氢硫酸
qinglizi 氢离子
qinglongqiao 青龙桥
qinglongshan 青龙山
qinglongxian 晴隆县
qinglvse 青绿色
qingmeisu 青霉素
qingmingjie 清明节
qingniandang 青年党
qingnianhui 青年会
qingnianjie 青年节
qingnianqi 青年期
qingnianren 青年人
qingniantuan 青年团
qingpiaopiao 轻飘飘
qingpuqu 青浦区
qingqianlong 清乾隆
qingqiaoxing 轻巧型
qingqibing 轻骑兵
qingqingde 轻轻地
qingqingsuan 氢氰酸
qingqinwang 庆亲王
qingqiushu 请求书
qingqiuzhe 请求者
qingrenzong 清仁宗
qingshaodeng 请稍等
qingshaonian 青少年
qingshazhang 青纱帐
qingshengzu 清圣祖
qingshiban 青石板
qingshigao 清史稿
qingshuaide 轻率地
qingshunzhi 清顺治
qingshuochu 请说出
qingsiliao 青饲料
qingtaizong 清太宗
qingtianxian 青田县
qingtongqi 青铜器
qingtongse 青铜色
qingtongxia 青铜峡
qingtongzhi 清同治
qingwangchao 清王朝
qingwatui 青蛙腿
qingweishang 轻微伤
qingxiangxing 倾向性
qingxidu 清晰度
qingxiedu 倾斜度
qingxiejiao 倾斜角
qingxieyi 倾斜仪
qingxiji 清洗剂
qingxiusuan 氢溴酸
qingxiye 清洗液
qingxuguan 清虚观
qingxuxian 清徐县
qingyanggen 氢氧根
qingyanghua 氢氧化
qingyangqu 青羊区
qingyangshi 庆阳市
qingyijiang 青衣江
qingyinge 清音阁
qingyinyue 轻音乐
qingyise 清一色
qingyuan 青玉案
qingyuanliang 请原谅
qingyuanshu 请愿书
qingyuanxian 庆元县
qingyuanzi 氢原子
qingzhengfu 清政府
qingzhensi 清真寺
qingzhuangnian 青壮年
qinheli 亲和力
qinhuaihe 秦淮河
qinhuangdao 秦皇岛
qiniandian 祈年殿
qinianji 七年级
qinjingan 亲近感
qinjiushao 秦九韶
qinliji 亲历记
qinliugan 禽流感
qinlizhe 亲历者
qinlvejun 侵略军
qinlvezhe 侵略者
qinmugong 秦穆公
qinqiegan 亲切感
qinquanren 侵权人
qinripai 亲日派
qinshihuang 秦始皇
qinshuixing 亲水性
qinwuwang 秦武王
qinwuyuan 勤务员
qinxiaogong 秦孝公
qinxiongdi 亲兄弟
qinxishou 勤洗手
qinyoumen 亲友们
qinyuanchun 沁园春
qinzhanzui 侵占罪
qinzhoushi 钦州市
qiongguangdan 穷光蛋
qionghaizi 穷孩子
qiongjufa 穷举法
qiongrenjia 穷人家
qiongxiaozi 穷小子
qiongzebian 穷则变
qiongzhitang 琼脂糖
qipaodian 起跑点
qipaomo 起泡沫
qipaoxian 起跑线
qipianxing 欺骗性
qiqiaoban 七巧板
qirongjiao 气溶胶
qishier 七十二
qishiju 祈使句
qishiqi 七十七
qishixing 歧视性
qishiye 企事业
qishiyi 七十一
qishizhi 起始值
qishuxia 其属下
qisiwo 气死我
qisushu 起诉书
qitaren 其他人
qitiaodian 起跳点
qitoushang 气头上
qitoushi 齐头式
qiubanjing 球半径
qiuchangshang 球场上
qiudongji 秋冬季
qiufazu 裘法祖
qiuhaitang 秋海棠
qiujier 丘吉尔
qiulingqu 丘陵区
qiumenqu 球门区
qiumenxian 球门线
qiumianjing 球面镜
qiumoji 球磨机
qiushaoyun 邱少云
qiushengfu 秋声赋
qiushengrong 裘盛戎
qiuzhiyu 求知欲
qiuzhuyu 求助于
qiuzhuzhe 求助者
qiwangzhi 期望值
qiweiwang 齐威王
qiwenji 气温计
qiwuji 气雾剂
qixiangju 气象局
qixiangtai 气象台
qixiangxue 气象学
qixiangzhan 气象站
qixiannei 期限内
qixiashan 栖霞山
qixidi 栖息地
qixuanwang 齐宣王
qiyabiao 气压表
qiyaji 气压计
qiyejia 企业家
qiyezhu 企业主
qiyijun 起义军
qiyixin 起疑心
qiyizhe 起义者
qiyoudan 汽油弹
qiyouji 汽油机
qiyuanyu 起源于
qiyuequ 器乐曲
qizhema 骑着马
qizhongji 起重机
quanfangwei 全方位
quanfanshe 全反射
quangongneng 全功能
quanguocheng 全过程
quanguoxing 全国性
quanjiafu 全家福
quanjiaren 全家人
quanjingshi 全景式
quanjingtu 全景图
quanjisai 拳击赛
quanjude 全聚德
quanjuxing 全局性
quanmianfei 全免费
quanmianxing 全面性
quannengxing 全能性
quanqiuhua 全球化
quanqiuxing 全球性
quanrenlei 全人类
quanrizhi 全日制
quanshenxiang 全身像
quanshenxin 全身心
quanshenxing 全身性
quanshijie 全世界
quantangshi 全唐诗
quantianhou 全天候
quanweixing 权威性
quanxilie 全系列
quanxuepian 劝学篇
quanyechang 劝业场
quanyiben 全译本
quanyinfu 全音符
quanyunhui 全运会
quanyuzhou 全宇宙
quanzhoushi 泉州市
quanzidong 全自动
quanzili 圈子里
qubiezhen 曲别针
qubuqu 去不去
qucaiyu 取材于
qudongli 驱动力
qudonglun 驱动轮
qudongqi 驱动器
quebuceng 却不曾
quedingxing 确定性
quekouchu 缺口处
quemeineng 却没能
querenshu 确认书
queshixing 确实性
qufushi 曲阜市
qufuyu 屈服于
qugongsuo 区公所
quguangdu 屈光度
quguangxing 趋光性
quhuatu 区划图
qujingkuang 取景框
qujingqi 取景器
qujingshi 曲靖市
qujueyu 取决于
qukuanji 取款机
qumingwei 取名为
qumingzi 取名字
quneiwai 区内外
qunfangpu 群芳谱
quntixing 群体性
qunyinghui 群英会
qunzhongxing 群众性
quqiubai 瞿秋白
qutangxia 瞿塘峡
quweixing 趣味性
quxiangyu 趋向于
quxianmei 曲线美
quxiantu 曲线图
quxifu 娶媳妇
quyangqi 取样器
quyangxian 曲阳县
quyiyu 取意于
quyujian 区域间
quyuxing 区域性
quzhengfu 区政府
quzhiyu 取之于
quzhujian 驱逐舰
rangnizai 让你在
rangwona 让我拿
ranliaoyou 燃料油
ranqizao 燃气灶
ranseti 染色体
ransexing 染色性
ransezhi 染色质
ranshaodan 燃烧弹
ranshaoshi 燃烧室
raodongmai 桡动脉
raokouling 绕口令
rebuqi 惹不起
rechuandao 热传导
rechuli 热处理
redaolv 热导率
redianchang 热电厂
redianou 热电偶
redianzhan 热电站
redianzu 热电阻
refenjie 热分解
refushe 热辐射
reguxing 热固性
rehuaxue 热化学
rehuhu 热乎乎
rejiagong 热加工
rejiaohuan 热交换
relixue 热力学
reminxing 热敏性
renanqiang 仁安羌
renaya 热那亚
renbishi 任弼时
renbonian 任伯年
renbuchu 认不出
renbude 认不得
renbuzhi 人不知
renbuzhu 忍不住
rencaiwu 人财物
renchulai 认出来
rendawang 人大网
renfanzi 人贩子
rengehua 人格化
rengequan 人格权
rengongdao 人工岛
rengonghua 人工化
rengonglin 人工林
rengxialai 扔下来
renheren 任何人
renheshi 人和事
renhewu 人和物
renjiaoyu 任教于
renkedu 认可度
renkoushu 人口数
renleixue 人类学
renliuliang 人流量
renmazuo 人马座
renmianquan 任免权
renminbi 人民币
renmindang 人民党
renqingwei 人情味
renqizhi 任期制
renshengguan 人生观
renshenglu 人生路
renshenquan 人身权
renshijian 人世间
renshiju 人事局
renshilun 认识论
renshouzhe 忍受着
rentimei 人体美
rentongdu 认同度
rentonggan 认同感
rentoufei 人头费
rentoushui 人头税
renwuliang 任务量
renxingdao 人行道
renxinghua 人性化
renxingmei 人性美
renxinqi 人心齐
renyiqiu 任意球
renyixing 任意性
renyuaner 人缘儿
renyuche 人与车
renzaoge 人造革
renzaomian 人造棉
renzaosi 人造丝
renzhongxue 人种学
renzixing 人字形
renzuzhang 任组长
repengzhang 热膨胀
repingheng 热平衡
reqiede 热切地
reqiqiu 热气球
rerongjiao 热熔胶
reshuidai 热水袋
reshuiqi 热水器
resuxing 热塑性
retengteng 热腾腾
rewuran 热污染
rexiaolv 热效率
rexiaoying 热效应
rexinren 热心人
rezhongyu 热衷于
rezhongzi 热中子
ribaobiao 日报表
ribendui 日本队
ribenguo 日本国
ribenhai 日本海
richanliang 日产量
richengbiao 日程表
ridelan 日德兰
rierman 日耳曼
riguanfeng 日观峰
riguangdeng 日光灯
riguangyan 日光岩
riguangyu 日光浴
rihuanshi 日环食
rijiben 日记本
rijiexian 日界线
rikaze 日喀则
rineiwa 日内瓦
riquanshi 日全食
rixinshuo 日心说
riyongpin 日用品
riyuetan 日月潭
riyuexing 日月星
rizhilu 日知录
rongbaozhai 荣宝斋
rongbude 容不得
rongbuxia 容不下
rongchangxian 荣昌县
rongcuoxing 容错性
rongduanqi 熔断器
rongguofu 荣国府
ronghuacheng 熔化成
rongjiedu 溶解度
rongjiexing 溶解性
rongjieyang 溶解氧
rongjunmei 溶菌酶
rongliangping 容量瓶
rongmaozhuang 绒毛状
rongmeiti 溶酶体
rongyugan 荣誉感
rongyujiang 荣誉奖
roubaozi 肉包子
roubozhan 肉搏战
roudoukou 肉豆蔻
rouqindan 肉禽蛋
rourenxing 柔韧性
rouruanji 柔软剂
roushixing 肉食性
roushizhe 肉食者
rouzhipin 肉制品
ruanbaozhuang 软包装
ruangubing 软骨病
ruangutou 软骨头
ruanhuanjing 软环境
ruanjianye 软件业
ruanjianyuan 软件园
ruanmianmian 软绵绵
ruanmusai 软木塞
ruanruoxing 软弱性
ruanshili 软实力
ruanyingjian 软硬件
ruanzhisuan 软脂酸
ruanzhuolu 软着陆
ruanzuzhi 软组织
rubaise 乳白色
ruchangquan 入场券
ruchengxian 汝城县
ruguoshuo 如果说
ruhaikou 入海口
ruhuaji 乳化剂
ruianshi 瑞安市
ruidianren 瑞典人
ruishiren 瑞士人
rukouchu 入口处
rumengling 如梦令
rumenji 入门级
runhuaji 润滑剂
runhuayou 润滑油
ruogange 若干个
ruonvzi 弱女子
ruosuanxing 弱酸性
ruoyinqi 弱音器
ruqinzhe 入侵者
rushebo 入射波
rusheguang 入射光
rushejiao 入射角
rushishuo 如是说
rushuiguan 入水管
rusuanjun 乳酸菌
rutangmei 乳糖酶
ruxianai 乳腺癌
ruxuelv 入学率
ruyiri 如一日
ruzhipin 乳制品
ruzhoushi 汝州市
ruzhuoye 乳浊液
sadamu 萨达姆
sadingdao 撒丁岛
sahala 撒哈拉
saibandao 塞班岛
saibangzi 腮帮子
sailongzhou 赛龙舟
sailuluo 赛璐珞
saimeier 塞梅尔
saimiuer 塞缪尔
sainahe 塞纳河
saisheer 塞舌尔
saixiansheng 赛先生
saizhenzhu 赛珍珠
sakelei 萨克雷
sakesi 萨克斯
sakexun 撒克逊
salamu 萨拉姆
salazu 撒拉族
salimu 萨利姆
samala 萨马拉
samoya 萨摩亚
sanbainian 三百年
sanbaishou 三百首
sanbaxian 三八线
sanbuqu 三部曲
sanbuzou 三步走
sanchakou 三岔口
sancifang 三次方
sandalei 三大类
sandengfen 三等分
sandengjiang 三等奖
sandianzhong 三点钟
sandieji 三叠纪
sandouping 三斗坪
sanfachu 散发出
sanfenzhong 三分钟
sangbawu 桑巴舞
sangdinuo 桑地诺
sangganhe 桑干河
sangmener 嗓门儿
sangmenshen 丧门神
sangpizhi 桑皮纸
sanguozhi 三国志
sangzangfei 丧葬费
sanhuanlu 三环路
sanjiacun 三家村
sanjiaoban 三角板
sanjiaochi 三角尺
sanjiaoji 三角肌
sanjiaojia 三脚架
sanjiaoqu 三角区
sanjiaotie 三角铁
sanjiaoxing 三角形
sanjiaozhou 三角洲
sanjiehe 三结合
sanjiguan 三极管
sanjuhua 三句话
sanjushi 三居室
sanlengjing 三棱镜
sanlengzhui 三棱锥
sanlianyin 三连音
sanlihe 三里河
sanlunche 三轮车
sanmenxia 三门峡
sanmingshi 三明市
sanmingzhi 三明治
sanqianduo 三千多
sanqianli 三千里
sanqiutian 三丘田
sanrenxing 三人行
sanreqi 散热器
sansheguang 散射光
sanshiduo 三十多
sanshijia 三十家
sanshijiu 三十九
sanshiliu 三十六
sanshinian 三十年
sanshisi 三十四
sanshisui 三十岁
sanshitu 三视图
sanshiwan 三十万
sanshiwu 三十五
sanshiyi 三十一
sansidian 三四点
sansige 三四个
sansinian 三四年
sansishi 三四十
sansitian 三四天
santaixian 三台县
sanweishu 三位数
sanwenji 散文集
sanwenjia 散文家
sanwenshi 散文诗
sanwuge 三五个
sanwunian 三五年
sanxiangshi 三项式
sanxitang 三希堂
sanyaosu 三要素
sanyechong 三叶虫
sanyuanli 三元里
sanyuanse 三原色
sanzhounian 三周年
saomiaoqi 扫描器
saomiaoyi 扫描仪
saoyisao 扫一扫
saqieer 撒切尔
saselan 萨瑟兰
saxialai 洒下来
seansuan 色氨酸
sedaxian 色达县
selayou 色拉油
semuren 色目人
senlinfa 森林法
sepufa 色谱法
seqingwang 色情网
sexiangwei 色香味
shachenbao 沙尘暴
shachongji 杀虫剂
shachongyao 杀虫药
shahezhen 沙河镇
shahuhu 傻乎乎
shaitaiyang 晒太阳
shaiyifu 晒衣服
shajiabang 沙家浜
shalajiang 沙拉酱
shamohua 沙漠化
shancunpan 闪存盘
shandandan 山丹丹
shandianban 闪电般
shandianzhan 闪电战
shandiche 山地车
shandongren 山东人
shandongsheng 山东省
shanganning 陕甘宁
shangbairen 上百人
shangbaiwan 上百万
shangbanbu 上半部
shangbannian 上半年
shangbanqi 上半期
shangbanshen 上半身
shangbanye 上半叶
shangbiaofa 商标法
shangbiaoju 商标局
shangbiaoquan 商标权
shangbingyuan 伤病员
shangbulai 上不来
shangbuqi 上不起
shangchaoren 商朝人
shangcheshi 上车时
shangchuandui 商船队
shangdianhou 上电后
shangganling 上甘岭
shanggeyue 上个月
shangguangji 上光剂
shangguimo 上规模
shanghaigang 上海港
shanghaishi 上海市
shanghangxian 上杭县
shanghehe 尚和合
shangjinxin 上进心
shangjunshu 商君书
shangkeshi 上课时
shanglinfu 上林赋
shanglinyuan 上林苑
shangloulai 上楼来
shangmenlai 上门来
shangnaojin 伤脑筋
shangpinfang 商品房
shangpinhua 商品化
shangpinliang 商品粮
shangpinlv 商品率
shangqianren 上千人
shangshufu 尚书府
shangshulang 尚书郎
shangshuling 尚书令
shangshusheng 尚书省
shanguangdeng 闪光灯
shanguangdian 闪光点
shanguzi 扇骨子
shangwangfei 上网费
shangwangka 上网卡
shangwubu 商务部
shangwuqu 商务区
shangxiace 上下册
shangxiaji 上下级
shangxianyue 上弦月
shangxiaoyun 尚小云
shangxiashui 上下水
shangxiawen 上下文
shangxiayou 上下游
shangxinshi 伤心事
shangyanpi 上眼皮
shangyehua 商业化
shangyejie 商业街
shangyequ 商业区
shangyexing 商业性
shangyinian 上一年
shangyongche 商用车
shangyuanjie 上元节
shangyushi 上虞市
shangzengjia 熵增加
shangzhanglv 上涨率
shangzhigu 上肢骨
shangzhongxia 上中下
shanhaiguan 山海关
shanhaijing 山海经
shanheshang 山和尚
shanhetao 山核桃
shanhuchong 珊瑚虫
shanhudao 珊瑚岛
shanhujiao 珊瑚礁
shanjiaoxia 山脚下
shanjizhan 闪击战
shanlisuan 山梨酸
shanmaoju 山毛榉
shannanlu 山南路
shanpoyang 山坡羊
shanquanshui 山泉水
shanshande 讪讪地
shanshenmiao 山神庙
shanshuihua 山水画
shanshuishi 山水诗
shanshuitu 山水图
shanshuozhe 闪烁着
shantoushi 汕头市
shanxinkuang 闪锌矿
shanxiren 山西人
shanxisheng 山西省
shanyangfei 赡养费
shanyangren 赡养人
shanyangrou 山羊肉
shanyaoshang 山腰上
shanyaozhe 闪耀着
shanzheguang 闪着光
shaobude 少不得
shaobufen 少部分
shaobuliao 少不了
shaogaoyu 稍高于
shaolinquan 少林拳
shaolinsi 少林寺
shaoniangong 少年宫
shaopiaoping 邵飘萍
shaoshanchong 韶山冲
shaoshudang 少数党
shaoshupai 少数派
shaoxingshi 绍兴市
shaoyifu 邵逸夫
shapotou 沙坡头
sharenfan 杀人犯
sharenzhe 杀人者
shashangli 杀伤力
shashangxing 杀伤性
shashasheng 沙沙声
shashihou 啥时候
shashijian 霎时间
shawushe 杀无赦
shaxiaozi 傻小子
shayatou 傻丫头
shayaxian 沙雅县
shazhitu 沙质土
shebeichang 设备厂
shebude 舍不得
shechipin 奢侈品
shehongxian 射洪县
shehuidang 社会党
shehuihua 社会化
shehuishi 社会史
shehuixing 社会性
shehuixue 社会学
sheizhidao 谁知道
shejimian 涉及面
shejinqu 射进去
shejishi 设计师
shejitu 设计图
shejiyuan 设计员
shejizhe 设计者
shejizu 设计组
shenaizhe 深爱着
shencejun 神策军
shencengci 深层次
shenchushou 伸出手
shencongwen 沈从文
shendefu 沈德符
shendeqian 沈德潜
shendutu 深度图
shenfenzheng 身份证
shengaoren 审稿人
shengbaoluo 圣保罗
shengbide 圣彼得
shengchanchang 生产厂
shengchandui 生产队
shengchanguo 生产国
shengchanli 生产力
shengchanliang 生产量
shengchanlv 生产率
shengchanqu 生产区
shengchanshang 生产商
shengchanxian 生产线
shengchanxing 生产型
shengchanzhe 生产者
shengchengwu 生成物
shengcunqi 生存期
shengcunquan 生存权
shengdandao 圣诞岛
shengdanjie 圣诞节
shengdanshu 圣诞树
shengdongxing 生动性
shengguangdian 声光电
shengguoqi 升国旗
shenghuofei 生活费
shenghuoqu 生活区
shenghuoquan 生活圈
shenghuozhao 生活照
shengjiangji 升降机
shengjiangtai 升降台
shengjiaoxu 圣教序
shengjingshang 圣经上
shenglijun 生力军
shenglixing 生理性
shenglixue 生理学
shenglizhe 胜利者
shengluyi 圣路易
shenglvehao 省略号
shenglveju 省略句
shengmading 圣马丁
shengmake 圣马可
shengmingli 生命力
shengmingqi 生命期
shengmingquan 生命权
shengmingti 生命体
shengmingxian 生命线
shengmusong 圣母颂
shengmuyuan 圣母院
shengneiwai 省内外
shengongneng 肾功能
shengpizi 生僻字
shengqiaozhi 圣乔治
shengrenzhe 胜任者
shengshangqu 升上去
shengshengman 声声慢
shengshihui 生石灰
shengsiguan 生死观
shengtaihua 生态化
shengtaiquan 生态圈
shengtaixian 生态县
shengtaixue 生态学
shengtaiyuan 生态园
shenguoqu 伸过去
shengwudian 生物电
shengwujie 生物界
shengwuke 生物课
shengwuliang 生物量
shengwuneng 生物能
shengwuquan 生物圈
shengwuti 生物体
shengwuxue 生物学
shengwuzhan 生物战
shengxianshu 圣贤书
shengxifu 盛锡福
shengximen 圣西门
shengxingyu 盛行于
shengxuanhuai 盛宣怀
shengyijing 生意经
shengyiren 生意人
shengyousheng 胜有声
shengyuehan 圣约翰
shengyulv 生育率
shengyupian 生鱼片
shengyuquan 生育权
shengyusi 生与死
shengzhangqi 生长期
shengzhangsu 生长素
shengzhidao 生殖道
shengzhili 生殖力
shengzhoushi 嵊州市
shenhese 深褐色
shenhongse 深红色
shenhuajia 砷化镓
shenhuxi 深呼吸
shenjiagong 深加工
shenjiamen 沈家门
shenjieshi 肾结石
shenjingbing 神经病
shenjingxue 神经学
shenjingyuan 神经元
shenjinqu 伸进去
shenjizhang 审计长
shenkexing 深刻性
shenlanse 深蓝色
shenlvse 深绿色
shenmaizai 深埋在
shenmeiguan 审美观
shenmeihua 审美化
shenmeyang 什么样
shenmigan 神秘感
shenmihua 神秘化
shenmixing 神秘性
shennaichuan 神奈川
shennongjia 神农架
shennongshi 神农氏
shenpanguan 审判官
shenpanquan 审判权
shenpanyuan 审判员
shenpanzhang 审判长
shenpanzhe 审判者
shenpiquan 审批权
shenqingbiao 申请表
shenqingfei 申请费
shenqingren 申请人
shenqingshu 申请书
shenshanzhong 深山中
shenshende 深深地
shenshuigang 深水港
shensizhe 深思者
shensuoxing 伸缩性
shentoudao 渗透到
shentouxing 渗透性
shentouya 渗透压
shenxiaoguan 肾小管
shenxiaoqiu 肾小球
shenxingong 沈心工
shenxiqi 深吸气
shenxuejia 神学家
shenyanbing 沈雁冰
shenyangshi 沈阳市
shenyeli 深夜里
shenyigao 审议稿
shenyinmo 沈尹默
shenyinsheng 呻吟声
shenzhenshi 深圳市
shenzhiyu 甚至于
shenzhouhao 神舟号
shenzigu 身子骨
shenzise 深紫色
sheruliang 摄入量
sheshidu 摄氏度
sheshuiyu 射水鱼
shetianlang 射天狼
shexialai 射下来
shexiangcao 麝香草
shexiangji 摄像机
shexiangshi 摄像师
shexiangtou 摄像头
shexianguan 射线管
shexiaojia 舍小家
sheyingji 摄影机
sheyingjia 摄影家
sheyingpeng 摄影棚
sheyingshi 摄影师
sheyingzhan 摄影展
sheyingzhe 摄影者
shezhengwang 摄政王
shezhicheng 摄制成
shezhizu 摄制组
shibaceng 十八层
shibaizhe 失败者
shibanyu 石斑鱼
shibari 十八日
shibasui 十八岁
shibielv 识别率
shibiexing 识别性
shibihui 势必会
shibohui 世博会
shiboqi 示波器
shiboyuan 世博园
shibushi 是不是
shichanghua 市场化
shichuanxiang 时传祥
shicuojue 视错觉
shidafu 士大夫
shidaigan 时代感
shidaixing 时代性
shidakai 石达开
shidati 识大体
shidianbi 试电笔
shidianzhong 十点钟
shidifen 史蒂芬
shidiwen 史蒂文
shiduoge 十多个
shiduonian 十多年
shiduoren 十多人
shiduosui 十多岁
shiduotian 十多天
shierdian 十二点
shierfen 十二分
shierge 十二个
shierhao 十二号
shierjie 十二届
shierjuan 十二卷
shierkuai 十二块
shiernian 十二年
shierri 十二日
shiershou 诗二首
shiersui 十二岁
shieryue 十二月
shierzhang 十二章
shifadi 始发地
shifancun 示范村
shifanqu 示范区
shifanxian 示范县
shifanxing 示范性
shifazhan 始发站
shifeiliang 施肥量
shifenmiao 时分秒
shifenzhong 十分钟
shiganjia 实干家
shigaoban 石膏板
shigaofen 石膏粉
shigaoxiang 石膏像
shigeji 诗歌集
shigongfang 施工方
shigongqiao 石拱桥
shigongtu 施工图
shiguanai 食管癌
shiguangnan 施光南
shiguangyuan 石广元
shiguanqu 使馆区
shiguwen 石鼓文
shihaoli 石壕吏
shihuacai 石花菜
shihuangdi 始皇帝
shihuawang 市话网
shihuiru 石灰乳
shihuishi 石灰石
shihuishui 石灰水
shihuiyan 石灰岩
shihuizhi 石灰质
shijiahe 石家河
shijianbiao 时间表
shijiancha 时间差
shijianduan 时间段
shijianjia 实践家
shijianlun 实践论
shijianxing 实践性
shijianzhe 实践者
shijianzhou 时间轴
shijiaoqu 市郊区
shijiaowei 市教委
shijiazhuang 石家庄
shijibei 十几倍
shijiebao 世界报
shijiebei 世界杯
shijieguan 世界观
shijieji 世界级
shijieshi 世界史
shijieting 失街亭
shijietuan 使节团
shijiexing 世界性
shijige 十几个
shijihe 试剂盒
shijikuai 十几块
shijimo 世纪末
shijiner 使劲儿
shijingshan 石景山
shijingtang 石敬瑭
shijingtu 实景图
shijinian 十几年
shijinsai 世锦赛
shijinshi 试金石
shijinzhi 十进制
shijiping 试剂瓶
shijishang 实际上
shijisui 十几岁
shijiuge 十九个
shijiunian 十九年
shijiusui 十九岁
shijiwan 十几万
