aba 阿巴
kewei 可为
kewen 课文
kewu 可恶
kexi 可惜
kexia 刻下
kexian 可先
kexiang 可想
kexiao 可笑
kexie 刻写
kexin 可信
kexing 可行
kexuan 可选
kexue 科学
kexun 可循
keyan 科研
keyao 可要
keyi 可以
keyin 可因
keyong 可用
keyou 可有
keyu 课余
keyun 客运
kezeng 可憎
kezhan 客栈
kezhe 刻着
kezhen 可真
kezheng 苛政
kezhi 可知
kezhu 可住
kezhuan 可转
kezhuo 课桌
kezi 刻字
kezuo 可作
kongbai 空白
kongban 孔板
kongbian 控辩
kongbiao 空表
kongbie 空瘪
kongbu 恐怖
kongchang 空肠
kongchao 空巢
kongcheng 空城
kongchu 空出
kongchuan 空串
kongdang 空当
kongdao 空道
kongdi 空地
kongdong 空洞
konger 空儿
kongfa 空乏
kongfan 空泛
kongfang 空房
kongfu 空腹
konggao 控告
kongge 空格
konggu 控股
kongguan 空罐
konghai 空海
konghang 空行
konghe 恐吓
konghou 箜篌
konghua 空话
konghuan 空幻
konghuang 恐慌
kongji 空寂
kongjian 空间
kongjiang 空降
kongjiao 孔教
kongjing 孔径
kongju 恐惧
kongjun 空军
kongkai 空开
kongke 空壳
kongkong 空空
kongkou 孔口
kongkuang 空旷
kongli 孔里
kongling 空灵
konglong 恐龙
kongmen 孔门
kongmeng 孔孟
kongmiao 孔庙
kongming 孔明
kongnan 空难
kongpa 恐怕
kongping 空瓶
kongqi 空气
kongqian 空前
kongqiang 空腔
kongqie 空切
kongqiu 控球
kongque 空缺
kongrong 孔融
kongshan 空山
kongshou 空手
kongshu 空疏
kongshui 控水
kongsu 控诉
kongtan 空谈
kongtiao 空调
kongtong 空桶
kongtou 空投
kongwei 空位
kongwen 控温
kongwu 空屋
kongxi 空袭
kongxian 空闲
kongxiang 空想
kongxin 空心
kongxu 空虚
kongxue 空穴
kongyan 空言
kongyong 孔用
kongyu 空余
kongyun 空运
kongzhan 空战
kongzhe 空着
kongzhi 控制
kongzhong 空中
kongzhu 空竹
kongzi 孔子
kouan 口岸
koubei 口碑
koubi 口鼻
koubian 口边
koubu 口部
koucai 口才
koucheng 口称
kouchi 口吃
kouchu 扣除
kouchun 口唇
koudai 口袋
koudian 扣点
koudong 扣动
kouer 口儿
koufa 扣发
koufeng 口风
koufu 口服
kougan 口感
kougong 口供
kouguan 叩关
kouguo 扣过
kouhao 口号
kouhua 扣划
kouji 叩击
koujiao 口角
koujing 口径
koujue 口诀
kouke 口渴
koukou 扣扣
koukuan 扣款
koulan 扣篮
kouli 口里
kouliang 口粮
kouling 口令
kouliu 扣留
koumen 叩门
kounei 口内
kouqi 口气
kouqiang 口腔
kouqin 口琴
kouqiu 扣球
kouren 口人
koushang 扣上
koushao 口哨
koushe 口舌
koushi 口试
koushou 口授
koushu 口述
koushui 口水
koushuo 口说
koutou 口头
kouwai 口外
kouwei 口味
kouwen 口吻
kouxin 口信
kouxing 口形
kouya 扣押
kouyan 扣眼
kouyi 口译
kouyin 口音
kouyu 口语
kouzhao 口罩
kouzhen 叩诊
kouzhong 口中
kouzhu 扣住
kouzi 口子
kouzuo 扣作
kuabao 挎包
kuabu 跨步
kuachu 跨出
kuada 夸大
kuadiao 垮掉
kuadu 跨度
kuafu 夸父
kuagu 胯骨
kuaguo 跨国
kuahai 跨海
kuahe 跨河
kuai 酷爱
kuaiban 快板
kuaibao 快报
kuaibu 快步
kuaican 快餐
kuaiche 快车
kuaichuan 快船
kuaidang 快当
kuaidao 快到
kuaidi 快递
kuaidian 快点
kuaier 块儿
kuaigan 快干
kuaigen 块根
kuaigong 快攻
kuaihuo 快活
kuaiji 会计
kuaijian 快件
kuaijie 快捷
kuaijing 块茎
kuaikuai 快快
kuailai 快来
kuaile 快乐
kuaima 快马
kuaiman 快慢
kuaimen 快门
kuaiqi 快起
kuaiqian 块钱
kuaiqiu 快球
kuaisu 快速
kuaiti 块体
kuaiting 快艇
kuaitou 块头
kuaiwei 快慰
kuaixie 快些
kuaiyao 快要
kuaiyi 快意
kuaiyu 快于
kuaizhao 快照
kuaizhuan 块砖
kuaizhuang 块状
kuaizi 筷子
kuajiang 夸奖
kuajie 跨界
kuajin 跨进
kuajing 跨境
kuake 夸克
kuakou 夸口
kualan 跨栏
kuanbian 宽边
kuanbu 髋部
kuanchang 宽敞
kuanchuo 宽绰
kuanda 宽大
kuandai 宽带
kuandian 宽甸
kuandu 宽度
kuane 款额
kuanfan 宽泛
kuangao 宽高
kuangbao 狂暴
kuangcang 矿藏
kuangceng 矿层
kuangchan 矿产
kuangchao 狂潮
kuangchuang 矿床
kuangda 旷达
kuangdeng 矿灯
kuangfei 狂吠
kuangfeng 狂风
kuangfu 匡扶
kuanggong 矿工
kuanghou 狂吼
kuanghua 矿化
kuanghuan 狂欢
kuangjia 框架
kuangjing 矿井
kuangke 旷课
kuangkeng 矿坑
kuangkuang 框框
kuanglan 狂澜
kuanglang 哐啷
kuangluan 狂乱
kuangmai 矿脉
kuangnei 框内
kuangpian 诓骗
kuangqie 况且
kuangqu 矿区
kuangre 狂热
kuangren 狂人
kuangsha 矿砂
kuangshan 矿山
kuangshang 框上
kuangshi 矿石
kuangtu 框图
kuanguang 宽广
kuangwang 狂妄
kuangwei 况味
kuangwu 矿物
kuangxi 狂喜
kuangye 旷野
kuangyuan 旷远
kuangzha 矿渣
kuangzhang 狂涨
kuangzheng 匡正
kuangzhi 旷职
kuangzhong 框中
kuangzhu 矿主
kuangzi 框子
kuanhou 宽厚
kuankuan 款款
kuankuo 宽阔
kuanrong 宽容
kuanshi 款式
kuanshu 宽恕
kuansong 宽松
kuanti 宽体
kuanwei 宽慰
kuanxian 宽限
kuanxiang 款项
kuanxin 宽心
kuanyou 宽宥
kuanyue 宽约
kuanzhai 宽窄
kuanzhi 款识
kuanzi 款子
kuaqu 跨区
kuaru 跨入
kuashang 跨上
kuasheng 跨省
kuashi 夸饰
kuatai 垮台
kuaxia 胯下
kuayao 夸耀
kuayue 跨越
kuazan 夸赞
kuazhang 夸张
kucao 枯草
kuche 库车
kuchu 苦处
kucun 库存
kudao 哭道
kudu 苦读
kuer 库尔
kufang 库房
kugan 苦干
kugong 苦工
kugua 苦瓜
kuguo 苦果
kuhai 苦海
kuhan 哭喊
kuhei 枯黑
kuhuang 枯黄
kuiben 亏本
kuibu 跬步
kuicai 葵菜
kuide 亏得
kuifa 匮乏
kuifu 亏负
kuihua 葵花
kuijia 盔甲
kuijing 窥镜
kuijiu 愧疚
kuikong 亏空
kuilan 溃烂
kuile 亏了
kuilei 傀儡
kuimen 夔门
kuinan 愧赧
kuining 奎宁
kuipo 窥破
kuiqian 亏欠
kuiran 喟然
kuise 愧色
kuishan 葵扇
kuishi 窥视
kuisun 亏损
kuitao 溃逃
kuitui 溃退
kuitun 奎屯
kuiwang 窥望
kuiwu 魁梧
kuiyang 溃疡
kuizeng 馈赠
kujiao 裤脚
kujie 枯竭
kujiu 苦酒
kuke 库克
kuku 苦苦
kule 苦乐
kuli 苦力
kulian 苦练
kulong 窟窿
kulou 骷髅
kulun 库仑
kumen 苦闷
kuming 苦命
kumu 枯木
kunan 苦难
kunao 苦恼
kunbang 捆绑
kuncheng 捆成
kunchong 昆虫
kundi 昆弟
kundun 困顿
kune 困厄
kunei 库内
kunfa 困乏
kunhuo 困惑
kunjing 困境
kunjiong 困窘
kunju 困局
kunjuan 困倦
kunku 困苦
kunlun 昆仑
kunming 昆明
kunnan 困难
kunqiang 昆腔
kunqu 昆曲
kunrao 困扰
kunren 困人
kunshan 昆山
kunyang 昆阳
kunyu 困于
kunza 捆扎
kuobian 扩编
kuobie 阔别
kuobu 阔步
kuochong 扩充
kuochuo 阔绰
kuoda 扩大
kuohao 括号
kuohu 括弧
kuojian 扩建
kuoqi 阔气
kuorong 扩容
kuosan 扩散
kuoxie 扩写
kuoxiong 扩胸
kuoye 阔叶
kuoyin 扩音
kuozeng 扩增
kuozhan 扩展
kuozhang 扩张
kuozhao 扩招
kuqi 哭泣
kuqiang 哭腔
kuqu 库区
kure 酷热
kuren 苦人
kurong 库容
kusang 哭丧
kuse 苦涩
kusheng 哭声
kushou 枯瘦
kushu 酷暑
kushui 枯水
kusi 酷似
kusong 枯松
kusu 哭诉
kusun 苦笋
kuteng 枯藤
kutong 苦痛
kutou 苦头
kutui 裤腿
kuwei 枯萎
kuxiao 苦笑
kuxin 苦心
kuxing 酷刑
kuxuan 酷炫
kuxue 苦学
kuyao 裤腰
kuye 枯叶
kuyi 苦役
kuyu 苦于
kuzao 枯燥
kuzhan 苦战
kuzhi 枯枝
kuzhong 库中
kuzhu 苦竹
kuzi 裤子
laao 拉奥
laba 喇叭
labi 蜡笔
labu 蜡布
lachang 拉长
lache 拉扯
lachu 拉出
lada 拉大
ladao 拉到
ladian 拉点
lading 拉丁
ladong 拉动
laduan 拉断
laer 拉尔
lafu 拉夫
lagan 拉杆
lage 拉格
lagong 拉弓
lagou 拉钩
laguan 拉管
lahu 拉祜
lahuan 拉环
laiao 莱奥
laiban 来办
laibin 来宾
laicai 来采
laichao 来潮
laici 来此
laidao 来到
laide 来得
laideng 莱登
laidian 来电
laiding 来定
laifan 来犯
laifang 来访
laifeng 来风
laigao 来稿
laige 来个
laiguo 来过
laihua 来华
laihui 来回
laijiang 来讲
laijie 来接
laijing 来京
laikan 来看
laike 来客
lailai 来来
laili 来历
lailin 来临
lailu 来路
laimu 莱姆
lainian 来年
laiqiu 来球
laisheng 来生
laishi 来时
laishui 涞水
laishuo 来说
laisi 莱斯
laitan 来谈
laite 莱特
laitong 来同
laiwan 来晚
laiwang 来往
laiwu 莱芜
laixi 莱西
laixiao 来校
laixin 来信
laiyi 赖以
laiyin 莱茵
laiyu 赖于
laiyuan 来源
laizhang 赖账
laizhe 来者
laizhou 莱州
laizi 来自
laji 垃圾
lajiao 辣椒
lajin 拉近
laju 拉锯
lakai 拉开
lake 拉克
lala 拉拉
lalei 蜡泪
lali 拉力
lalian 拉链
lalong 拉拢
lama 拉马
lamei 拉美
lamen 拉门
lamian 拉面
lamu 拉姆
lanbai 蓝白
lanban 篮板
lanben 蓝本
lanbo 兰波
lanbu 蓝布
lancao 兰草
lanche 缆车
landa 兰大
lande 懒得
landi 蓝底
landian 蓝点
landiao 烂掉
landuo 懒惰
lanfa 滥伐
lanfan 蓝矾
langan 栏杆
langbei 狼狈
langchao 浪潮
langdang 浪荡
langdao 廊道
langdu 朗读
langfang 廊坊
langfei 浪费
langge 朗格
langgu 浪谷
langhua 浪花
langji 狼藉
langjiu 郎酒
langjun 郎君
langlang 朗朗
langman 浪漫
langren 浪人
langrun 朗润
langsong 朗诵
langtao 浪涛
langtou 榔头
languang 蓝光
langyong 浪涌
langzhao 朗照
langzhong 郎中
langzhu 廊柱
langzi 浪子
lanhan 懒汉
lanhe 拦河
lanhei 蓝黑
lanhua 兰花
lanhuo 揽活
lanji 拦击
lanjiang 拦江
lanjie 拦截
lanjing 蓝鲸
lankao 兰考
lanke 兰科
lanken 滥垦
lankuang 篮筐
lankui 蓝盔
lanlan 蓝蓝
lanling 蓝领
lanlv 蓝绿
lanman 烂漫
lanmu 栏目
lanni 烂泥
lanpu 兰谱
lanqing 蓝青
lanqiu 篮球
lanquan 篮圈
lanran 蓝染
lanre 兰若
lanren 懒人
lanse 蓝色
lansha 滥杀
lanshan 蓝衫
lanshang 滥觞
lansheng 缆绳
lanshi 滥施
lanshou 滥收
lanshu 烂熟
lansi 兰斯
lantian 蓝天
lanting 兰亭
lantu 蓝图
lanwang 拦网
lanwei 栏位
lanxia 拦下
lanxian 蓝线
lanxin 兰心
lanxu 拦蓄
lanya 蓝牙
lanyan 蓝眼
lanyao 拦腰
lanyi 蓝衣
lanyong 滥用
lanyu 懒于
lanzao 蓝藻
lanzhi 兰芝
lanzhou 兰州
lanzhu 拦住
lanzi 篮子
lanzu 拦阻
laoba 老爸
laoban 老板
laobao 劳保
laoben 老本
laobing 老兵
laochao 老巢
laochen 老臣
laocheng 老城
laochu 捞出
laocui 劳瘁
laoda 老大
laodan 老旦
laodao 唠叨
laodi 老弟
laodian 老店
laodie 老爹
laodong 劳动
laoer 老二
laofan 捞饭
laofang 牢房
laofu 老夫
laoge 老歌
laogong 老公
laogu 牢固
laohai 涝害
laohan 老汉
laohu 老虎
laohua 老化
laoji 牢记
laojia 老家
laojian 老茧
laojiang 老将
laojiao 老窖
laojie 老街
laojing 老境
laojiu 老旧
laojun 劳军
laokao 牢靠
laoku 劳苦
laola 老辣
laolao 牢牢
laolei 劳累
laoli 劳力
laolian 老练
laoling 老龄
laolu 老路
laolun 劳伦
laoma 老马
laomai 老迈
laomin 劳民
laomo 劳模
laomu 老母
laonian 老年
laoniang 老娘
laonong 老农
laopo 老婆
laoqi 捞起
laoqiang 老腔
laoqu 老区
laoren 老人
laoruo 老弱
laosan 老三
laosao 牢骚
laoshai 落色
laoshan 老山
laoshe 老舍
laoshen 老身
laosheng 老生
laoshi 老师
laoshou 老手
laoshu 老鼠
laosi 老死
laosu 酪素
laosun 老孙
laotang 老汤
laotian 老天
laotie 烙铁
laoting 乐亭
laotou 老头
laowang 老王
laoweng 老翁
laowo 老挝
laowu 劳务
laoxia 烙下
laoxiang 老乡
laoxiong 老兄
laoxu 老许
laoya 老鸦
laoyang 老杨
laoye 老爷
laoyi 劳役
laoyin 烙印
laoying 老鹰
laoyou 老有
laoyu 牢狱
laoyuan 老远
laozai 涝灾
laozhang 老张
laozhao 老赵
laozhe 老者
laozhuang 老庄
laozi 老子
laozu 老祖
laozuo 劳作
lapi 拉坯
laping 拉平
laqi 拉起
laqin 拉琴
laran 蜡染
larou 腊肉
lasa 拉萨
lashang 拉上
lashen 拉伸
lasheng 拉绳
lashou 拉手
lasuo 拉锁
lata 邋遢
late 拉特
laxia 落下
laxian 拉线
laxiang 拉向
layin 拉引
layou 蜡油
layue 腊月
laza 拉杂
lazhe 拉着
lazhi 拉直
lazhu 蜡烛
lazi 辣子
leba 乐吧
lede 乐得
legao 乐高
leguan 乐观
lehu 乐乎
leibao 雷暴
leibi 类比
leibie 类别
leichu 勒出
leida 雷达
leidao 累倒
leidi 泪滴
leidian 雷电
leien 雷恩
leifeng 雷锋
leigong 雷公
leigu 擂鼓
leiguan 雷管
leiguang 泪光
leihen 泪痕
leihu 类乎
leihua 泪花
leihuo 累活
leiji 累计
leijia 累加
leijin 勒紧
leiju 类聚
leiku 类库
leilei 累累
leiliu 泪流
leiluo 磊落
leiman 雷曼
leiming 雷鸣
leiniao 雷鸟
leiqi 垒砌
leiqiu 垒球
leiqu 雷区
leiqun 类群
leiren 类人
leiruo 羸弱
leishe 镭射
leishen 雷神
leisheng 雷声
leishi 累世
leishou 羸瘦
leishu 类书
leishui 泪水
leisi 类似
leiting 雷霆
leitong 雷同
leitu 类图
leitui 类推
leixing 类型
leiyan 泪眼
leiyu 雷雨
leizhui 累赘
lele 乐乐
leling 勒令
lema 勒马
lemin 乐民
lengao 冷傲
lengbian 棱边
lengbu 冷布
lengcang 冷藏
lengceng 崚嶒
lengchao 冷嘲
lengdan 冷淡
lengde 冷得
lengdong 冷冻
lengfan 冷饭
lengfeng 冷风
lengfu 冷敷
lengguang 冷光
lenghan 冷汗
lengjiao 棱角
lengjing 冷静
lengjun 冷峻
lengku 冷酷
lengleng 冷冷
lenglian 冷链
lenglie 冷冽
lengluo 冷落
lengmen 冷门
lengmo 冷漠
lengning 冷凝
lengnuan 冷暖
lengpi 冷僻
lengqi 冷气
lengqing 冷清
lengque 冷却
lengre 冷热
lengse 冷色
lengshan 冷杉
lengshi 冷食
lengshui 冷水
lengsuo 冷缩
lengtai 棱台
lengtian 冷天
lengxian 棱线
lengxiao 冷笑
lengyan 冷眼
lengyin 冷饮
lengyue 冷月
lengzhan 冷战
lengzhu 愣住
lengzhui 棱锥
leping 乐平
lequ 乐趣
leshan 乐山
leshi 乐事
lesuo 勒索
letian 乐天
letu 乐土
leye 乐业
leyi 乐意
leyu 乐于
leyuan 乐园
lezhi 乐至
lian 立案
lianai 恋爱
lianbai 连败
lianbang 联邦
lianbi 练笔
lianbiao 链表
lianbing 练兵
lianbu 脸部
liancha 联查
lianchan 联产
lianchang 连唱
liancheng 连成
lianchi 廉耻
lianchu 练出
lianchuan 连串
lianci 连词
lianda 联大
liandai 连带
liandan 脸蛋
liandao 镰刀
liandian 连点
liandong 联动
liandu 连读
liandui 连队
lianfang 联防
liang 里昂
liangan 两岸
liangang 炼钢
liangba 两把
liangban 两半
liangbei 两倍
liangben 两本
liangbi 两臂
liangbian 两边
liangbiao 量表
liangbin 两鬓
liangbu 两步
liangcang 粮仓
liangce 两侧
liangceng 两层
liangcha 凉茶
liangchan 量产
liangchang 两场
liangchao 两朝
liangche 两车
liangchen 良辰
liangcheng 量程
liangchu 两处
liangchuan 两船
liangci 两次
liangda 两大
liangdai 两代
liangdan 两弹
liangdang 两党
liangdao 两道
liangde 两德
liangdeng 亮灯
liangdi 两地
liangdian 亮点
liangdu 亮度
liangduan 两端
liangdui 两队
liangdun 两顿
liangduo 良多
liange 恋歌
lianger 两耳
liangfa 良法
liangfang 良方
liangfen 两份
liangfeng 凉风
liangfu 两幅
lianggan 晾干
lianggang 两杠
lianggao 两高
liangge 两个
lianggen 两根
lianggu 两股
liangguan 两罐
liangguang 亮光
liangguo 两国
lianghan 两汉
lianghang 两行
lianghao 良好
lianghe 两盒
liangheng 两横
lianghua 量化
lianghuai 两淮
lianghui 两会
liangji 两极
liangjia 两家
liangjian 两件
liangjiang 两江
liangjiao 两脚
liangjie 谅解
liangjin 两晋
liangjiu 良久
liangju 两句
liangjuan 两卷
liangjun 两军
liangkai 梁楷
liangke 两颗
liangkou 两口
liangkuai 两块
liangkuan 两款
lianglei 两类
liangli 亮丽
lianglian 两联
liangliang 两辆
lianglie 两列
lianglu 两路
lianglun 两轮
liangma 良马
liangmao 凉帽
liangmei 两枚
liangmen 两门
liangmian 两面
liangmin 良民
liangming 两名
liangmou 梁某
liangnan 两难
liangneng 良能
liangnian 两年
liangniao 椋鸟
liangong 联共
liangpai 两派
liangpang 两旁
liangpeng 凉棚
liangpi 两批
liangpian 两篇
liangpiao 粮票
liangping 两瓶
liangqi 亮起
liangqian 两千
liangqiang 踉跄
liangqing 两情
liangqiu 两球
liangquan 两圈
liangren 两人
liangri 两日
liangsai 两腮
liangsan 两三
liangse 两色
liangshai 晾晒
liangshan 梁山
liangshang 梁上
liangshen 量身
liangsheng 两声
liangshi 粮食
liangshou 两手
liangshu 两束
liangshuang 凉爽
liangshui 凉水
liangsou 两艘
liangsui 两岁
liangsuo 两所
liangtai 两台
liangtang 亮堂
liangtao 两套
liangtian 两天
liangtiao 两条
liangting 凉亭
liangtong 两桶
liangtou 两头
liangtu 良图
liangtui 两腿
lianguan 连贯
liangwan 两万
liangwang 梁王
liangwei 两位
liangxi 两膝
liangxian 两线
liangxiang 亮相
liangxiao 两校
liangxie 凉鞋
liangxin 良心
liangxing 良性
liangyan 两眼
liangyang 两样
liangyao 良药
liangye 两页
liangyi 两翼
liangyong 两用
liangyou 粮油
liangyuan 两院
liangze 两则
liangzhan 两站
liangzhang 两张
liangzhe 两者
liangzhi 两只
liangzhong 两种
liangzhou 两周
liangzhu 梁祝
liangzi 量子
liangzu 两组
liangzuo 两座
lianhe 联合
lianheng 连横
lianhong 脸红
lianhua 莲花
lianhuan 连环
lianhui 联会
lianji 联机
lianjia 廉价
lianjiao 炼焦
lianjie 连接
lianjin 炼金
lianjiu 练就
lianju 链锯
lianjun 联军
liankong 脸孔
lianlei 连累
lianli 廉吏
lianlian 连连
lianlu 链路
lianlun 链轮
lianluo 联络
lianmang 连忙
lianmei 联袂
lianmeng 联盟
lianmian 连绵
lianmin 怜悯
lianming 联名
lianmu 帘幕
liannian 连年
lianou 莲藕
lianpan 脸盘
lianpang 脸庞
lianpen 脸盆
lianpeng 莲蓬
lianpi 脸皮
lianpian 连片
lianpo 廉颇
lianpu 脸谱
lianqian 脸前
lianqiao 连翘
lianqing 恋情
lianqiu 链球
lianquan 练拳
lianren 恋人
lianri 连日
lianrong 敛容
lianru 连入
liansai 联赛
lianse 脸色
lianshan 连山
lianshang 脸上
liansheng 连胜
lianshi 链式
lianshou 联手
lianshu 脸书
lianshui 涟水
liansuo 连锁
liantang 脸膛
lianti 连踢
liantian 连天
liantiao 链条
liantie 炼铁
liantong 联通
lianwang 联网
lianwu 练武
lianxi 联系
lianxian 连线
lianxiang 联想
lianxing 脸形
lianxu 连续
lianyan 潋滟
lianye 连夜
lianyi 涟漪
lianyin 联姻
lianying 连营
lianyong 连用
lianyou 炼油
lianyu 炼狱
lianyun 联运
lianzai 连载
lianzao 连遭
lianzhan 恋战
lianzhang 连长
lianzheng 廉政
lianzhi 炼制
lianzhou 连州
lianzhu 连珠
lianzhui 连缀
lianzi 链子
lianzu 联组
lianzuo 连坐
liao 利奥
liaobei 辽北
liaobo 撩拨
liaocao 潦草
liaochao 辽朝
liaodai 辽代
liaodao 料到
liaode 聊得
liaodong 辽东
liaodou 料斗
liaodu 疗毒
liaofa 疗法
liaohe 辽河
liaojie 了解
liaojin 辽金
liaojun 辽军
liaokai 撩开
liaokuo 辽阔
liaolai 聊赖
liaoli 料理
liaoliang 嘹亮
liaoliao 聊聊
liaoluo 寥落
liaoning 辽宁
liaoqi 聊起
liaoqiao 料峭
liaoque 了却
liaoran 了然
liaorao 缭绕
liaoren 撩人
liaoshang 疗伤
liaoshen 辽沈
liaoshi 辽史
liaoshu 僚属
liaotian 聊天
liaowang 瞭望
liaoxi 辽西
liaoxia 撂下
liaoxiang 料想
liaoxiao 疗效
liaoyang 疗养
liaoyuan 燎原
liaozhai 聊斋
liaozhe 聊着
liaozi 料子
liba 篱笆
libai 李白
libao 力保
libei 立碑
libi 利弊
libian 里边
libie 离别
libin 礼宾
libing 礼兵
libu 吏部
licai 理财
lice 里侧
licha 理查
lichang 立场
lichao 历朝
lichen 李晨
licheng 里程
lichou 离愁
lichu 理出
lichun 立春
lici 历次
lida 力大
lidai 历代
lidang 理当
lidao 力道
lide 离得
lideng 立等
lidi 离地
lidian 力点
liding 立定
lidong 立冬
lidu 力度
lidui 离队
liduo 利多
liebao 猎豹
liebian 裂变
liebiao 列表
liebin 列宾
liebu 猎捕
lieche 列车
liecheng 裂成
liechu 列出
liedao 列岛
liedu 烈度
liedui 列队
liefeng 裂缝
liefu 列夫
liegou 猎狗
lieguo 列国
liehen 裂痕
liehu 猎狐
liehua 裂化
liehuo 烈火
liejie 裂解
lieju 列举
liekai 裂开
liekou 裂口
lielie 猎猎
liema 劣马
lieming 列明
liening 列宁
lienv 烈女
lieqiang 列强
liequan 猎犬
lieque 列缺
lier 里尔
lieren 猎人
lieri 烈日
lieru 列入
liesha 猎杀
lieshang 列上
lieshi 烈士
lieshu 列数
liewei 列为
liewen 裂纹
liewu 猎物
liexi 列席
liexiang 列项
liexing 烈性
lieyan 烈焰
lieying 猎鹰
liezhi 劣质
liezhuan 列传
liezi 列子
liezui 咧嘴
lifa 立法
lifang 立方
lifo 礼佛
lifu 礼服
ligan 立竿
ligang 离岗
ligen 里根
ligong 理工
liguan 立管
ligui 李鬼
liguo 立国
lihai 厉害
lihao 利好
lihe 离合
lihei 黧黑
lihen 离恨
lihou 立候
lihu 立户
lihua 梨花
lihuan 罹患
lihui 理会
lihun 离婚
liji 立即
lijia 离家
lijian 利剑
lijiang 丽江
lijiao 立交
lijie 理解
lijin 礼金
lijing 历经
lijiu 历久
liju 例句
lijuan 丽娟
likai 离开
like 立刻
likui 李逵
lilai 历来
lili 莉莉
lilian 历练
liliang 力量
lilin 莅临
liling 醴陵
lilong 里弄
lilu 里路
lilun 理论
liluo 利落
lilv 利率
lima 立马
liman 黎曼
limao 礼貌
limi 厘米
limian 里面
limin 利民
liming 黎明
limou 李某
limu 梨木
lina 李娜
linan 罹难
linao 林奥
linba 淋巴
linbang 邻邦
linbian 林边
linbiao 林彪
linbie 临别
linbing 淋病
linchang 林场
linchao 临朝
lincheng 临城
linchong 林冲
linchuan 临川
linchuang 临床
lincun 邻村
linda 琳达
lindai 林带
lindao 临到
linde 淋得
lindi 林地
linfei 磷肥
linfen 临汾
linfeng 临风
lingai 令爱
lingan 另案
lingang 临港
lingba 零八
lingbao 灵宝
lingbei 岭北
lingbi 灵璧
lingbian 灵便
lingbing 领兵
lingbo 凌波
lingchang 领唱
lingchen 凌晨
lingchong 铃虫
lingchu 令出
lingdai 领带
lingdang 铃铛
lingdao 领导
lingdi 领地
lingdian 零点
lingding 另定
lingdong 灵动
lingdu 零度
lingdui 领队
linger 铃儿
lingfu 另附
linggan 灵感
linggu 铃鼓
lingguai 灵怪
lingguang 灵光
linghai 领海
linghang 领航
linghui 领会
linghun 灵魂
linghuo 灵活
lingji 灵机
lingjia 另加
lingjian 零件
lingjiao 领教
lingjie 领结
lingjin 领进
lingjiu 灵柩
lingjun 领军
lingkong 凌空
lingkou 领口
linglang 令郎
linglei 另类
lingli 伶俐
lingling 玲玲
linglong 玲珑
linglu 领陆
lingluan 凌乱
lingluo 零落
linglve 领略
lingmao 翎毛
lingmin 灵敏
lingmu 陵墓
lingnan 岭南
lingpao 领跑
lingpi 另辟
lingqi 灵气
lingqian 零钱
lingqiao 灵巧
lingqin 陵寝
lingqu 领取
lingren 令人
lingru 凌辱
lingsan 零散
lingshang 领上
lingshe 另设
lingsheng 铃声
lingshi 零食
lingshou 零售
lingshu 零数
lingshui 领水
lingsui 零碎
lingta 领他
lingtang 灵堂
lingting 聆听
lingtong 灵通
lingtou 零头
lingtu 领土
linguan 林冠
linguo 邻国
lingwai 另外
lingwei 零位
lingwu 领悟
lingxia 零下
lingxian 领先
lingxing 另行
lingxiong 令兄
lingxiu 领袖
lingxuan 另选
lingyan 灵验
lingyang 领养
lingyou 另有
lingyu 领域
lingyuan 陵园
lingyun 凌云
lingzhe 领着
lingzheng 令正
lingzhi 灵芝
lingzhu 领主
lingzi 领子
lingzou 领奏
lingzun 令尊
linhai 林海
linhe 临河
linhuo 磷火
linian 理念
lining 李宁
linjia 邻家
linjian 林间
linjiang 临江
linjie 临街
linjin 临近
linju 邻居
linjun 淋菌
linken 林肯
linkong 临空
linkuang 磷矿
linli 林立
linlie 凛冽
linlin 琳琳
linlv 淋滤
linmen 临门
linmo 临摹
linmou 林某
linmu 林木
linnai 林奈
linnan 临难
linnei 林内
linpian 鳞片
linqing 临清
linqu 林区
linran 凛然
linren 邻人
linrong 淋溶
linse 吝啬
linsen 林森
linshang 淋上
linshi 临时
linshui 临睡
linsi 临死
linsuan 磷酸
lintao 临洮
lintiao 檩条
lintie 临帖
lintong 临潼
linwang 林网
linwei 临危
linxi 吝惜
linxia 林下
linxian 临县
linxing 临行
linxu 林旭
linxuan 遴选
linxue 林学
linxun 嶙峋
linye 林业
linyi 临沂
linyin 林荫
linyu 淋浴
linzhang 临漳
linzhi 磷脂
linzhong 临终
linzi 林子
linzuo 邻座
lipao 礼炮
lipei 理赔
lipin 礼品
liqi 力气
liqian 李倩
liqiang 李强
liqing 理清
liqiu 力求
liqu 离去
liquan 利权
liqun 离群
lirang 礼让
liren 历任
liru 例如
lirun 利润
liruo 力弱
lisan 离散
lisao 离骚
lise 栗色
lisha 丽莎
lishan 骊山
lishen 立身
lisheng 厉声
lishi 历史
lishu 隶属
lishui 澧水
lishun 理顺
lisi 李四
lisong 李嵩
lisu 礼俗
lisuo 利索
litang 礼堂
litao 李涛
liti 立体
litian 犁田
litie 李铁
litou 里头
litu 力图
litui 力推
liuan 刘安
liubai 六百
liubang 刘邦
liubei 刘备
liubi 流弊
liubian 柳编
liubiao 刘表
liubin 刘斌
liubing 溜冰
liubu 六部
liucao 溜槽
liuce 六册
liuchan 流产
liuchang 流畅
