藏匿	cangni
晨风	chenfeng
最大化	zuidahua
晨练	chenlian
星辰变	xingchenbian
明子	mingzi
暖阳	nuanyang
明了	mingliao
暖通	nuantong
盟友	mengyou
明达	mingda
明确	mingque
量力而行	lianglierxing
明基	mingji
明矾	mingfan
暖春	nuanchun
量力而为	lianglierwei
明月	mingyue
明胶	mingjiao
明示	mingshi
明朝	mingchao
明志	mingzhi
暖壶	nuanhu
明教	mingjiao
明天	mingtian
明理	mingli
明灭	mingmie
明末	mingmo
明珠	mingzhu
明眸	mingmou
明目	mingmu
电脑桌	diannaozhuo
明眼	mingyan
明渠	mingqu
明治	mingzhi
明湖	minghu
明洁	mingjie
明光	mingguang
明清	mingqing
明水	mingshui
蚝油	haoyou
日月潭	riyuetan
明月清风	mingyueqingfeng
暖流	nuanliu
明澈	mingche
日月星辰	riyuexingchen
明明	mingming
暧昧	aimei
明早	mingzao
蛆虫	quchong
明日	mingri
明显	mingxian
明星	mingxing
明鉴	mingjian
明暗	mingan
蜉蝣	fuyou
明路	minglu
日用品	riyongpin
日月蹉跎	riyuecuotuo
明喻	mingyu
盟国	mengguo
电力网	dianliwang
明快	mingkuai
电力局	dianliju
暖心	nuanxin
明心	mingxin
明火	minghuo
明灯	mingdeng
暖炉	nuanlu
盟军	mengjun
蚁力神	yilishen
暖色	nuanse
明儿	minger
明镜	mingjing
明白	mingbai
暖气	nuanqi
明秀	mingxiu
明智	mingzhi
明知	mingzhi
明德	mingde
明年	mingnian
明处	mingchu
日月重光	riyuechongguang
暖冬	nuandong
暖瓶	nuanping
暖意	nuanyi
明净	mingjing
暖阁	nuange
明道	mingdao
明辨	mingbian
明媚	mingmei
日月如梭	riyuerusuo
明君	mingjun
明代	mingdai
明公	minggong
暖风	nuanfeng
明华	minghua
明线	mingxian
明细	mingxi
盟约	mengyue
明证	mingzheng
盟主	mengzhu
明主	mingzhu
暖房	nuanfang
明亮	mingliang
明说	mingshuo
明朗	minglang
明文	mingwen
时节	shijie
野菜	yecai
野草	yecao
野营	yeying
时区	shiqu
时薪	shixin
野花	yehua
昙花	tanhua
时隙	shixi
时限	shixian
野熊	yexiong
野马	yema
野鸡	yeji
时髦	shimao
时辰	shichen
时运不济	shiyunbuji
里布	libu
坚韧不拔	jianrenbuba
易地而处	yidierchu
时期	shiqi
时态	shitai
时域	shiyu
野地	yedi
旱地	handi
时运	shiyun
蠕动	rudong
野趣	yequ
暴露无遗	baoluwuyi
时过境迁	shiguojingqian
里弄	lilong
晴雨表	qingyubiao
时政	shizheng
暗无天日	anwutianri
时事	shishi
归去来兮	guiqulaixi
野战	yezhan
野餐	yecan
时光	shiguang
里水	lishui
时尚	shishang
时弊	shibi
里海	lihai
里脊	liji
时时	shishi
蠕虫	ruchong
时日	shiri
里昂	liang
野果	yeguo
野味	yewei
显示器	xianshiqi
野史	yeshi
电动车	diandongche
野鸭	yeya
野性	yexing
显示屏	xianshiping
野心	yexin
时序	shixu
野火	yehuo
野炊	yechui
时宜	shiyi
旱灾	hanzai
时空	shikong
时鲜	shixian
野鸟	yeniao
野外	yewai
时钟	shizhong
野兔	yetu
野猪	yezhu
野狼	yelang
野狗	yegou
野猫	yemao
野鬼	yegui
时气	shiqi
时势	shishi
时速	shisu
里格	lige
里根	ligen
时机	shiji
电动机	diandongji
时长	shichang
旱季	hanji
时务	shiwu
野生	yesheng
野牛	yeniu
时行	shixing
时段	shiduan
时延	shiyan
里程	licheng
野种	yezhong
时称	shicheng
旱船	hanchuan
时差	shicha
里头	litou
时装	shizhuang
时间	shijian
野兽	yeshou
时效	shixiao
时新	shixin
量才录用	liangcailuyong
时代	shidai
电吉他	dianjita
时值	shizhi
野合	yehe
时候	shihou
暑假	shujia
时分	shifen
野人	yeren
时人	shiren
时令	shiling
时经	shijing
里约	liyue
时运亨通	shiyunhengtong
时评	shiping
时刻	shike
野蛮	yeman
时文	shiwen
师范	shifan
旦暮	danmu
量子	liangzi
虾子	xiazi
师承	shicheng
虾皮	xiapi
师院	shiyuan
量能	liangneng
师友	shiyou
师大	shida
是否	shifou
旺盛	wangsheng
是故	shigu
晴天霹雳	qingtianpili
晴雨	qingyu
时来运转	shilaiyunzhuan
晴雯	qingwen
量刑	liangxing
暴殄天物	baotiantianwu
晴天	qingtian
师表	shibiao
虾球	xiaqiu
冒天下之大不韪	maotianxiazhidabuwei
暖融融	nuanrongrong
量规	lianggui
日理万机	riliwanji
是非	shifei
题目	timu
量具	liangju
师法	shifa
旺旺	wangwang
明珠暗投	mingzhuantou
蜻蜓	qingting
愚夫愚妇	yufuyufu
是啊	shia
是吗	shima
题跋	tiba
师兄	shixiong
师团	shituan
旺财	wangcai
明正典刑	mingzhengdianxing
量贩	liangfan
题壁	tibi
是以	shiyi
量度	liangdu
题库	tiku
虾米	xiami
题字	tizi
题写	tixie
晴空	qingkong
师祖	shizu
题解	tijie
题名	timing
虾饺	xiajiao
里瓦尔多	liwaerduo
旺铺	wangpu
旦夕	danxi
是的	shide
量杯	liangbei
题材	ticai
师长	shizhang
旺季	wangji
题辞	tici
师徒	shitu
师德	shide
师生	shisheng
量程	liangcheng
虾条	xiatiao
师部	shibu
师资	shizi
蜂王浆	fengwangjiang
师尊	shizun
量产	liangchan
师道	shidao
师弟	shidi
师门	shimen
晴好	qinghao
师姐	shijie
师妹	shimei
师娘	shiniang
旺仔	wangzai
师公	shigong
虾仁	xiaren
是个	shige
时至今日	shizhijinri
师父	shifu
师爷	shiye
师傅	shifu
量化	lianghua
题旨	tizhi
师母	shimu
晴纶	qinglun
量比	liangbi
题为	tiwei
师训	shixun
旺市	wangshi
题记	tiji
量词	liangci
师旅	shilv
师说	shishuo
晴朗	qinglang
贤妻良母	xianqiliangmu
冒菜	maocai
虫牙	chongya
虫草	chongcao
早茶	zaocha
虫子	chongzi
早孕	zaoyun
冒出	maochu
冒险	maoxian
申通	shentong
早在	zaozai
坚贞不屈	jianzhenbuqu
畅达	changda
日上三竿	rishangsangan
早期	zaoqi
早春	zaochun
肾上腺素	shenshangxiansu
肾上腺	shenshangxian
冒用	maoyong
虫豸	chongzhi
申城	shencheng
早起	zaoqi
冒进	maojin
早场	zaochang
早霜	zaoshuang
是非颠倒	shifeidiandao
早班	zaoban
早上	zaoshang
早点	zaodian
早餐	zaocan
虫眼	chongyan
早泄	zaoxie
虫洞	chongdong
冒泡	maopao
早晨	zaochen
冒昧	maomei
早早	zaozao
早日	zaori
早晚	zaowan
虫蛀	chongzhu
畅顺	changshun
冒号	maohao
虫鸣	chongming
是非曲直	shifeiquzhi
申屠	shentu
早已	zaoyi
畅快	changkuai
冒烟	maoyan
是非之地	shifeizhidi
野战军	yezhanjun
申冤	shenyuan
早安	zaoan
畅销	changxiao
冒名	maoming
早饭	zaofan
虫卵	chongluan
申报	shenbao
早操	zaocao
冒顶	maoding
申敕	shenchi
申述	shenshu
早稻	zaodao
早先	zaoxian
早年	zaonian
早秋	zaoqiu
是非自有公论	shifeiziyougonglun
明眸善睐	mingmoushanlai
早产	zaochan
申辩	shenbian
早上好	zaoshanghao
早退	zaotui
早婚	zaohun
畅叙	changxu
是非分明	shifeifenming
申领	shenling
明目张胆	mingmuzhangdan
早熟	zaoshu
冒充	maochong
申请	shenqing
早衰	zaoshuai
早市	zaoshi
早恋	zaolian
畅谈	changtan
申诉	shensu
虫族	chongzu
时光荏苒	shiguangrenran
晃荡	huangdang
暗渡陈仓	anduchencang
电光石火	dianguangshihuo
日削月割	rixueyuege|rixiaoyuege
日清月结	riqingyuejie
晃动	huangdong
暗淡无光	andanwuguang
暖洋洋	nuanyangyang
日光浴	riguangyu
晃晃	huanghuang
螳螂	tanglang
临深履薄	linshenlvbo
电光火石	dianguanghuoshi
日光灯	riguangdeng
临渴掘井	linkejuejing
临渊羡鱼	linyuanxianyu
最小值	zuixiaozhi
旱涝保收	hanlaobaoshou
最小化	zuixiaohua
电源线	dianyuanxian
曳光弹	yeguangdan
日式	rishi
临时工	linshigong
明日黄花	mingrihuanghua
电影节	dianyingjie
日落	riluo
日暮	rimu
晶莹	jingying
日子	rizi
蝎子	xiezi
日出	richu
电影院	dianyingyuan
昌隆	changlong
日历	rili
晶石	jingshi
昌盛	changsheng
日期	riqi
日服	rifu
日月	riyue
日用	riyong
昌吉	changji
日志	rizhi
日元	riyuan
日霜	rishuang
愚昧无知	yumeiwuzhi
昌都	changdu
日增	rizeng
日珥	rier
日下	rixia
昌平	changping
日来	rilai
日班	riban
是是非非	shishifeifei
星星点点	xingxingdiandian
蜻蜓点水	qingtingdianshui
曝光	baoguang
日光	riguang
日清	riqing
日常	richang
昌河	changhe
昌明	changming
明晃晃	minghuanghuang
日晕	riyun
日冕	rimian
曝晒	pushai
日晒	rishai
日晷	rigui
日照	rizhao
日影	riying
日中	rizhong
昌图	changtu
日内	rinei
日戳	richuo
照明灯	zhaomingdeng
晶粒	jingli
星星之火	xingxingzhihuo
蝙蝠衫	bianfushan
日神	rishen
日色	rise
里里外外	liliwaiwai
日夕	rixi
日久	rijiu
日报	ribao
临时抱佛脚	linshibaofojiao
日后	rihou
螳螂捕蝉	tanglangbuchan
旷日持久	kuangrichijiu
明明白白	mingmingbaibai
螳螂捕蝉黄雀在后	tanglangbuchanhuangquezaihou
蚍蜉撼树	pifuhanshu
曝气	baoqi
电影票	dianyingpiao
日本	riben
晶格	jingge
晶片	jingpian
日程	richeng
昌乐	changle
昌黎	changli
日系	rixi
日头	ritou
日新	rixin
日产	richan
日立	rili
日妆	rizhuang
日益	riyi
蜘蛛侠	zhizhuxia
蝙蝠侠	bianfuxia
晶体	jingti
晃晃悠悠	huanghuangyouyou
日食	rishi
蝴蝶结	hudiejie
日线	rixian
照明弹	zhaomingdan
影影绰绰	yingyingchuochuo
日语	riyu
日记	riji
日夜	riye
时时刻刻	shishikeke
日日夜夜	ririyeye
蝇子	yingzi
影响力	yingxiangli
曼哈顿	manhadun
蛙鸣蝉噪	wamingchanzao
蜈蚣	wugong
蜂鸣器	fengmingqi
电路图	dianlutu
蜗轮	wolun
日喀则	rikaze
蜗居	woju
暗中摸索	anzhongmosuo
蜗杆	wogan
电路板	dianluban
蜗牛	woniu
蝇头	yingtou
师兄弟	shixiongdi
暴跳如雷	baotiaorulei
电吹风	dianchuifeng
蛊惑	guhuo
旱鸭子	hanyazi
曼联	manlian
曼声	mansheng
临界点	linjiedian
曙光	shuguang
蛔虫	huichong
螺蛳	luosi
蝈蝈	guoguo
螺距	luoju
螺帽	luomao
螺钉	luoding
星罗棋布	xingluoqibu
螺杆	luogan
螺栓	luoshuan
螺柱	luozhu
曼舞	manwu
坚甲利兵	jianjialibing
曼妙	manmiao
临界值	linjiezhi
曼谷	mangu
螺母	luomu
螺丝	luosi
螺纹	luowen
螺旋	luoxuan
愚蒙	yumeng
遇险	yuxian
遇难	yunan
愚蠢	yuchun
贤内助	xianneizhu
愚爱	yuai
显山露水	xianshanlushui
愚顽	yuwan
愚弄	yunong
遇到	yudao
明见万里	mingjianwanli
映现	yingxian
日内瓦	rineiwa
愚昧	yumei
映日	yingri
蛐蛐	ququ
映照	yingzhao
愚忠	yuzhong
遇见	yujian
愚见	yujian
愚懦	yunuo
遇害	yuhai
映衬	yingchen
愚钝	yudun
帅印	shuaiyin
帅锅	shuaiguo
愚拙	yuzhuo
帅气	shuaiqi
帅哥	shuaige
遇刺	yuci
映射	yingshe
愚笨	yuben
愚痴	yuchi
愚公	yugong
遇合	yuhe
映像	yingxiang
愚人	yuren
映红	yinghong
愚妄	yuwang
电工	diangong
电荷	dianhe
电子	dianzi
电阻	dianzu
影剧院	yingjuyuan
电能	dianneng
电台	diantai
电码	dianma
电大	dianda
虬髯	qiuran
电压	dianya
电感	diangan
电厂	dianchang
电磁	dianci
虬龙	qiulong
晓以大义	xiaoyidayi
虬须	qiuxu
电力	dianli
电脑	diannao
电动	diandong
野心勃勃	yexinbobo
电场	dianchang
电耗	dianhao
电击	dianji
电表	dianbiao
电珠	dianzhu
电平	dianping
电眼	dianyan
电汇	dianhui
电池	dianchi
电波	dianbo
电源	dianyuan
电法	dianfa
电光	dianguang
坚壁清野	jianbiqingye
螳臂当车	tangbidangche
电测	diance
电流	dianliu
电量	dianliang
暇日	xiari
电晕	dianyun
电影	dianying
电喷	dianpen
电路	dianlu
电器	dianqi
电车	dianche
电网	dianwang
电导	diandao
电刷	dianshua
电煤	dianmei
电业	dianye
电焊	dianhan
电灯	diandeng
电磨	dianmo
电炉	dianlu
电容	dianrong
电视	dianshi
电解	dianjie
电钻	dianzuan
电锯	dianju
电镀	diandu
电锤	dianchui
电铲	dianchan
电铃	dianling
电报	dianbao
螳臂挡车	tangbidangche
电控	diankong
电白	dianbai
电气	dianqi
电热	dianre
电抗	diankang
电极	dianji
电棒	dianbang
电棍	diangun
电木	dianmu
电桥	dianqiao
电梯	dianti
电机	dianji
电笔	dianbi
电务	dianwu
电筒	diantong
晓以利害	xiaoyilihai
昵称	nicheng
电瓶	dianping
电疗	dianliao
电站	dianzhan
电竞	dianjing
电闸	dianzha
电闪	dianshan
电门	dianmen
电传	dianchuan
归心似箭	guixinsijian
电位	dianwei
电价	dianjia
电化	dianhua
电信	dianxin
电线	dianxian
电费	dianfei
电缆	dianlan
电弧	dianhu
日以继夜	riyijiye
电扇	dianshan
电讯	dianxun
暴发户	baofahu
电离	dianli
电话	dianhua
电商	dianshang
电文	dianwen
旷工	kuanggong
显著	xianzhu
旷荡	kuangdang
旷世	kuangshi
显荣	xianrong
旷职	kuangzhi
暗度陈仓	anduchencang
显圣	xiansheng
旷古	kuanggu
显存	xiancun
旷达	kuangda
显达	xianda
显示	xianshi
显露	xianlu
颗粒无收	keliwushou
显赫	xianhe
显形	xianxing
显现	xianxian
显卡	xianka
显学	xianxue
电灯泡	diandengpao
蝼蛄	lougu
显明	xianming
旷野	kuangye
易燃易爆	yiranyibao
时断时续	shiduanshixu
显影	xianying
蝼蚁	louyi
星火燎原	xinghuoliaoyuan
旷废	kuangfei
显然	xianran
电烙铁	dianlaotie
里应外合	liyingwaihe
显扬	xianyang
明火执仗	minghuozhizhang
显要	xianyao
电焊机	dianhanji
显得	xiande
显微	xianwei
显灵	xianling
显像	xianxiang
晕菜	yuncai
晏子	yanzi
蛇皮	shepi
电视台	dianshitai
坚定不移	jiandingbuyi
晕厥	yunjue
晚礼服	wanlifu
蛇胆	shedan
电视塔	dianshita
晕场	yunchang
晴空万里	qingkongwanli
蛇毒	shedu
电视卡	dianshika
晕眩	yunxuan
蚁穴溃堤	yixuekuidi
蛇蝎	shexie
蜿蜒	wanyan
蛇蜕	shetui
螟蛉	mingling
明察暗访	mingchaanfang
蛇足	shezu
蛇口	shekou
监视器	jianshiqi
电容器	dianrongqi
晕车	yunche
晕圈	yunquan
电视剧	dianshiju
晓之以理	xiaozhiyili
鉴定书	jiandingshu
蛇精	shejing
晕针	yunzhen
蟾宫折桂	changongzhegui
电视柜	dianshigui
电视机	dianshiji
明察秋毫不见舆薪	mingchaqiuhaobujianyuxin
蛇行	shexing
蛇年	shenian
电视片	dianshipian
晕血	yunxue
晕船	yunchuan
监守自盗	jianshouzidao
明察秋毫	mingchaqiuhao
蛇头	shetou
野鹤闲云	yehexianyun
明窗净几	mingchuangjingji
蛇妖	sheyao
蛇女	shenv
鉴定人	jiandingren
蛇纹	shewen
晚节	wanjie
晨钟暮鼓	chenzhongmugu
昭然若揭	zhaoranruojie
晚了	wanle
临危不惧	linweibuju
昂达	angda
临危不挠	linweibunao
晚期	wanqi
晚春	wanchun
易碎	yisui
易县	yixian
易用	yiyong
临危受命	linweishouming
易地	yidi
晚霞	wanxia
晚霜	wanshuang
易于	yiyu
照猫画虎	zhaomaohuahu
易事	yishi
日久天长	rijiutianchang
晚辈	wanbei
晚上	wanshang
晚点	wandian
晚餐	wancan
晚潮	wanchao
晚清	wanqing
易水	yishui
易学	yixue
明争暗斗	mingzhengandou
晚归	wangui
蟾蜍	chanchu
暴饮暴食	baoyinbaoshi
昂贵	anggui
剔骨	tigu
易帜	yizhi
日久见人心	rijiujianrenxin
畅销书	changxiaoshu
歇业	xieye
易爆	yibao
易燃	yiran
晚唐	wantang
紧锣密鼓	jinluomigu
晚宴	wanyan
蟾宫	changong
旦夕祸福	danxihuofu
旦夕之间	danxizhijian
晚安	wanan
歇宿	xiesu
昂然	angran
易名	yiming
电饭锅	dianfanguo
晚报	wanbao
电解质	dianjiezhi
昂扬	angyang
易手	yishou
临危授命	linweishouming
冒名顶替	maomingdingti
影印本	yingyinben
晚稻	wandao
晚年	wannian
遏制	ezhi
晚生	wansheng
易行	yixing
歇息	xiexi
日久生情	rijiushengqing
晚秋	wanqiu
晚装	wanzhuang
昂首	angshou
昂立	angli
晚妆	wanzhuang
果然如此	guoranruci
晚婚	wanhun
晚会	wanhui
电饭煲	dianfanbao
晚风	wanfeng
易位	yiwei
易人	yiren
易经	yijing
明镜高悬	mingjinggaoxuan
易主	yizhu
昕薇	xinwei
明白了当	mingbailiaodang|mingbailedang
最后通牒	zuihoutongdie
蜂拥而至	fengyongerzhi
蜂拥而上	fengyongershang
坚持不渝	jianchibuyu
坚持不懈	jianchibuxie
电热毯	dianretan
日报表	ribaobiao
蝗虫	huangchong
蚯蚓	qiuyin
电热器	dianreqi
易拉宝	yilabao
蝗灾	huangzai
虾兵蟹将	xiabingxiejiang
时势造英雄	shishizaoyingxiong
易拉罐	yilaguan
紧接着	jinjiezhe
明哲保身	mingzhebaoshen
监护人	jianhuren
电气化	dianqihua
畅所欲言	changsuoyuyan
歇后语	xiehouyu
果蔬	guoshu
果子	guozi
果皮	guopi
果脯	guofu
果腹	guofu
晒干	shaigan
果真	guozhen
晒场	shaichang
归根到底	guigendaodi
果珍	guozhen
果汁	guozhi
果酒	guojiu
明枪易躲暗箭难防	mingqiangyiduoanjiannanfang
蜥蜴	xiyi
果蝇	guoying
明枪暗箭	mingqianganjian
明查暗访	mingchaanfang
果味	guowei
果园	guoyuan
晒图	shaitu
果肉	guorou
果敢	guogan
果断	guoduan
果糖	guotang
颗粒	keli
临机应变	linjiyingbian
照本宣科	zhaobenxuanke
果实	guoshi
果然	guoran
照相馆	zhaoxiangguan
果报	guobao
果树	guoshu
果木	guomu
照相机	zhaoxiangji
果核	guohe
果香	guoxiang
果盘	guopan
果冻	guodong
果毅	guoyi
果决	guojue
果酱	guojiang
紧要关头	jinyaoguantou
果奶	guonai
是可忍孰不可忍	shikerenshubukeren
是可忍孰不可忍	shikerenshubukeren
果仁	guoren
晒伤	shaishang
日本人	ribenren
归根结蒂	guigenjiedi
归根结底	guigenjiedi
晒衣	shaiyi
日本语	ribenyu
监工	jiangong
星散	xingsan
临摹	linmo
监区	jianqu
星际	xingji
监院	jianyuan
暗箭难防	anjiannanfang
星驰	xingchi
曼彻斯特	manchesite
星辰	xingchen
临夏	linxia
明知故犯	mingzhigufan
里程碑	lichengbei
明知故问	mingzhiguwen
星期	xingqi
紧追不舍	jinzhuibushe
蟠龙	panlong
蜂乳	fengru
星月	xingyue
日积月累	rijiyuelei
临朐	linqu
蜂腰	fengyao
览胜	lansheng
蜂胶	fengjiao
星云	xingyun
星城	xingcheng
临朝	linchao
临幸	linxing
星形	xingxing
昨天	zuotian
星球	xingqiu
蜂王	fengwang
剔透玲珑	titoulinglong
日复一日	rifuyiri
监理	jianli
监事	jianshi
监规	jiangui
临平	linping
蜂毒	fengdu
监督	jiandu
星战	xingzhan
临江	linjiang
临池	linchi
星汉	xinghan
星湖	xinghu
星尘	xingchen
星光	xingguang
临清	linqing
监测	jiance
鉴赏	jianshang
临沂	linyi
星河	xinghe
临海	linhai
临潼	lintong
蜡笔小新	labixiaoxin
晦涩	huise
临汾	linfen
临沧	lincang
蜂蜡	fengla
蚱蜢	zhameng
明升暗降	mingshenganjiang
晦明	huiming
临时	linshi
星晴	xingqing
昨日	zuori
蝮蛇	fushe
星星	xingxing
蜘蛛	zhizhu
蛛蛛	zhuzhu
蝌蚪	kedou
晦暗	huian
蛞蝓	kuoyu
蟋蟀	xishuai
早生贵子	zaoshengguizi
临邑	linyi
鉴别	jianbie
临别	linbie
星号	xinghao
紧箍咒	jinguzhou
蜂鸣	fengming
监听	jianting
临川	linchuan
监国	jianguo
星图	xingtu
临界	linjie
明知山有虎	mingzhishanyouhu
蛛网	zhuwang
蛾眉	emei
暗香疏影	anxiangshuying
星火	xinghuo
蜂糕	fenggao
星座	xingzuo
鉴定	jianding
监军	jianjun
蜂蜜	fengmi
监牢	jianlao
临客	linke
紧身裤	jinshenku
临安	linan
星空	xingkong
监察	jiancha
星宿	xingxiu
蜂窝	fengwo
监视	jianshi
临危	linwei
景德镇	jingdezhen
蜂鸟	fengniao
星象	xingxiang
监狱	jianyu
昨儿	zuoer
显微镜	xianweijing
临泉	linquan
监押	jianya
监控	jiankong
冒失鬼	maoshigui
晦气	huiqi
曼德拉	mandela
暗箱操作	anxiangcaozuo
监护	jianhu
鉴权	jianquan
监本	jianben
临西	linxi
星相	xingxiang
监查	jiancha
蟠桃	pantao
监禁	jianjin
临机	linji
时和年丰	shihenianfeng
晌午	shangwu
蜗行牛步	woxingniubu
日行千里	rixingqianli
监管	jianguan
蜂箱	fengxiang
星盘	xingpan
星系	xingxi
星斗	xingdou
星美	xingmei
星移斗转	xingyidouzhuan
星痕	xinghen
临门	linmen
蜂巢	fengchao
蜂群	fengqun
时乖命蹇	shiguaimingjian
临风	linfeng
临盆	linpen
暗箭伤人	anjianshangren
星级	xingji
易筋经	yijinjing
临终	linzhong
蛛丝	zhusi
星缘	xingyuan
量入为出	liangruweichu
紧身衣	jinshenyi
鉴证	jianzheng
临高	lingao
蜂房	fengfang
晓行夜宿	xiaoxingyesu
星条旗	xingtiaoqi
昨夜	zuoye
星夜	xingye
暗黄	anhuang
暗花	anhua
蜕皮	tuipi
蝉联	chanlian
暗礁	anjiao
蛟龙	jiaolong
暗月	anyue
照章办事	zhaozhangbanshi
日新月异	rixinyueyi
暗地	andi
暗示	anshi
电闪雷鸣	dianshanleiming
暗亏	ankui
时间表	shijianbiao
暗战	anzhan
暗紫	anzi
暗渠	anqu
暗潮	anchao
暗淡	andan
暗沟	angou
蛟河	jiaohe
蝇头小利	yingtouxiaoli
暗流	anliu
明辨是非	mingbianshifei
暗暗	anan
蟑螂	zhanglang
暗影	anying
暗号	anhao
暗哨	anshao
暗器	anqi
蝉鸣	chanming
暗喻	anyu
暗黑	anhei
暗转	anzhuan
电瓶车	dianpingche
晕头转向	yuntouzhuanxiang
蜷曲	quanqu
暗忖	ancun
蝉翼	chanyi
时效性	shixiaoxing
时装店	shizhuangdian
暗室	anshi
暗色	anse
暗锁	ansuo
昂首挺胸	angshoutingxiong
暗探	antan
暗杀	ansha
暗格	ange
暗自	anzi
暗算	ansuan
暗送秋波	ansongqiubo
暗香	anxiang
暗箱	anxiang
电冰箱	dianbingxiang
暗笑	anxiao
暗箭	anjian
时间差	shijiancha
师道尊严	shidaozunyan
昂首阔步	angshoukuobu
暗道	andao
暗疮	anchuang
暗门	anmen
暗娼	anchang
蜷伏	quanfu
暗合	anhe
照单全收	zhaodanquanshou
晶状体	jingzhuangti
暗伤	anshang
暗含	anhan
暗红	anhong
暗线	anxian
蜷缩	quansuo
暗约	anyue
暗弱	anruo
暗绿	anlv
暗纹	anwen
蝉衣	chanyi
暗语	anyu
暗房	anfang
暗恋	anlian
蜕变	tuibian
暗夜	anye
归功	guigong
昭著	zhaozhu
昭阳	zhaoyang
归隐	guiyin
易建联	yijianlian
归队	guidui
归附	guifu
昭通	zhaotong
照顾	zhaogu
归还	guihuan
照面	zhaomian
坚忍不拔	jianrenbuba
归雁	guiyan
照办	zhaoban
归去	guiqu
归真	guizhen
昭示	zhaoshi
归元	guiyuan
昭雪	zhaoxue
归零	guiling
明媒正娶	mingmeizhengqu
归正	guizheng
照理	zhaoli
归来	guilai
照旧	zhaojiu
照耀	zhaoyao
照常	zhaochang
归省	guixing
照明	zhaoming
照映	zhaoying
照临	zhaolin
昭昭	zhaozhao
归顺	guishun
归路	guilu
归因	guiyin
归田	guitian
照见	zhaojian
照壁	zhaobi
归心	guixin
照度	zhaodu
照应	zhaoying
照料	zhaoliao
归宁	guining
照实	zhaoshi
归宿	guisu
昭然	zhaoran
归鸟	guiniao
照妖镜	zhaoyaojing
照看	zhaokan
照排	zhaopai
照抄	zhaochao
易如反掌	yirufanzhang
照搬	zhaoban
照拂	zhaofu
照护	zhaohu
照相	zhaoxiang
归档	guidang
照样	zhaoyang
归根	guigen
坚如磐石	jianrupanshi
照片	zhaopian
归咎	guijiu
照得	zhaode
归程	guicheng
昭和	zhaohe
照射	zhaoshe
照管	zhaoguan
归并	guibing
归巢	guichao
昭君	zhaojun
照会	zhaohui
归途	guitu
照例	zhaoli
归侨	guiqiao
归位	guiwei
归人	guiren
归化	guihua
归依	guiyi
归结	guijie
归纳	guina
归乡	guixiang
照说	zhaoshuo
暴风骤雨	baofengzhouyu
明人不做暗事	mingrenbuzuoanshi
遇人不淑	yurenbushu
坚信不疑	jianxinbuyi
明人不说暗话	mingrenbushuoanhua
暴风雨	baofengyu
暴风雪	baofengxue
量体裁衣	liangticaiyi
晓风残月	xiaofengcanyue
蛤蟆	hama
蛤蜊	geli
暴风影音	baofengyingyin
蛤蚧	gejie
暹罗	xianluo
电信局	dianxinju
明修栈道	mingxiuzhandao
明信片	mingxinpian
愚公移山	yugongyishan
晶体管	jingtiguan
显像管	xianxiangguan
晃悠悠	huangyouyou
最低价	zuidijia
电风扇	dianfengshan
蜕化变质	tuihuabianzhi
蛛丝马迹	zhusimaji
昆布	kunbu
坚强不屈	jianqiangbuqu
昆腔	kunqiang
昆腾	kunteng
明细表	mingxibiao
归纳法	guinafa
昆明	kunming
昆虫	kunchong
昆曲	kunqu
螺丝帽	luosimao
昆山	kunshan
明细账	mingxizhang
昆剧	kunju
螺纹钢	luowengang
螺丝钉	luosiding
里约热内卢	liyuereneilu
电线杆	dianxiangan
螺丝刀	luosidao
昆仲	kunzhong
昆仑	kunlun
蛀牙	zhuya
螺旋藻	luoxuanzao
景慕	jingmu
景区	jingqu
蝶恋花	dielianhua
影子	yingzi
蚊子	wenzi
影院	yingyuan
影戏	yingxi
景观	jingguan
景物	jingwu
影碟	yingdie
景泰	jingtai
影城	yingcheng
影坛	yingtan
影都	yingdu
景致	jingzhi
景天	jingtian
时刻表	shikebiao
申请表	shenqingbiao
电话卡	dianhuaka
景点	jingdian
最高点	zuigaodian
蛀齿	zhuchi
景深	jingshen
蝙蝠	bianfu
蛀虫	zhuchong
蚊蝇	wenying
蚊蚋	wenrui
影星	yingxing
电话号码	dianhuahaoma
电话号	dianhuahao
影响	yingxiang
景园	jingyuan
蚊帐	wenzhang
景山	jingshan
影展	yingzhan
影壁	yingbi
申请书	shenqingshu
影迷	yingmi
蚁穴	yixue
影视	yingshi
景色	jingse
螃蟹	pangxie
影印	yingyin
景象	jingxiang
蛀蚀	zhushi
影后	yinghou
景气	jingqi
日记本	rijiben
影楼	yinglou
电话机	dianhuaji
景德	jingde
影片	yingpian
电话簿	dianhuabu
蚊香	wenxiang
景程	jingcheng
影射	yingshe
螺旋桨	luoxuanjiang
日夜兼程	riyejiancheng
蚁群	yiqun
最高人民法院	zuigaorenminfayuan
影像	yingxiang
景仰	jingyang
申请人	shenqingren
影集	yingji
电话会议	dianhuahuiyi
最高级	zuigaoji
电话线	dianhuaxian
电话费	dianhuafei
影评	yingping
影调	yingdiao
影讯	yingxun
影迹	yingji
电话亭	dianhuating
影帝	yingdi
咬牙切齿	yaoyaqiechi
中草药	zhongcaoyao
叫花子	jiaohuazi
中医院	zhongyiyuan
哄骗	hongpian
吃苦耐劳	chikunailao
哈萨克斯坦	hasakesitan
跌荡不羁	diedangbuji
