阿巴斯派	abasipai
默拉纳额西丁麻札	molanaexidingmazha
墨玉艾提卡尔大寺	moyuaitikaerdasi
穆罕默德谢日夫麻札	muhanmodexierifumazha
纳家户清真寺	najiahuqingzhensi
牛街礼拜寺	niujielibaisi
牛街礼拜寺筛海坟	niujielibaisishaihaifen
欧麦尔清真古寺	oumaierqingzhengusi
皮皮哈内姆清真寺	pipihaneimuqingzhensi
平安洪水泉清真寺	pinganhongshuiquanqingzhensi
齐齐哈尔清真寺	qiqihaerqingzhensi
袷袢巴札阿孜尼清真寺	qiapanbazhaaziniqingzhensi
沁阳清真北大寺	qinyangqingzhenbeidasi
清净寺	qingjingsi
萨法	safa
萨马腊清真大寺	samalaqingzhendasi
色以提加拉力丁巴合达提麻札	seyitijialalidingbahedatimazha
沙费萨尔清真寺	shafeisaerqingzhensi
商丘西关清真寺	shangqiuxiguanqingzhensi
松江清真寺	songjiangqingzhensi
苏丹阿赫默德清真大寺	sudanahemodeqingzhendasi
苏公塔	sugongta
苏莱曼清真大寺	sulaimanqingzhendasi
苏勒他尼外艾斯黑染麻札	suletaniwaiaisiheiranmazha
苏勒他沙得克不呼惹汗麻札	suletashadekebuhurehanmazha
苏图克布格拉汗麻札	sutukebugelahanmazha
天房	tianfang
天方	tianfang
天津清真北大寺	tianjinqingzhenbeidasi
天津清真南大寺	tianjinqingzhennandasi
天水北关清真寺	tianshuibeiguanqingzhensi
条提伊玛目拉麻札	tiaotiyimamulamazha
秃黑鲁帖木儿汗麻札	tuheilutiemuerhanmazha
瓦齐尔汗清真寺	waqierhanqingzhensi
乌鲁木齐老南寺	wulumuqilaonansi
乌鲁木齐南大寺	wulumuqinandasi
乌鲁木齐陕西大寺	wulumuqishanxidasi
西吉单明清真寺	xijidanmingqingzhensi
西宁东关清真大寺	xiningdongguanqingzhendasi
仙鹤寺	xianhesi
襄城石羊街清真寺	xiangchengshiyangjieqingzhensi
香港回教清真礼拜总堂	xiangganghuijiaoqingzhenlibaizongtang
谢赫路特福拉清真寺	xiehelutefulaqingzhensi
新加坡苏丹清真寺	xinjiaposudanqingzhensi
玄石	xuanshi
循化街子清真大寺	xunhuajieziqingzhendasi
亚格拉大清真寺	yageladaqingzhensi
牙勒吾孜乌呼日麻札	yalewuziwuhurimazha
耶路撒冷	yelusaleng
伊本图伦清真寺	yibentulunqingzhensi
伊玛目阿斯木麻札	yimamuasimumazha
伊玛目阿札麻札	yimamuazhamazha
伊玛目艾甫坦大麻札	yimamuaifutandamazha
伊玛目艾斯克大麻札	yimamuaisikedamazha
伊玛目加帕尔沙德克麻札	yimamujiapaershadekemazha
伊玛目加帕尔太依拉尼麻札	yimamujiapaertaiyilanimazha
伊玛目木沙克卡孜木麻札	yimamumushakekazimumazha
伊玛目奈斯尔丁寺	yimamunaisierdingsi
伊斯法罕加米清真大寺	yisifahanjiamiqingzhendasi
银川南关清真大寺	yinchuannanguanqingzhendasi
玉素甫哈斯哈吉甫麻札	yusufuhasihajifumazha
玉溪大营清真寺	yuxidayingqingzhensi
则依奴力阿必丁麻札	zeyinuliabidingmazha
张家川清真西大寺	zhangjiachuanqingzhenxidasi
肇庆西门清真寺	zhaoqingximenqingzhensi
哲麻尔提买吉提	zhemaertimaijiti
镇江城西清真寺	zhenjiangchengxiqingzhensi
郑州清真北大寺	zhengzhouqingzhenbeidasi
朱仙镇清真北大寺	zhuxianzhenqingzhenbeidasi
